check_key,area,region,attributed_boss,nearest_grace_flag,nearest_grace_name,grace_dist_u,within_cap,tier,field_dist_u
"100000,0:0000000000:100000,10009516:",stormveil_throne,,Godrick the Grafted,100003,Gateside Chamber,10,1,1legacy,
"100000,0:0000000000:100000:",stormveil,,Godrick the Grafted,100003,Gateside Chamber,10,1,1legacy,
"140000,0:0000000000:100050,100275,100400,1034509450,1037469300,1044369244:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"140000,0:0000000000:100050,100275,100400,1034509451,1037469301,1044369245:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"140000,0:0000000000:100050,100275,100400,1034509455,1037469316,1044369250:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"140000,0:0000000000:100050,14009267:",academy_library,,Rennala 2,111000,Table of Lost Grace,24,1,1legacy,
"140000,0:0000000000:100050:",limgrave,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"160000,0:0000000000:100075,16009208:",volcano_drawingroom,,"Rykard, Lord of Blasphemy",111000,Table of Lost Grace,24,1,1legacy,
"160000,0:0000000000:100075:",stormhill,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"160000,0:0000000000:100100,1038419270:",volcano,,"Rykard, Lord of Blasphemy",111000,Table of Lost Grace,24,1,1legacy,
"160000,0:0000000000:100100,1038419271:",volcano_drawingroom,,"Rykard, Lord of Blasphemy",111000,Table of Lost Grace,24,1,1legacy,
"160000,0:0000000000:100100:",limgrave_murkwatercave,,"Margit, the Fell Omen",111000,Table of Lost Grace,24,1,1mini,
"604439,0:0000000000:100125:",roundtable,Roundtable Hold,[capstone] Roundtable Hold,111000,Table of Lost Grace,16,1,4capstone,6407800
"605038,0:0000000000:100175:",caelid,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"605038,0:0000000000:100185,1038519257:",caelid,Gravesite Plain,[capstone] Messmer,111000,Table of Lost Grace,24,1,4capstone,
"100000,0:0000000000:100200:",stormveil,,Godrick the Grafted,100006,Liftside Chamber,64,1,1legacy,
