kind	group	flag	ap_ids	name	status	region	maps	evidence	sites	graces	note	question
region	route-65420	65420	7773682	Scadu Altus :: Crimson-Sapping Cracked Tear [f65420]	review	Scadu Altus					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-65460	65460	7773686	Gravesite :: Glovewort Crystal Tear [f65460]	review	Gravesite					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	ground-m60_36_51	66730	7773693	Liurnia :: Perfume Bottle - near Craftsman's Shack (region unconfirmed), may be sweep-granted by Onyx Lord (m60_36_50) [f66730]	review	Liurnia	m60_36_51	none buckets=-	m60_36_51:treasure:lot1036510020	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_52	66740	7770072	Mt. Gelmir :: Perfume Bottle - near Craftsman's Shack, may be sweep-granted by Magma Wyrm (m60_35_53) [f66740]	review	Mt. Gelmir	m60_36_52	none buckets=-	m60_36_52:treasure:lot1036520070	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_46_40	67650	7770118	Caelid :: Missionary's Cookbook [3] - near Smoldering Church, may be sweep-granted by Putrid Avatar (m60_47_40) [f67650]	review	Caelid	m60_46_40	none buckets=-	m60_46_40:treasure:lot1046400030	Smoldering Church via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m60_36_51	67840	7770121	Liurnia :: Perfumer's Cookbook [1] - near Craftsman's Shack (region unconfirmed), may be sweep-granted by Onyx Lord (m60_36_50) [f67840]	review	Liurnia	m60_36_51	none buckets=-	m60_36_51:treasure:lot1036510010	Craftsman's Shack via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m61_50_41	68670	7770150	Scadu Altus :: Mad Craftsman's Cookbook [2] - near Abyssal Woods, may be sweep-granted by Black Knight Edredd (m61_49_43) [f68670]	review	Scadu Altus	m61_50_41	none buckets=-	m61_50_41:treasure:lot2050410000	Abyssal Woods via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m61_51_41	68720	7770155	Scadu Altus :: Greater Potentate's Cookbook [6] - near Foot of the Jagged Peak, may be sweep-granted by Jori, Elder Inquisitor (m61_52_43) [f68720]	review	Scadu Altus	m61_51_41	none buckets=-	m61_51_41:treasure:lot2051410010	Foot of the Jagged Peak via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m61_47_44	68790	7770162	Gravesite :: Loyal Knight's Cookbook - near Castle Ensis Checkpoint, may be sweep-granted by Ghostflame Dragon (m61_45_44) [f68790]	review	Gravesite	m61_47_44	tile-default buckets=68100;68200; tile-default buckets=68100;68200	m61_47_44:treasure:lot2047440810	Castle Ensis Checkpoint via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	ground-m21_00	68800	7770163	Shadow Keep :: Battlefield Priest's Cookbook [1] - near Church District Entrance [f68800]	confirmed	Shadow Keep	m21_00	interior-vol:プレイ領域 2100012-5 buckets=21000	m21_00:treasure:lot21000660	Church District Entrance via=	All available placement maps covered by exact point-in-volume rows agreeing with the current region.	
region	ground-m61_49_38	68850	7770167	Jagged Peak :: Grave Keeper's Cookbook [2] - near Grand Altar of Dragon Communion, may be sweep-granted by Jagged Peak Drake (m61_49_41) [f68850]	review	Jagged Peak	m61_49_38	none buckets=-	m61_49_38:treasure:lot2049380040	Grand Altar of Dragon Communion via=	No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	At the listed pickup, which region lock permits standing and collection? Record the player play-region bucket and approach grace; distinguish elevation/locked access from the tile.
region	route-400050	400050	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]	review	Limgrave					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400070	400070	7770563	Altus :: Tonic of Forgetfulness - around Road of Iniquity Side Path, may be sweep-granted by Wormface (m60_41_53) [f400070]	review	Altus					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400090	400090	7773705	Mt. Gelmir :: Volcano Manor Invitation - around Volcano Manor, may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400090]	review	Mt. Gelmir					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
region	route-400103	400103	7773707	Raya Lucaria Academy :: Starlight Shards - around Church of the Cuckoo, may be sweep-granted by Rennala, Queen of the Full Moon (m14_00) [f400103]	review	Raya Lucaria Academy					No complete exact placement coverage; a tile default, seam or nearest grace alone cannot settle a locked boundary.	Which acquisition site and prerequisite chain should define the AP check, including relocation/death and existing sweeps?
