# AUTO-GENERATED by tools/datamine_bell_handins.py -- DO NOT EDIT BY HAND.
# Which bell bearing adds which merchant to the Twin Maiden Husks, from the Maidens' own
# talk ESD (t600001110). handin_flag is what `SetEventFlag` writes when you hand the bell
# over; shop_begin..shop_end is the ShopLineupParam range the resulting menu entry opens,
# and it is the merchant's OWN block -- handing in a bell adds a menu entry, it does not
# copy or release stock. Ranges are pairwise disjoint, which is what lets the client look a
# bell up by the range a shop-open handed it.
# NOT HERE: the 12 bells that release rows inside block 1018 by eventFlag_forRelease
# (the peddlers and most of the DLC sellers). They have no menu entry and no range; see the
# module docstring for why guessing their merchant is worse than omitting them.
handin_flag	bell_goods_id	bell_name	shop_begin	shop_end	menu
11109718	8918	Gostoc's Bell Bearing	100000	100024	t600001110_x8
11109713	8913	Sellen's Bell Bearing	100050	100074	t600001110_x7
11109716	8916	Bernahl's Bell Bearing	100075	100099	t600001110_x7
11109712	8912	Patches' Bell Bearing	100100	100124	t600001110_x8
11109715	8915	D's Bell Bearing	100125	100149	t600001110_x7
11109742	8942	Blackguard's Bell Bearing	100150	100174	t600001110_x8
11109744	8944	Gowry's Bell Bearing	100175	100184	t600001110_x7
11109744	8944	Gowry's Bell Bearing	100185	100199	t600001110_x7
11109741	8941	Rogier's Bell Bearing	100200	100224	t600001110_x7
11109740	8940	Iji's Bell Bearing	100225	100249	t600001110_x7
11109719	8919	Thops's Bell Bearing	100250	100274	t600001110_x7
11109711	8911	Seluvis's Bell Bearing	100275	100299	t600001110_x7
11109710	8910	Pidia's Bell Bearing	100325	100349	t600001110_x8
11109743	8943	Corhyn's Bell Bearing	100350	100399	t600001110_x7
11109717	8917	Miriel's Bell Bearing	100400	100424	t600001110_x7
11109717	8917	Miriel's Bell Bearing	100425	100474	t600001110_x7
11109720	8920	Kale's Bell Bearing	100500	100524	t600001110_x10
11109721	8921	Nomadic Merchant's Bell Bearing [1]	100525	100549	t600001110_x9
11109722	8922	Nomadic Merchant's Bell Bearing [2]	100550	100574	t600001110_x9
11109723	8923	Nomadic Merchant's Bell Bearing [3]	100575	100599	t600001110_x9
11109724	8924	Nomadic Merchant's Bell Bearing [4]	100600	100624	t600001110_x9
11109725	8925	Nomadic Merchant's Bell Bearing [5]	100625	100649	t600001110_x9
11109726	8926	Isolated Merchant's Bell Bearing [1]	100650	100674	t600001110_x10
11109727	8927	Isolated Merchant's Bell Bearing [2]	100675	100699	t600001110_x10
11109728	8928	Nomadic Merchant's Bell Bearing [6]	100700	100724	t600001110_x9
11109729	8929	Hermit Merchant's Bell Bearing [1]	100725	100749	t600001110_x10
11109730	8930	Nomadic Merchant's Bell Bearing [7]	100750	100774	t600001110_x9
11109731	8931	Nomadic Merchant's Bell Bearing [8]	100775	100799	t600001110_x9
11109732	8932	Nomadic Merchant's Bell Bearing [9]	100800	100824	t600001110_x9
11109733	8933	Nomadic Merchant's Bell Bearing [10]	100825	100849	t600001110_x9
11109734	8934	Nomadic Merchant's Bell Bearing [11]	100850	100874	t600001110_x9
11109735	8935	Isolated Merchant's Bell Bearing [3]	100875	100899	t600001110_x10
11109736	8936	Hermit Merchant's Bell Bearing [2]	100900	100924	t600001110_x10
11109737	8937	Abandoned Merchant's Bell Bearing	100925	100949	t600001110_x10
11109738	8938	Hermit Merchant's Bell Bearing [3]	100950	100974	t600001110_x10
11109739	8939	Imprisoned Merchant's Bell Bearing	100975	100999	t600001110_x10
11109790	2008900	Moore's Bell Bearing	102250	102289	t600001110_x13
11109791	2008901	Ymir's Bell Bearing	102300	102310	t600001110_x13
