# AUTO-GENERATED by tools/datamine_boss_area_regions.py --emit -- DO NOT EDIT.
# The region the player STANDS IN while killing a boss (= where its reward is REACHABLE),
#   from PlayRegionParam boss-area rows: for a row whose pcPositionSaveLimitEventFlagId is a
#   boss DEFEAT flag, bucket = ID // 100, region = the PLAY_REGION_GROUPS owner of that bucket.
# gen_data consults this ABOVE the msb map-truth branch: a boss-reward flag (via
#   boss_reward_lots.BOSS_REWARD_DEFEAT: reward_flag -> defeat_flag) whose arena region differs
#   from its emevd map's region is re-homed to the arena region (the Golden Hippopotamus:
#   510440 -> 21000850 -> bucket 69000 = Scadu Altus, not m21_00 = Shadow Keep).
# TRACKED (tier-2, AGENTS.md §5a): regenerate after a game patch, commit WITH the region_groups
#   changes it depends on. Most rows equal the boss's own map region and move nothing.
defeat_flag	bucket	region
10000800	10000	Stormveil
10000850	61010	Limgrave
10010800	10010	Stormveil
11000800	11000	Leyndell
11000850	11000	Leyndell
11050800	11050	Leyndell
11050850	11050	Leyndell
12010800	12010	Ainsel River
12020800	12020	Siofra River
12020850	12020	Siofra River
12030800	12030	Deeproot Depths
12050800	12050	Mohgwyn
13000800	13000	Farum Azula
13002830	13000	Farum Azula
13002850	13000	Farum Azula
14000800	14000	Raya Lucaria Academy
14000850	14000	Raya Lucaria Academy
15000800	15000	Haligtree
15000850	15000	Haligtree
16000800	16000	Mt. Gelmir
16000850	16000	Mt. Gelmir
16000860	16000	Mt. Gelmir
18000800	18000	Limgrave
18000850	18000	Limgrave
19000800	19000	Leyndell
20000800	20000	Belurat
20010800	20010	Enir Ilim
21000850	69000	Scadu Altus
21010800	21000;21010;21020	Shadow Keep
22000800	22000	Stone Coffin
28000800	68600	Abyssal
30000800	30000	Weeping
30010800	30010	Weeping
30020800	30020	Limgrave
30030800	30030	Liurnia
30040800	30040	Limgrave
30050800	30050	Liurnia
30050850	30050	Liurnia
30060800	30060	Liurnia
30070800	30070	Altus
30080800	30080	Altus
30090800	30090	Mt. Gelmir
30100800	30100	Altus
30110800	30110	Limgrave
30120800	30120	Altus
30130800	30130	Altus
30140800	30140	Caelid
30150800	30150	Caelid
30160800	30160	Caelid
30170800	30170	Mountaintops of the Giants
30180800	30180	Mountaintops of the Giants
30190800	30190	Mountaintops of the Giants
30200800	30200	Mountaintops of the Giants
31000845	31000	Limgrave
31010800	31010	Weeping
31020800	31020	Weeping
31030800	31030	Limgrave
31040800	31040	Liurnia
31050800	31050	Liurnia
31060800	31060	Liurnia
31070800	31070	Mt. Gelmir
31090800	31090	Mt. Gelmir
31100800	31100	Caelid
31110800	31110	Caelid
31120800	31120	Mountaintops of the Giants
31150800	31150	Limgrave
31170800	31170	Limgrave
31180800	31180	Altus
31190800	31190	Altus
31190850	31190	Altus
31200800	31200	Caelid
31210800	31210	Caelid
31220800	31220	Mountaintops of the Giants
32000800	32000	Weeping
32010800	32010	Limgrave
32020800	32020	Liurnia
32040800	32040	Altus
32050800	32050	Altus
32070800	32070	Caelid
32080800	32080	Caelid
32110800	32110	Mountaintops of the Giants
34100800	34100	Limgrave
34110800	34110	Liurnia
34120800	34120	Altus
34120850	34120	Altus
34130800	34130	Caelid
35000800	35000	Sewer
35000850	35000	Sewer
39200800	39200	Liurnia
40000800	40000	Gravesite
40010800	40010	Rauh Base
41000800	41000	Gravesite
41010800	41010	Scadu Altus
41020800	41020	Charo's
43000800	43000	Gravesite
43010800	43010	Gravesite
1034480800	62000	Liurnia
1035500800	62000	Liurnia
1038510800	63000	Altus
1039540800	63000	Altus
1040530800	63000	Altus
1043300800	61020	Weeping
1044360800	61000	Limgrave
1048400800	64000	Caelid
1049390800	64000	Caelid
1051360800	64000	Caelid
1051570800	65010	Mountaintops of the Giants
1252380800	64000	Caelid
1252520800	65020	Mountaintops of the Giants
2044450800	69410	Ancient Ruins
2046380800	68300	Cerulean
2046410800	68000	Gravesite
2046450800	69010	Rauh Base
2048440800	68200	Ensis
2049480800	21010	Shadow Keep
2050480800	21000	Shadow Keep
2051440800	69030	Scadu Altus
2051450839	69020	Scadu Altus
2052430800	40020	Scadu Altus
2054390800	68500	Jagged Peak
