grace_flag	map_tile	asset_entity	gate_flag	gate_source
71000	m10_00_00_00	10001950	10000800	emevd:9005810
71001	m10_00_00_00	10001951	10000850	emevd:9005810
71100	m11_00_00_00	11001950	11000500	emevd:9005810
71101	m11_00_00_00	11001951	11000850	emevd:9005810
71120	m11_05_00_00	11051950	11050800	emevd:9005810
71121	m11_05_00_00	11051951	11050850	emevd:9005810
71210	m12_01_00_00	12011950	12010800	emevd:9005810
71220	m12_02_00_00	12021950	12020800	emevd:9005810
71221	m12_02_00_00	12021951	12020850	emevd:9005810
71230	m12_03_00_00	12031950	12030800	emevd:9005810
71240	m12_04_00_00	12041950	12040800	emevd:9005810
71250	m12_05_00_00	12051950	12050800	emevd:9005810
71301	m13_00_00_00	13001951	13000830	emevd:9005810
71302	m13_00_00_00	13001952	13000850	emevd:9005810
71400	m14_00_00_00	14001950	14000800	emevd:9005810
71401	m14_00_00_00	14001951	14000850	emevd:9005810
71500	m15_00_00_00	15001950	15000800	emevd:9005810
71505	m15_00_00_00	15001955	15000850	emevd:9005810
71600	m16_00_00_00	16001950	16000800	emevd:9005810
71601	m16_00_00_00	16001951	16000850	emevd:9005810
71606	m16_00_00_00	16001962	16000860	emevd:9005810
71900	m19_00_00_00	19001950	19000800	emevd:9005810
72000	m20_00_00_00	20001950	20000800	emevd:9005810
72010	m20_01_00_00	20011950	20010800	emevd:9005810
72101	m21_00_00_00	21001951	21000850	emevd:9005810
72110	m21_01_00_00	21011950	21010800	emevd:9005810
72200	m22_00_00_00	22001950	22000800	emevd:9005810
72500	m25_00_00_00	25001950	25000800	emevd:9005810
72800	m28_00_00_00	28001950	28000800	emevd:9005810
73500	m35_00_00_00	35001950	35000800	emevd:9005810
73900	m39_20_00_00	39201950	39200800	emevd:9005810
76120	m60_44_36_00	1044361950	1044360800	emevd:9005810
76161	m60_43_30_00	1043301950	1043300800	emevd:9005810
76232	m60_35_50_00	1035501952	1035500800	emevd:9005810
76247	m60_34_50_00	1034501951	1034500703	emevd:9005810
76313	m60_42_55_00	1042551950	1042550800	emevd:9005810
76322	m60_39_54_00	1039541952	1039540800	emevd:9005810
76412	m60_49_38_00	1049381950	1049380800	emevd:9005810
76415	m60_49_39_00	1049391951	1049390800	emevd:9005810
76419	m60_51_36_00	1051361950	1051360800	emevd:9005810
76422	m60_52_38_00	1052381950	310	emevd:9005810
76509	m60_53_52_00	1053521950	1252520800	emevd:9005810
76524	m60_51_57_00	1051571953	1051570800	emevd:9005810
76823	m61_48_44_00	2048441950	2048440800	emevd:9005810
76853	m61_55_39_00	2055391950	2054390800	emevd:9005810
76862	m61_52_43_00	2052431950	2052430800	emevd:9005810
76930	m61_49_48_00	2049481950	2049480800	emevd:9005810
76945	m61_44_45_00	2044451951	2044450800	emevd:9005810
76960	m61_50_48_00	2050481951	2050480800	emevd:9005810
