# WORKSHEET -- hand-fill `verdict` and `reason`. Nothing in gen reads this yet.
# verdict = the region that OWNS THIS BOSS'S CHECKS, which is NOT always where
#   the boss stands (#523: Tree Sentinel stands in Shadow Keep, its 28 members
#   are Scadu Altus). Blank verdict = accept derived_region.
# arena_region ABSENT = unaudited, no boss_area_regions row.
# tile_has_grace no = the boss's own region is a guess too, so its derived value
#   is NOT independent evidence -- those are the rows where a human is load-bearing.
boss_entity	boss_name	tile	class	ambiguous_checks	sweep_members	derived_region	arena_region	has_arena	arena_vs_members	claimed_regions	tile_has_grace	verdict	reason
2050470800	Tree Sentinel	m61_50_47	legacy	25	30	Shadow Keep	Hinterland	yes	ok	Scadu Altus	no		
1045390800	Tibia Mariner	m60_45_39	field	21	24	Limgrave	Limgrave	yes	ok	Limgrave	no		
1048370800	Decaying Ekzykes	m60_48_37	field	21	26	Caelid	Caelid	yes	ok	Caelid	yes		
1248550800	?	m60_48_55	?	14	30	Mountaintops of the Giants	ABSENT	no		Mountaintops of the Giants	no		
1041530800	Wormface	m60_41_53	field	13	22	Altus	Altus	yes	ok	Altus	no		
1050560800	Great Wyrm Theodorix	m60_50_56	field	12	25	Consecrated Snowfield	Consecrated Snowfield	yes	ok	Consecrated Snowfield	no	Consecrated Snowfield	Region split: Theodorix is fought in Consecrated Snowfield.
1034450800	Glintstone Dragon Smarag	m60_34_45	field	9	18	Liurnia	Liurnia	yes	ok	Liurnia	no		
1039500800	Godefroy the Grafted	m60_39_50	field	9	10	Altus	Altus	yes	ok	Altus;Liurnia	no		
1053560800	Roundtable Knight Vyke	m60_53_56	field	9	26	Mountaintops of the Giants	Mountaintops of the Giants	yes	ok	Mountaintops of the Giants	yes		
1039430800	?	m60_39_43	?	8	17	Liurnia	Liurnia	yes	ok	Liurnia	no		
1038520800	Tibia Mariner	m60_38_52	field	8	11	Altus	Altus	yes	ok	Altus	no		
1041510800	Tree Sentinel	m60_41_51	field	8	12	Altus	Altus	yes	ok	Altus	no		
1043530800	Bell Bearing Hunter	m60_43_53	field	8	20	Altus	Altus	yes	ok	Altus	yes		
