# AUTO-GENERATED by tools/derive_boss_reward_coords.py -- DO NOT EDIT, re-emit.
# DERIVED positions for boss REWARDS: the arena of the boss whose defeat flag the
# awarding EMEVD block waits on. See SPEC-msb-spatial-walk.md §0 (2026-07-27).
# 🛑 This is the ARENA, not the item's own spot, and it is DERIVED not measured --
#    which is why it lives here and NOT in item_grace_coords.tsv. Keep the `via`
#    column with the row; a consumer must be able to tell these apart.
# EMITTED 27 unambiguous.
# REFUSED 31 AMBIGUOUS (block named >1 arena -- guessing would be a
#    coin flip presented as a datum). Listed so the count is never read as zero:
#    refused flag 9500: candidates 11050800,11050850
#    refused flag 400071: candidates 16000800,16000850,16000860
#    refused flag 400072: candidates 16000800,16000850,16000860
#    refused flag 400073: candidates 16000800,16000850,16000860
#    refused flag 400074: candidates 16000800,16000850,16000860
#    refused flag 400075: candidates 16000800,16000850,16000860
#    refused flag 400076: candidates 16000800,16000850,16000860
#    refused flag 400077: candidates 16000800,16000850,16000860
#    refused flag 400078: candidates 16000800,16000850,16000860
#    refused flag 400107: candidates 14000800,14000850
#    refused flag 400174: candidates 13000830,13000850
#    refused flag 400291: candidates 16000800,16000850,16000860
#    refused flag 400339: candidates 12030800,12030850
#    refused flag 400382: candidates 35000800,35000850
#    refused flag 400394: candidates 12010800,12010850
#    refused flag 400480: candidates 15000800,15000850
#    refused flag 400500: candidates 11050800,11050850
#    refused flag 400594: candidates 21000850,21010800
#    refused flag 400595: candidates 21010800,25000800
#    refused flag 400620: candidates 21010800,25000800
#    refused flag 400622: candidates 21010800,25000800
#    refused flag 400625: candidates 21010800,25000800
#    refused flag 400692: candidates 21000850,21010800
#    refused flag 580040: candidates 10000800,10000850
#    refused flag 580050: candidates 11000800,11000850
#    refused flag 15001200: candidates 15000800,15000850
#    refused flag 15001250: candidates 15000800,15000850
#    refused flag 15001260: candidates 15000800,15000850
#    refused flag 15001270: candidates 15000800,15000850
#    refused flag 15001280: candidates 15000800,15000850
#    refused flag 15001290: candidates 15000800,15000850
# REFUSED 2 where the arena flag is the check's OWN GATE flag
#    (the block references the boss to GATE the item, not to award it there):
#    refused flag 400666: arena 2051450800 is its gate_flag in lot_gates.tsv
#    refused flag 16007690: arena 16000800 is its gate_flag in lot_gates.tsv
flag	map_id	x	y	z	via	arena_defeat_flag	evidence
400148	m60_34_50_00	76.01	440.94	63.31	boss_arena	1034500800	awarding EMEVD block in m60_34_50 references defeat flag 1034500800
400149	m60_35_50_00	-31.85	430.95	100.61	boss_arena	1035500800	awarding EMEVD block in m60_35_50 references defeat flag 1035500800
400393	m60_35_42_00	-38.61	269.17	-17.9	boss_arena	1035420800	awarding EMEVD block in m60_35_42 references defeat flag 1035420800
400460	m60_39_44_00	-81.59	294.79	-41.36	boss_arena	1039440800	awarding EMEVD block in m60_39_44 references defeat flag 1039440800
400598	m20_01_00_00	-287.24	299.7	-141.21	boss_arena	20010800	awarding EMEVD block in m20_01 references defeat flag 20010800
400614	m20_01_00_00	-287.24	299.7	-141.21	boss_arena	20010800	awarding EMEVD block in m20_01 references defeat flag 20010800
400624	m20_01_00_00	-287.24	299.7	-141.21	boss_arena	20010800	awarding EMEVD block in m20_01 references defeat flag 20010800
400632	m22_00_00_00	-70.1	-295.01	104.29	boss_arena	22000800	awarding EMEVD block in m22_00 references defeat flag 22000800
400634	m20_01_00_00	-287.24	299.7	-141.21	boss_arena	20010800	awarding EMEVD block in m20_01 references defeat flag 20010800
400671	m61_51_45_00	-95.17	472.02	-5.55	boss_arena	2051450800	awarding EMEVD block in m61_51_45 references defeat flag 2051450800
400672	m61_51_45_00	-95.17	472.02	-5.55	boss_arena	2051450800	awarding EMEVD block in m61_51_45 references defeat flag 2051450800
400694	m20_00_00_00	-43.02	118.48	336.61	boss_arena	20000800	awarding EMEVD block in m20_00 references defeat flag 20000800
400696	m20_00_00_00	-43.02	118.48	336.61	boss_arena	20000800	awarding EMEVD block in m20_00 references defeat flag 20000800
400704	m61_54_39_00	112.04	953.86	26.01	boss_arena	2054390800	awarding EMEVD block in m61_49_39 references defeat flag 2054390800
400712	m61_52_40_00	-69.75	287.39	-77.82	boss_arena	2052400800	awarding EMEVD block in m61_52_40 references defeat flag 2052400800
400714	m61_52_40_00	-69.75	287.39	-77.82	boss_arena	2052400800	awarding EMEVD block in m61_52_40 references defeat flag 2052400800
400723	m20_00_00_00	-43.02	118.48	336.61	boss_arena	20000800	awarding EMEVD block in m20_00 references defeat flag 20000800
400732	m20_01_00_00	-287.24	299.7	-141.21	boss_arena	20010800	awarding EMEVD block in m20_01 references defeat flag 20010800
