# checks whose region was NOT decided by first-hand evidence for their tile.
# how: GUESSED (nearest-neighbour hop) | ambiguous-row (tile spans 2 kick
#      regions) | CONFLICT (grace and PlayRegionParam row disagree)
# NOT a defect list -- a TRIAGE list. tools/triage_check_region_ambiguity.py
map_tile	region	ap_id	flag	how	grace_says	kick_row_says	label
m60_33_41	Liurnia	7772605	1033417000	GUESSED	-	-	Liurnia :: Smithing Stone [7] - near Altar South (region unconfirmed) (1) [f1033417000]
m60_33_41	Liurnia	7772606	1033417010	GUESSED	-	-	Liurnia :: Smithing Stone [8] - near Altar South (region unconfirmed) [f1033417010]
m60_33_41	Liurnia	7772607	1033417020	GUESSED	-	-	Liurnia :: Smithing Stone [7] - near Altar South (region unconfirmed) (2) [f1033417020]
m60_33_41	Liurnia	7772608	1033417400	GUESSED	-	-	Liurnia :: Dragon Heart - m60_33_41 (region unconfirmed) (1) [f1033417400]
m60_33_41	Liurnia	7772609	1033417410	GUESSED	-	-	Liurnia :: Dragon Heart - m60_33_41 (region unconfirmed) (2) [f1033417410]
m60_33_45	Liurnia	7774376	1033457100	GUESSED	-	-	Liurnia :: Dragonscale Blade - m60_33_45 (region unconfirmed) [f1033457100]
m60_33_45	Liurnia	7774377	1033457990	GUESSED	-	-	Liurnia :: Golden Rune [6] - near Foot of the Four Belfries (region unconfirmed) [f1033457990]
m60_34_45	Liurnia	7772630	1034457010	GUESSED	-	-	Liurnia :: Dragonwound Grease - near Crystalline Woods (region unconfirmed) [f1034457010]
m60_34_45	Liurnia	7772631	1034457020	GUESSED	-	-	Liurnia :: Kukri - near Crystalline Woods [f1034457020]
m60_34_45	Liurnia	7772632	1034457100	GUESSED	-	-	Liurnia :: Academy Glintstone Key - behind the sleepy dragon, on a corpse [f1034457100]
m60_34_51	Liurnia	7772664	1034517900	GUESSED	-	-	Liurnia :: Snow Witch Hat - near Royal Moongazing Grounds (region unconfirmed) [f1034517900]
m60_35_44	Liurnia	7772673	1035447000	GUESSED	-	-	Liurnia :: Smithing Stone [3] - near South Raya Lucaria Gate (region unconfirmed) [f1035447000]
