# AUTO-GENERATED by tools/datamine_esd_flags.py -- DO NOT EDIT, re-emit.
# Every event flag an NPC talk ESD SETS = the NPC-STATE flag vocabulary.
# JOIN KEY, NOT A VERDICT. The chain is: ESD sets -> EMEVD tests -> treasure
# enabled/disabled. Join gate_flag in lot_gates.tsv against this to tell an
# NPC-STATE gate from a world/progression gate.
# MEASURED THIS RUN (recomputed on every emit; the tool hard-fails if the
# disjointness breaks or the positive control goes empty):
#   esd flags 2408 | msb_flag_region 0/2803 | corpse 0/1824 | flag_lots 3/4558
#   POSITIVE CONTROL: 13/53 lot_gates gate_flags are ESD-set
# how: literal | arg (call-graph resolved) | argsum (const+param step ladder)
#      | conditional (SetEventFlagIf)
flag	sense	talk_id	map_id	how
4	on	800016000	m60_00_00_00	argsum
4	on	800026000	m60_00_00_00	argsum
4	on	800036000	m60_00_00_00	argsum
4	on	800046000	m60_00_00_00	argsum
4	on	800056000	m60_00_00_00	argsum
4	on	800906000	m60_00_00_00	argsum
104	on	000003000	m00_00_00_00	literal
3000	on	900006000	m60_00_00_00	literal
3001	on	000001000	m00_00_00_00	literal
3281	on	303001000	m10_00_00_00	arg
3281	on	303001000	m10_00_00_00	literal
3281	on	303006000	m60_00_00_00	arg
3281	on	303006000	m60_00_00_00	literal
3281	on	303011000	m10_00_00_00	arg
3281	on	303011000	m10_00_00_00	literal
3281	on	303016000	m60_00_00_00	arg
3281	on	303016000	m60_00_00_00	literal
3346	on	209006000	m60_00_00_00	literal
4651	off	000001000	m00_00_00_00	literal
4651	on	000001000	m00_00_00_00	literal
4652	off	000001000	m00_00_00_00	literal
4652	off	000003000	m00_00_00_00	literal
4652	on	000001000	m00_00_00_00	literal
4653	off	000001000	m00_00_00_00	literal
4653	off	000003000	m00_00_00_00	literal
4653	on	000001000	m00_00_00_00	literal
4654	off	000001000	m00_00_00_00	literal
4654	off	000003000	m00_00_00_00	literal
4655	off	000001000	m00_00_00_00	literal
4655	off	000003000	m00_00_00_00	literal
4655	on	000001000	m00_00_00_00	arg
4656	off	000001000	m00_00_00_00	literal
4656	off	000003000	m00_00_00_00	literal
4656	on	000001000	m00_00_00_00	literal
4657	off	000001000	m00_00_00_00	literal
4657	off	000003000	m00_00_00_00	literal
4657	on	000001000	m00_00_00_00	arg
4670	off	000003000	m00_00_00_00	literal
4680	on	000003000	m00_00_00_00	arg
4681	on	000003000	m00_00_00_00	arg
4698	off	000001000	m00_00_00_00	literal
4698	off	000003000	m00_00_00_00	literal
4698	on	000001000	m00_00_00_00	conditional
4820	off	000001000	m00_00_00_00	arg
4820	off	000001000	m00_00_00_00	literal
4820	on	000001000	m00_00_00_00	arg
4821	off	000001000	m00_00_00_00	arg
4821	off	000001000	m00_00_00_00	literal
4821	on	000001000	m00_00_00_00	arg
4822	off	000001000	m00_00_00_00	arg
4822	off	000001000	m00_00_00_00	literal
4822	on	000001000	m00_00_00_00	arg
4825	off	000001000	m00_00_00_00	arg
4825	off	000001000	m00_00_00_00	literal
4825	on	000001000	m00_00_00_00	arg
4826	off	000001000	m00_00_00_00	arg
4826	off	000001000	m00_00_00_00	literal
4826	on	000001000	m00_00_00_00	arg
4827	off	000001000	m00_00_00_00	arg
4827	off	000001000	m00_00_00_00	literal
4827	on	000001000	m00_00_00_00	arg
4828	off	000001000	m00_00_00_00	literal
4828	on	000001000	m00_00_00_00	literal
4829	off	000001000	m00_00_00_00	literal
4829	on	000001000	m00_00_00_00	literal
4830	off	000001000	m00_00_00_00	literal
4830	on	000001000	m00_00_00_00	literal
4891	on	417002101	m21_01_00_00	literal
4891	on	417006100	m61_00_00_00	literal
4892	off	414002101	m21_01_00_00	literal
4892	off	414006100	m61_00_00_00	literal
4895	on	415006100	m61_00_00_00	literal
4902	on	418012001	m20_01_00_00	literal
4980	on	800066000	m60_00_00_00	literal
4980	on	800076000	m60_00_00_00	literal
4980	on	800086000	m60_00_00_00	literal
4980	on	800106000	m60_00_00_00	literal
4980	on	800116000	m60_00_00_00	literal
4980	on	800126000	m60_00_00_00	literal
4985	on	800076000	m60_00_00_00	literal
4985	on	800086000	m60_00_00_00	literal
4985	on	800106000	m60_00_00_00	literal
4985	on	800116000	m60_00_00_00	literal
4985	on	800126000	m60_00_00_00	literal
6000	on	800076000	m60_00_00_00	arg
6000	on	800086000	m60_00_00_00	arg
6000	on	800106000	m60_00_00_00	arg
6000	on	800116000	m60_00_00_00	arg
6000	on	800126000	m60_00_00_00	arg
9000	off	000001000	m00_00_00_00	literal
9000	off	000003000	m00_00_00_00	literal
9000	on	000001000	m00_00_00_00	literal
9020	off	000001000	m00_00_00_00	literal
9020	off	000003000	m00_00_00_00	literal
9020	on	000001000	m00_00_00_00	literal
9400	on	607001900	m19_00_00_00	literal
9401	on	607001900	m19_00_00_00	literal
9402	on	607001900	m19_00_00_00	literal
9403	on	607001900	m19_00_00_00	literal
9432	on	301006000	m60_00_00_00	literal
60803	on	320001110	m11_10_00_00	literal
60803	on	320006000	m60_00_00_00	literal
60805	on	223001100	m11_00_00_00	literal
60805	on	223001105	m11_05_00_00	literal
60805	on	223001400	m14_00_00_00	literal
60805	on	223003115	m31_15_00_00	literal
60805	on	223006000	m60_00_00_00	literal
60810	on	310003500	m35_00_00_00	literal
60810	on	310006000	m60_00_00_00	literal
60816	on	309001600	m16_00_00_00	literal
60816	on	309003100	m31_00_00_00	literal
60816	on	309006000	m60_00_00_00	literal
60817	on	316006000	m60_00_00_00	literal
60819	on	309001600	m16_00_00_00	literal
60819	on	309003100	m31_00_00_00	literal
60819	on	309006000	m60_00_00_00	literal
60821	on	312001400	m14_00_00_00	literal
60821	on	312006000	m60_00_00_00	literal
60821	on	312026000	m60_00_00_00	literal
60828	on	220001300	m13_00_00_00	literal
60828	on	220003207	m32_07_00_00	literal
60828	on	220006000	m60_00_00_00	literal
60828	on	220016000	m60_00_00_00	literal
60828	on	220026000	m60_00_00_00	literal
60830	on	800001100	m11_00_00_00	literal
60830	on	800003500	m35_00_00_00	literal
60830	on	800006000	m60_00_00_00	literal
60832	on	309001600	m16_00_00_00	literal
60832	on	309003100	m31_00_00_00	literal
60832	on	309006000	m60_00_00_00	literal
60835	on	320001110	m11_10_00_00	literal
60835	on	320006000	m60_00_00_00	literal
60837	on	331006000	m60_00_00_00	literal
60839	on	200001400	m14_00_00_00	literal
60840	on	339001110	m11_10_00_00	literal
60841	on	351001100	m11_00_00_00	literal
60841	on	351001105	m11_05_00_00	literal
60841	on	351001110	m11_10_00_00	literal
60841	on	351006000	m60_00_00_00	literal
60842	on	349006000	m60_00_00_00	literal
60845	on	333006000	m60_00_00_00	literal
60846	on	000003000	m00_00_00_00	literal
60847	on	319201202	m12_02_00_00	literal
60848	on	112001100	m11_00_00_00	literal
60848	on	112006000	m60_00_00_00	literal
100200	off	000001000	m00_00_00_00	literal
100210	off	000001000	m00_00_00_00	literal
400357	off	325001000	m10_00_00_00	literal
