# AUTO-GENERATED by tools/datamine_esd_gestures.py -- DO NOT EDIT, re-emit.
# Gestures NPCs TEACH IN DIALOGUE (ESDLang `AcquireGesture`), paired to the
# acquisition flag set beside them. gen_data._gesture_derive is EMEVD-only and is
# structurally blind to this corpus; this table is how it sees them.
# scope=state is the strong pairing; scope=file is weaker -- see the tool docstring.
# MEASURED THIS RUN: 45 rows | 20 distinct flags | state 45 / file 0
gesture_id	flag	talk_id	map_id	how	scope
3	60803	320001110	m11_10_00_00	literal	state
3	60803	320006000	m60_00_00_00	literal	state
5	60805	223001100	m11_00_00_00	literal	state
5	60805	223001105	m11_05_00_00	literal	state
5	60805	223001400	m14_00_00_00	literal	state
5	60805	223003115	m31_15_00_00	literal	state
5	60805	223006000	m60_00_00_00	literal	state
10	60810	310003500	m35_00_00_00	literal	state
10	60810	310006000	m60_00_00_00	literal	state
25	60816	309001600	m16_00_00_00	literal	state
25	60816	309003100	m31_00_00_00	literal	state
25	60816	309006000	m60_00_00_00	literal	state
30	60817	316006000	m60_00_00_00	literal	state
41	60819	309001600	m16_00_00_00	literal	state
41	60819	309003100	m31_00_00_00	literal	state
41	60819	309006000	m60_00_00_00	literal	state
51	60821	312001400	m14_00_00_00	literal	state
51	60821	312006000	m60_00_00_00	literal	state
51	60821	312026000	m60_00_00_00	literal	state
71	60828	220001300	m13_00_00_00	literal	state
71	60828	220003207	m32_07_00_00	literal	state
71	60828	220006000	m60_00_00_00	literal	state
71	60828	220016000	m60_00_00_00	literal	state
71	60828	220026000	m60_00_00_00	literal	state
73	60830	800001100	m11_00_00_00	literal	state
73	60830	800003500	m35_00_00_00	literal	state
73	60830	800006000	m60_00_00_00	literal	state
90	60832	309001600	m16_00_00_00	literal	state
90	60832	309003100	m31_00_00_00	literal	state
90	60832	309006000	m60_00_00_00	literal	state
93	60835	320001110	m11_10_00_00	literal	state
93	60835	320006000	m60_00_00_00	literal	state
95	60837	331006000	m60_00_00_00	literal	state
97	60839	200001400	m14_00_00_00	literal	state
98	60840	339001110	m11_10_00_00	literal	state
100	60841	351001100	m11_00_00_00	literal	state
100	60841	351001105	m11_05_00_00	literal	state
100	60841	351001110	m11_10_00_00	literal	state
100	60841	351006000	m60_00_00_00	literal	state
101	60842	349006000	m60_00_00_00	literal	state
103	60845	333006000	m60_00_00_00	literal	state
104	60846	000003000	m00_00_00_00	literal	state
105	60847	319201202	m12_02_00_00	literal	state
106	60848	112001100	m11_00_00_00	literal	state
106	60848	112006000	m60_00_00_00	literal	state
