# AUTO-GENERATED by tools/datamine_esd_gates.py -- NPC dialogue item gifts (AwardItemLot)
# from ESDLang-decompiled talk ESD. gate_flag with gate_sense==0 is the 'not yet
# received' acquisition flag; item_lot is the ItemLotParam handed over; talk_id ->
# NPC map -> region (join as in datamine_merchant_shops). One row PER GATE PATH.
# Lots resolve through the ESD call chain (assert t.._x3(lot1=N) -> AwardItemLot(lot1));
# a literal-only read finds 6 of the lots below. NO NEW CHECKS -- every lot with an
# acquisition flag is already in region_map.csv; the value is PROVENANCE (who hands
# it over, behind which flag, on which map) and PLACEMENT for the PENDING rows.
# MEASURED THIS RUN (recomputed on every emit):
#   105 sites (6 literal, 99 param) | 298 rows | 128 distinct lots
#   lots: 49 live AP checks | 9 NOT_RANDOMIZED | 39 region_map-PENDING (this
#   table is their placement source) | 0 placed-not-live | 0 unknown-flag |
#   31 with no acquisition flag (invisible to the flag poll)
talk_id	gate_flag	gate_sense	item_lot
3000	108	0	100010
3000	4681	0	100000
3000	1042379200	1	100000
102001110	11109370	0	101100
106006000	1042369408	0	103900
106006000	1042369408	1	103900
106016000	1034509421	0	103910
110003111	-1	1	104300
111006000	-1	1	104400
202006000	3647	0	102300
202006000	3647	1	102310
209006000	3347	0	60200
216001202	1044349255	0	101500
216006000	1044349255	0	101500
219006000	1035429209	0	101300
220001300	1035539205	0	101720
220001300	1039449209	0	101710
220001300	1043399307	0	101700
220003207	1035539205	0	101720
220003207	1039449209	0	101710
220003207	1043399307	0	101700
220006000	1035539205	0	101720
220006000	1039449209	0	101710
220006000	1043399307	0	101700
220016000	1035539205	0	101720
220016000	1039449209	0	101710
220016000	1043399307	0	101700
220026000	1035539205	0	101720
220026000	1039449209	0	101710
220026000	1043399307	0	101700
220036000	1035539205	0	101720
221006000	1047419201	1	104700
223001100	1043379356	0	102710
223001105	1043379356	0	102710
223001400	1043379356	0	102710
223003115	1043379356	0	102710
223006000	1043379356	0	102710
228106000	1047589206	0	104110
300001600	16009208	0	100720
300001600	16009215	1	100700
300001600	16009215	1	100760
300001600	16009215	1	100770
300001600	16009221	1	100700
300001600	16009237	0	100780
301006000	60270	0	100340
301006000	1035449207	0	100300
301006000	1035449216	0	100310
301006000	1035449226	0	100320
302001000	10009360	0	100500
302011000	10009360	0	100500
302021000	10009360	0	100500
302031000	10009360	0	100500
302041000	10009360	0	100500
302051000	10009360	0	100500
302061000	10009360	0	100500
304001000	10009305	0	100210
304001000	10009305	1	100200
304001000	10009306	0	60210
307006000	3568	1	101430
307006000	1034509311	0	101400
307006000	1034509311	1	101400
307006000	1034509315	0	101410
307006000	1034509316	0	101450
307006000	1034509319	1	101430
307006000	1034509335	0	101430
307006000	1034509335	1	101430
309001600	16000800	0	101800
309001600	16009366	1	101820
309001600	1039549205	0	101810
309003100	16000800	0	101800
309003100	16009366	1	101820
309003100	1039549205	0	101810
309006000	16000800	0	101800
309006000	16009366	1	101820
309006000	1039549205	0	101810
310003500	1036499206	1	100810
310003500	1045349207	0	100800
310006000	1036499206	1	100810
310006000	1045349207	0	100800
311006000	1043319205	0	100600
312001400	3371	1	104000
312006000	3371	1	104000
312026000	3371	1	104000
313001600	1037429210	0	100900
313006000	1037429210	0	100900
316006000	1044369218	1	101020
316006000	1044369219	1	101030
316106000	1044369231	0	101000
316206000	14009259	1	101030
316206000	14009266	0	101010
316211400	14009259	1	101030
316211400	14009266	0	101010
318001110	1035469206	0	101610
318006000	1035469206	0	101610
320001110	3707	1	101910
320001110	3708	1	101900
320001110	1041389407	1	101900
320006000	3707	1	101910
320006000	3708	1	101900
320006000	1041389407	1	101900
321001000	1045389220	1	102200
321006000	1045389220	1	102200
322001110	4129	1	103300
322001110	4129	1	103310
322001110	4129	1	103320
322001110	4129	1	103330
322001110	4129	1	103340
322001110	11109006	0	103300
322001110	11109006	0	103310
322001110	11109006	0	103320
322001110	11109006	0	103330
322001110	11109006	0	103340
322001110	11109006	1	103300
322001110	11109006	1	103310
322001110	11109006	1	103320
322001110	11109006	1	103330
322001110	11109006	1	103340
322001110	12039156	0	103300
322001110	12039156	0	103310
322001110	12039156	0	103320
322001110	12039156	0	103330
322001110	12039156	0	103340
322001110	12039156	1	103300
322001110	12039156	1	103310
322001110	12039156	1	103320
322001110	12039156	1	103330
322001110	12039156	1	103340
322001203	4129	1	103300
322001203	4129	1	103310
322001203	4129	1	103320
322001203	4129	1	103330
322001203	4129	1	103340
322001203	11109006	0	103300
322001203	11109006	0	103310
322001203	11109006	0	103320
322001203	11109006	0	103330
322001203	11109006	0	103340
