evidence_id	claim_id	source_id	stance	value	citation	method	independence_notes	valid_from	valid_to	notes
game:emevd:m11_05_00_00:90005750:f9500:gate-11059206:access	check:7770008/access	game:emevd-lot-gates:m11_05_00_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":11059206,""type"":""flag""}"	greenfield/lot_gates.tsv:18 check_flag=9500 gate_flag=11059206; m11_05_00_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m11_05_00_00	tools/build_v060_current_evidence.py:perfect_order_waitfor_access	The one WaitFor call is one EMEVD family; the f9500 association is joined through ItemLotParam/flag_lots and is not independent detection evidence.	1.17		Positive WaitFor prerequisite; one call site has semantics=single.
game:emevd:m11_10_00_00:90005792:f60300:gate-11102180:access	check:7770017/access	game:emevd-lot-gates:m11_10_00_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":11102180,""type"":""flag""}"	greenfield/lot_gates.tsv:21 check_flag=60300 gate_flag=11102180; m11_10_00_00.emevd.dcx.js event=90005792 commonarg/WaitFor $InitializeCommonEvent(90005792) arg1	tools/build_v060_current_evidence.py:taunters_tongue_immediate_waitfor	The one immediate WaitFor call is one EMEVD family; the f60300 association is joined through ItemLotParam/flag_lots and is not independent detection evidence. The questline DAG is a correlated projection of this family.	1.17		Immediate positive f11102180 prerequisite only; the committed corpus does not label that flag, so this claim assigns it no Alberich or Roundtable meaning.
game:emevd:m12_03_00_00:90005750:f9502:gate-4131:access	check:7770009/access	game:emevd-lot-gates:m12_03_00_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":4131,""type"":""flag""}"	greenfield/lot_gates.tsv:19 check_flag=9502 gate_flag=4131; m12_03_00_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m12_03_00_00	tools/build_v060_current_evidence.py:death_prince_immediate_waitfor	The one immediate WaitFor call is one EMEVD family; the f9502 association is joined through ItemLotParam/flag_lots and is not independent detection evidence. The questline extractor cone is a correlated projection with unknown group semantics.	1.17		Immediate positive f4131 prerequisite only; this is not the complete Fia quest chain.
game:emevd:m12_05_00_00:90005750:f400037:gate-12059166:access	check:7770560/access	game:emevd-lot-gates:m12_05_00_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":12059166,""type"":""flag""}"	greenfield/lot_gates.tsv:30 check_flag=400037 gate_flag=12059166; m12_05_00_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m12_05_00_00	tools/build_v060_current_evidence.py:varres_bouquet_immediate_waitfor	The one immediate WaitFor call is one EMEVD family; the f400037 association is joined through ItemLotParam/flag_lots and is not independent detection evidence. The questline DAG and condition cone are correlated projections of this family.	1.17		Immediate positive f12059166 prerequisite only; this is not the complete Varre quest and does not describe the Archipelago Mohg boss-sweep alternate.
game:emevd:m14_00_00_00:90005750:f400107:gate-3469:access	check:7770575/access	game:emevd-lot-gates:m14_00_00_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":3469,""type"":""flag""}"	greenfield/lot_gates.tsv:46 check_flag=400107 gate_flag=3469; m14_00_00_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m14_00_00_00|m60_41_33_00	tools/build_v060_current_evidence.py:witch_crown_immediate_waitfor	The one immediate WaitFor call is one EMEVD family; the f400107 association is joined through ItemLotParam/flag_lots and is not independent detection evidence. The questline DAG and condition cone are correlated projections of this family.	1.17		Immediate positive f3469 prerequisite only; the generic NPC state label does not prove Sellen's identity, death, or complete quest, and this claim does not describe the Archipelago Red Wolf of Radagon boss-sweep alternate.
game:emevd:m35_00_00_00:90005750:f400089:gate-35009211:access	check:7770572/access	game:emevd-lot-gates:m35_00_00_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":35009211,""type"":""flag""}"	greenfield/lot_gates.tsv:42 check_flag=400089 gate_flag=35009211; m35_00_00_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 	tools/build_v060_current_evidence.py:frenzied_flame_seal_immediate_waitfor	The one immediate WaitFor call is one EMEVD family; the f400089 association is joined through ItemLotParam/flag_lots and is not independent detection evidence. The questline DAG and condition cone are correlated projections of this family.	1.17		Immediate positive f35009211 prerequisite only; this does not prove the complete Hyetta or Frenzied Flame quest, and does not describe the Archipelago Mohg, the Omen boss-sweep alternate.
game:emevd:m60_34_49_00:90005750:f400240:gate-3768:access	check:7770585/access	game:emevd-lot-gates:m60_34_49_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":3768,""type"":""flag""}"	greenfield/lot_gates.tsv:76 check_flag=400240 gate_flag=3768; m60_34_49_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m60_34_49_00	tools/build_v060_current_evidence.py:ijis_bell_bearing_immediate_waitfor	The one immediate WaitFor call is one EMEVD family; the f400240 association is joined through ItemLotParam/flag_lots and is not independent detection evidence. The questline DAG and condition cone are correlated projections of this family.	1.17		Immediate positive f3768 prerequisite only; the generic committed flag label does not prove Iji's death or the complete Ranni/Iji quest, and this claim does not describe the Archipelago Royal Revenant boss-sweep alternate.
game:emevd:m60_39_52_00:90005792:f65270:gate-1039522181:access	check:7770039/access	game:emevd-lot-gates:m60_39_52_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""flag"":1039522181,""type"":""flag""}"	greenfield/lot_gates.tsv:22 check_flag=65270 gate_flag=1039522181; m60_39_52_00.emevd.dcx.js event=90005792 commonarg/WaitFor $InitializeCommonEvent(90005792) arg1	tools/build_v060_current_evidence.py:purifying_tear_immediate_waitfor	The one immediate WaitFor call is one EMEVD family; the f65270 association is joined through ItemLotParam/flag_lots and is not independent detection evidence. The questline DAG is a correlated projection of this family.	1.17		Immediate positive f1039522181 prerequisite only; the committed corpus does not label that flag, so this claim assigns it no Eleonora or broader quest meaning and does not describe the Archipelago Sanguine Noble boss-sweep alternate.
game:emevd:m60_41_38_00:90005750:f400191:gate-1041389414:access	check:7770583/access	game:emevd-lot-gates:m60_41_38_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""conditions"":[{""flag"":3708,""type"":""flag""},{""flag"":3709,""type"":""flag""},{""flag"":1041389414,""type"":""flag""}],""type"":""any""}"	greenfield/lot_gates.tsv:75 check_flag=400191 gate_flag=1041389414; m60_41_38_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m60_41_38_00	tools/build_v060_current_evidence.py:stormhill_waitfor_access	One of three OR arms in the same EMEVD common-event family; the f400191 association is joined through ItemLotParam/flag_lots and is not independent detection evidence.	1.17		Positive WaitFor prerequisite; separate call sites form one any group.
game:emevd:m60_41_38_00:90005750:f400191:gate-3708:access	check:7770583/access	game:emevd-lot-gates:m60_41_38_00:b27c77f763bf9fdce66ac482282732b86f282d1eb87355f4d57923ec43af045d	supports	"{""conditions"":[{""flag"":3708,""type"":""flag""},{""flag"":3709,""type"":""flag""},{""flag"":1041389414,""type"":""flag""}],""type"":""any""}"	greenfield/lot_gates.tsv:73 check_flag=400191 gate_flag=3708; m60_41_38_00.emevd.dcx.js event=90005750 commonarg/WaitFor $InitializeCommonEvent(90005750) arg5 m11_10_00_00	tools/build_v060_current_evidence.py:stormhill_waitfor_access	One of three OR arms in the same EMEVD common-event family; the f400191 association is joined through ItemLotParam/flag_lots and is not independent detection evidence.	1.17		Positive WaitFor prerequisite; separate call sites form one any group.
