check_id	confidence	access_status	external_family_count	external_families	identity_region_lead_ids	basis	limitations
7770000	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770001	trusted_identity_region	unknown	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-page-3192-revision-12414-check-7770001;fextralife-page-29119-revision-757610-check-7770001;redmaw-w8-104-check-7770001	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770002	hold	unknown	1	gameplay-guide:redmaw	redmaw-w21-35-check-7770002	fewer than two declared external families support identity_region	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770003	trusted_identity_region	unknown	3	gameplay-guide:game8;gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-21485-revision-757615-check-7770003;game8-370279-hl_4-check-7770003;redmaw-w35-119-check-7770003	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770004	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770005	trusted_identity_region	unknown	3	gameplay-guide:redmaw;gameplay-wiki:eldenpedia;gameplay-wiki:fextralife	eldenpedia-page-13139-revision-83796-check-7770005;fextralife-page-21009-revision-757614-check-7770005;redmaw-w43-38-check-7770005	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770006	trusted_identity_region	unknown	2	gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-26594-revision-757612-check-7770006;redmaw-w45-59-check-7770006	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770007	trusted_identity_region	unknown	3	gameplay-guide:powerpyx;gameplay-guide:redmaw;gameplay-wiki:fextralife	fextralife-page-20572-revision-757584-check-7770007;powerpyx-raya-lucaria-academy-check-7770007;redmaw-w13-71-check-7770007	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770008	hold	unknown	0			no external identity_region lead	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
7770009	trusted_identity_region	unknown	3	gameplay-guide:game8;gameplay-guide:powerpyx;gameplay-guide:redmaw	game8-368945-check-7770009;powerpyx-deeproot-depths-check-7770009;redmaw-w24-60-check-7770009	identity_region leads from at least two declared external source families	External identity and region corroboration only. This does not prove access, route order, progression-host safety, or exclusion.
