lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
gamesradar-scadutree-check-7771791	check	7771791	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Belurat spider-scorpion room Cross"",""region"":""Belurat""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Belurat spider-scorpion room Cross;project:check:7771791/detection	The complete collectible guide places Scadutree Fragment at Belurat spider-scorpion room Cross; that exact landmark identifies AP check 7771791 in Belurat.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7771810	check	7771810	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""secret Belurat statue reached from Enir-Ilim"",""region"":""Belurat""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:secret Belurat statue reached from Enir-Ilim;project:check:7771810/detection	The complete collectible guide places Scadutree Fragment at secret Belurat statue reached from Enir-Ilim; that exact landmark identifies AP check 7771810 in Belurat.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7771862	check	7771862	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Enir-Ilim altar beyond the bird rooftops"",""region"":""Enir Ilim""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Enir-Ilim altar beyond the bird rooftops;project:check:7771862/detection	The complete collectible guide places Scadutree Fragment at Enir-Ilim altar beyond the bird rooftops; that exact landmark identifies AP check 7771862 in Enir Ilim.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7773207	check	7773207	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Rauh Ancient Ruins stairs altar"",""region"":""Ancient Ruins""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Rauh Ancient Ruins stairs altar;project:check:7773207/detection	The complete collectible guide places Scadutree Fragment at Rauh Ancient Ruins stairs altar; that exact landmark identifies AP check 7773207 in Ancient Ruins.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7773495	check	7773495	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Highroad Cross"",""region"":""Ensis""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Highroad Cross;project:check:7773495/detection	The complete collectible guide places Scadutree Fragment at Highroad Cross; that exact landmark identifies AP check 7773495 in Ensis.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7773508	check	7773508	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Marika statue on the road to Shadow Keep"",""region"":""Scadu Altus""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Marika statue on the road to Shadow Keep;project:check:7773508/detection	The complete collectible guide places Scadutree Fragment at Marika statue on the road to Shadow Keep; that exact landmark identifies AP check 7773508 in Scadu Altus.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7773589	check	7773589	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Scaduview Cross"",""region"":""Scadu Altus""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Scaduview Cross;project:check:7773589/detection	The complete collectible guide places Scadutree Fragment at Scaduview Cross; that exact landmark identifies AP check 7773589 in Scadu Altus.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7773651	check	7773651	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Jagged Peak corpse above the two spiritsprings"",""region"":""Jagged Peak""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Jagged Peak corpse above the two spiritsprings;project:check:7773651/detection	The complete collectible guide places Scadutree Fragment at Jagged Peak corpse above the two spiritsprings; that exact landmark identifies AP check 7773651 in Jagged Peak.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7773939	check	7773939	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""Marika statue in the flooded church district"",""region"":""Scadu Altus""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:Marika statue in the flooded church district;project:check:7773939/detection	The complete collectible guide places Scadutree Fragment at Marika statue in the flooded church district; that exact landmark identifies AP check 7773939 in Scadu Altus.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
gamesradar-scadutree-check-7774544	check	7774544	identity_region	"{""item_name"":""Scadutree Fragment"",""location"":""pot-carrying shadow southwest of Cliffroad Terminus"",""region"":""Gravesite""}"	wiki:gamesradar:scadutree-fragments:20260902	gameplay-guide:gamesradar	lead_only	unknown	gamesradar-scadutree:collectible-list:pot-carrying shadow southwest of Cliffroad Terminus;project:check:7774544/detection	The complete collectible guide places Scadutree Fragment at pot-carrying shadow southwest of Cliffroad Terminus; that exact landmark identifies AP check 7774544 in Gravesite.	One commercial-guide family and a live retrieval pinned by response-body hash. The repeated item is admitted only where the landmark uniquely selects one AP check; this does not prove access logic, route order, or event timing.
