lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
game8-rauh-check-7773216	check	7773216	identity_region	{"item_name":"Pest-Thread Spears","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#pest-thread-spears	Game8 places Pest-Thread Spears behind the stairs to the Church of the Bud in Ancient Ruins of Rauh; the unique spell identifies AP check 7773216.	Identity and coarse region only; no access or logic claim.
game8-rauh-check-7773221	check	7773221	identity_region	{"item_name":"Divine Bird Feathers","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#equipment-and-items	Game8 lists Divine Bird Feathers among Ancient Ruins of Rauh items; the unique spell identifies AP check 7773221.	Identity and coarse region only; no access or logic claim.
game8-rauh-check-7773249	check	7773249	identity_region	{"item_name":"Spirit Calculus","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#equipment-and-items	Game8 lists Spirit Calculus among Ancient Ruins of Rauh items; the unique item identifies AP check 7773249.	Identity and coarse region only; no access or logic claim.
game8-rauh-check-7773343	check	7773343	identity_region	{"item_name":"Spider Scorpion Ashes","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#spider-scorpion-ashes	Game8 places Spider Scorpion Ashes on a corpse reached from Viaduct Minor Tower in Ancient Ruins of Rauh; the unique ashes identify AP check 7773343.	Identity and coarse region only; no access or logic claim.
game8-rauh-check-7773356	check	7773356	identity_region	{"item_name":"Scadutree Fragment","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#scadutree-fragment:rauh-ancient-ruins-east	Game8 places a Scadutree Fragment beside Rauh Ancient Ruins East; the anchor and project flag identify AP check 7773356.	Identity and coarse region only; project evidence disambiguates a repeated item.
game8-rauh-check-7773361	check	7773361	identity_region	{"item_name":"Bondstone","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#equipment-and-items	Game8 lists Bondstone among Ancient Ruins of Rauh items; the unique item identifies AP check 7773361.	Identity and coarse region only; no access or logic claim.
game8-rauh-check-7773876	check	7773876	identity_region	{"item_name":"Divine Beast Tornado","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#equipment-and-items	Game8 lists Divine Beast Tornado among Ancient Ruins of Rauh rewards; the unique spell identifies AP check 7773876.	Identity and coarse region only; no access or logic claim.
eip-abyssal-check-7770674	check	7770674	identity_region	{"item_name":"Remembrance of the Lord of Frenzied Flame","region":"Abyssal"}	wiki:eip:midras-manse:20260902	gameplay-guide:eip	lead_only	unknown	eip:midras-manse:#unique-rewards	EIP lists Midra's remembrance as the boss reward in Midra's Manse within Abyssal Woods; the unique reward identifies AP check 7770674.	Identity and coarse project region only; no access or logic claim.
eip-abyssal-check-7773584	check	7773584	identity_region	{"item_name":"Swollen Grape","region":"Abyssal"}	wiki:eip:abyssal-woods:20260902	gameplay-guide:eip	lead_only	unknown	eip:abyssal-woods:#abyssal-woods	EIP states that the non-talisman Winter Lanterns in Abyssal Woods drop Swollen Grapes; project flag evidence selects AP check 7773584.	Identity and coarse region only; project evidence disambiguates a repeated material.
eip-abyssal-check-7773586	check	7773586	identity_region	{"item_name":"Scadutree Fragment","region":"Abyssal"}	wiki:eip:abyssal-woods:20260902	gameplay-guide:eip	lead_only	unknown	eip:abyssal-woods:#abyssal-woods	EIP places a Scadutree Fragment beneath a tree in Abyssal Woods; the anchor and project flag identify AP check 7773586.	Identity and coarse region only; project evidence disambiguates a repeated item.
dual-abyssal-check-7773653	check	7773653	identity_region	{"item_name":"Frenzyflame Perfume Bottle","region":"Abyssal"}	wiki:eip:abyssal-woods:20260902;wiki:gameofguides:abyssal-woods:20260902	gameplay-guide:eip;gameplay-guide:gameofguides	lead_only	unknown	eip:abyssal-woods:#abandoned-church;gameofguides:abyssal-woods:#abandoned-church	EIP and Game of Guides independently place the Frenzyflame Perfume Bottle in the Abandoned Church in Abyssal Woods; the unique weapon identifies AP check 7773653.	Identity and coarse region only; no access or logic claim.
dual-abyssal-check-7773655	check	7773655	identity_region	{"item_name":"Scadutree Fragment","region":"Abyssal"}	wiki:eip:abyssal-woods:20260902;wiki:gameofguides:abyssal-woods:20260902	gameplay-guide:eip;gameplay-guide:gameofguides	lead_only	unknown	eip:abyssal-woods:#abandoned-church;gameofguides:abyssal-woods:#abandoned-church	EIP and Game of Guides independently place two Scadutree Fragments at the Abandoned Church altar in Abyssal Woods; the exact anchor and project flag identify AP check 7773655.	Identity and coarse region only; project evidence disambiguates a repeated item.
dual-manse-check-7772021	check	7772021	identity_region	{"item_name":"Nanaya's Torch","region":"Abyssal"}	wiki:game8:midras-manse:20260902;wiki:eip:midras-manse:20260902	gameplay-guide:game8;gameplay-guide:eip	lead_only	unknown	game8:459949:#nanayas-torch;eip:midras-manse:#nanayas-torch	Game8 and EIP independently place Nanaya's Torch beyond the moving library shelf in Midra's Manse; the unique weapon identifies AP check 7772021 in Abyssal.	Identity and coarse project region only; no access or logic claim.
dual-manse-check-7770170	check	7770170	identity_region	{"item_name":"Mad Craftsman's Cookbook [3]","region":"Abyssal"}	wiki:game8:midras-manse:20260902;wiki:eip:midras-manse:20260902	gameplay-guide:game8;gameplay-guide:eip	lead_only	unknown	game8:459949:#midras-manse-walkthrough;eip:midras-manse:#midras-library	Game8 and EIP independently place Mad Craftsman's Cookbook [3] beside Midra's Library in Midra's Manse; the numbered unique cookbook identifies AP check 7770170 in Abyssal.	Identity and coarse project region only; no access or logic claim.
game8-enir-check-7771850	check	7771850	identity_region	{"item_name":"Scadutree Fragment","region":"Enir Ilim"}	wiki:game8:enir-ilim:20260902	gameplay-guide:game8	lead_only	unknown	game8:459961:#scadutree-fragment:spiral-rise-site-of-grace	Game8 places a Scadutree Fragment beside the Spiral Rise grace in Enir-Ilim; the anchor and project flag identify AP check 7771850.	Identity and coarse region only; project evidence disambiguates a repeated item.
