lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-boss-page-1082-revision-100474-check-7770026	check	7770026	identity_region	"{""boss"":""Margit, the Fell Omen"",""flag"":60510,""item_name"":""Talisman Pouch"",""region"":""Limgrave""}"	wiki:eldenpedia:page-1082:revision-100474	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-1082:revision-100474:infobox-drops:Talisman Pouch;project:boss-reward defeat flag:flag-60510:boss-10000850	Eldenpedia revision 100474 lists Talisman Pouch as a drop from Margit, the Fell Omen; committed game data joins AP flag 60510 to that boss via boss-reward defeat flag.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-10823-revision-99698-check-7773870	check	7773870	identity_region	"{""boss"":""Death Rite Bird"",""flag"":530855,""item_name"":""Ash of War: Ghostflame Call"",""region"":""Cerulean""}"	wiki:eldenpedia:page-10823:revision-99698	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10823:revision-99698:infobox-drops:Ash of War: Ghostflame Call;project:boss-drop entity:flag-530855:boss-2047390800	Eldenpedia revision 99698 lists Ash of War: Ghostflame Call as a drop from Death Rite Bird; committed game data joins AP flag 530855 to that boss via boss-drop entity.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-10823-revision-99698-check-7774447	check	7774447	identity_region	"{""boss"":""Death Rite Bird"",""flag"":1048577700,""item_name"":""Explosive Ghostflame"",""region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-10823:revision-99698	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10823:revision-99698:infobox-drops:Explosive Ghostflame;project:boss-drop entity:flag-1048577700:boss-1048570800	Eldenpedia revision 99698 lists Explosive Ghostflame as a drop from Death Rite Bird; committed game data joins AP flag 1048577700 to that boss via boss-drop entity.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-10823-revision-99698-check-7774454	check	7774454	identity_region	"{""boss"":""Death Rite Bird"",""flag"":1049377110,""item_name"":""Death's Poker"",""region"":""Caelid""}"	wiki:eldenpedia:page-10823:revision-99698	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10823:revision-99698:infobox-drops:Death's Poker;project:boss-drop entity:flag-1049377110:boss-1049370850	Eldenpedia revision 99698 lists Death's Poker as a drop from Death Rite Bird; committed game data joins AP flag 1049377110 to that boss via boss-drop entity.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-11064-revision-99532-check-7770696	check	7770696	identity_region	"{""boss"":""Tibia Mariner"",""flag"":530170,""item_name"":""Deathroot"",""region"":""Limgrave""}"	wiki:eldenpedia:page-11064:revision-99532	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11064:revision-99532:infobox-drops:Deathroot;project:boss-drop entity:flag-530170:boss-1045390800	Eldenpedia revision 99532 lists Deathroot as a drop from Tibia Mariner; committed game data joins AP flag 530170 to that boss via boss-drop entity.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-11064-revision-99532-check-7770699	check	7770699	identity_region	"{""boss"":""Tibia Mariner"",""flag"":530240,""item_name"":""Deathroot"",""region"":""Liurnia""}"	wiki:eldenpedia:page-11064:revision-99532	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11064:revision-99532:infobox-drops:Deathroot;project:boss-drop entity:flag-530240:boss-1039440800	Eldenpedia revision 99532 lists Deathroot as a drop from Tibia Mariner; committed game data joins AP flag 530240 to that boss via boss-drop entity.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-11984-revision-99785-check-7773867	check	7773867	identity_region	"{""boss"":""Ghostflame Dragon"",""flag"":530840,""item_name"":""Dragon Heart"",""region"":""Cerulean""}"	wiki:eldenpedia:page-11984:revision-99785	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11984:revision-99785:infobox-drops:Dragon Heart;project:boss-drop entity:flag-530840:boss-2048380850	Eldenpedia revision 99785 lists Dragon Heart as a drop from Ghostflame Dragon; committed game data joins AP flag 530840 to that boss via boss-drop entity.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-11984-revision-99785-check-7773871	check	7773871	identity_region	"{""boss"":""Ghostflame Dragon"",""flag"":530860,""item_name"":""Dragon Heart"",""region"":""Gravesite""}"	wiki:eldenpedia:page-11984:revision-99785	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11984:revision-99785:infobox-drops:Dragon Heart;project:boss-drop entity:flag-530860:boss-2045440800	Eldenpedia revision 99785 lists Dragon Heart as a drop from Ghostflame Dragon; committed game data joins AP flag 530860 to that boss via boss-drop entity.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-12087-revision-101183-check-7900004	check	7900004	identity_region	"{""boss"":""Rennala, Queen of the Full Moon"",""flag"":197,""item_name"":""Great Rune of The Unborn"",""region"":""Raya Lucaria Academy""}"	wiki:eldenpedia:page-12087:revision-101183	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-12087:revision-101183:infobox-drops:Great Rune of The Unborn;project:boss-reward defeat flag:flag-197:boss-14000800	Eldenpedia revision 101183 lists Great Rune of The Unborn as a drop from Rennala, Queen of the Full Moon; committed game data joins AP flag 197 to that boss via boss-reward defeat flag.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
eldenpedia-boss-page-12747-revision-65515-check-7900121	check	7900121	identity_region	"{""boss"":""Godskin Noble"",""flag"":510210,""item_name"":""Noble Presence"",""region"":""Mt. Gelmir""}"	wiki:eldenpedia:page-12747:revision-65515	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-12747:revision-65515:infobox-drops:Noble Presence;project:boss-reward defeat flag:flag-510210:boss-16000850	Eldenpedia revision 65515 lists Noble Presence as a drop from Godskin Noble; committed game data joins AP flag 510210 to that boss via boss-reward defeat flag.	Community-wiki reward lead cross-checked against an exact committed boss/flag join. It does not prove access, route order, patch completeness, event timing, or absence of another acquisition.
