source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	combatant_category	drop_links	disposition
wiki:eldenpedia:page-10823:revision-99698	10823	99698	2026-05-09T20:26:53Z	b1fb52e32e24ef2b953655a7642115e64b77ca68	Death Rite Bird	https://eldenring.wiki.gg/wiki/Death_Rite_Bird	https://eldenring.wiki.gg/w/index.php?oldid=99698	Bosses	5	lead_only
wiki:eldenpedia:page-1082:revision-100474	1082	100474	2026-08-11T15:10:46Z	ff3fdd54921c73188611ea36ec0584fc2bd62989	Margit, the Fell Omen	https://eldenring.wiki.gg/wiki/Margit,_the_Fell_Omen	https://eldenring.wiki.gg/w/index.php?oldid=100474	Bosses	2	lead_only
wiki:eldenpedia:page-11064:revision-99532	11064	99532	2026-04-07T03:44:13Z	a66a34a3d86b5674462b7905e2fe17432c0e36ad	Tibia Mariner	https://eldenring.wiki.gg/wiki/Tibia_Mariner	https://eldenring.wiki.gg/w/index.php?oldid=99532	Bosses	2	lead_only
wiki:eldenpedia:page-11984:revision-99785	11984	99785	2026-05-24T23:41:54Z	dd17ad2eec2a8e924ed61e388327fc783af85770	Ghostflame Dragon	https://eldenring.wiki.gg/wiki/Ghostflame_Dragon	https://eldenring.wiki.gg/w/index.php?oldid=99785	Bosses	2	lead_only
wiki:eldenpedia:page-12087:revision-101183	12087	101183	2026-09-01T17:53:59Z	bc91454c22c26bf4994993fb7b07c2f6a380f559	Rennala, Queen of the Full Moon	https://eldenring.wiki.gg/wiki/Rennala,_Queen_of_the_Full_Moon	https://eldenring.wiki.gg/w/index.php?oldid=101183	Bosses	2	lead_only
wiki:eldenpedia:page-12747:revision-65515	12747	65515	2024-10-27T00:49:18Z	ca7d30be1c7a2c7ab1fe0197a8900627d9a6253c	Godskin Noble	https://eldenring.wiki.gg/wiki/Godskin_Noble	https://eldenring.wiki.gg/w/index.php?oldid=65515	Enemies	2	lead_only
wiki:eldenpedia:page-12900:revision-100150	12900	100150	2026-07-21T15:57:43Z	4ce1c4f95946c12bf8e8261b4f2f2227ec8ef735	Black Blade Kindred	https://eldenring.wiki.gg/wiki/Black_Blade_Kindred	https://eldenring.wiki.gg/w/index.php?oldid=100150	Bosses	2	lead_only
wiki:eldenpedia:page-12901:revision-48464	12901	48464	2024-09-12T21:22:04Z	4d29d01c929eafa20faeac48407adc74afef2ef1	Godskin Duo	https://eldenring.wiki.gg/wiki/Godskin_Duo	https://eldenring.wiki.gg/w/index.php?oldid=48464	Bosses	3	lead_only
wiki:eldenpedia:page-1293:revision-65718	1293	65718	2024-10-27T01:02:42Z	75b4bf8358c9ad36bfa9652666587d92345dc1bd	Miranda the Blighted Bloom	https://eldenring.wiki.gg/wiki/Miranda_the_Blighted_Bloom	https://eldenring.wiki.gg/w/index.php?oldid=65718	Bosses	1	lead_only
wiki:eldenpedia:page-13220:revision-100629	13220	100629	2026-08-16T15:43:14Z	a5141f01245e356456dfa23a82b6d4c8576570e4	Godfrey, First Elden Lord	https://eldenring.wiki.gg/wiki/Godfrey,_First_Elden_Lord	https://eldenring.wiki.gg/w/index.php?oldid=100629	Bosses	1	lead_only
wiki:eldenpedia:page-13542:revision-101236	13542	101236	2026-09-02T04:32:53Z	c5a3754231835d008022f838869741f7fb9342f1	Red Wolf of Radagon	https://eldenring.wiki.gg/wiki/Red_Wolf_of_Radagon	https://eldenring.wiki.gg/w/index.php?oldid=101236	Bosses	1	lead_only
wiki:eldenpedia:page-13653:revision-65223	13653	65223	2024-10-27T00:28:11Z	6cfb7b98481d3179c35df3f67996f4cb0ea2f37f	Adan, Thief of Fire	https://eldenring.wiki.gg/wiki/Adan,_Thief_of_Fire	https://eldenring.wiki.gg/w/index.php?oldid=65223	Bosses	1	lead_only
wiki:eldenpedia:page-13982:revision-75895	13982	75895	2025-03-31T02:57:50Z	ee9fbd49bf3ac465e3416cf62d6595f9e30fb02d	Putrescent Knight	https://eldenring.wiki.gg/wiki/Putrescent_Knight	https://eldenring.wiki.gg/w/index.php?oldid=75895	Bosses	1	lead_only
wiki:eldenpedia:page-14466:revision-101184	14466	101184	2026-09-01T17:59:17Z	9cc07295b0bf441888e957576bd60dbaee19570f	Rykard, Lord of Blasphemy	https://eldenring.wiki.gg/wiki/Rykard,_Lord_of_Blasphemy	https://eldenring.wiki.gg/w/index.php?oldid=101184	Bosses	2	lead_only
wiki:eldenpedia:page-14529:revision-100639	14529	100639	2026-08-16T16:23:29Z	97f90fc37f1e03ade42baf27c62732d923ce9fde	Midra, Lord of Frenzied Flame	https://eldenring.wiki.gg/wiki/Midra,_Lord_of_Frenzied_Flame	https://eldenring.wiki.gg/w/index.php?oldid=100639	Bosses	1	lead_only
wiki:eldenpedia:page-14756:revision-99762	14756	99762	2026-05-24T20:51:39Z	7118cfdaa9a145a2900708f66ec51b86c6f4a606	Death Knight	https://eldenring.wiki.gg/wiki/Death_Knight	https://eldenring.wiki.gg/w/index.php?oldid=99762	Bosses	2	lead_only
wiki:eldenpedia:page-1861:revision-7069	1861	7069	2024-09-13T12:35:57Z	c5b952dce20ee1186f236990069c1b8095f8a272	Demi-Human Queen Margot	https://eldenring.wiki.gg/wiki/Demi-Human_Queen_Margot	https://eldenring.wiki.gg/w/index.php?oldid=7069	Bosses	1	lead_only
wiki:eldenpedia:page-2250:revision-97806	2250	97806	2025-12-24T16:36:24Z	5aaf95ce95faa11a2c1337ea523f469df02910f1	Onyx Lord	https://eldenring.wiki.gg/wiki/Onyx_Lord	https://eldenring.wiki.gg/w/index.php?oldid=97806	Enemies	1	lead_only
wiki:eldenpedia:page-2350:revision-97434	2350	97434	2025-11-19T18:27:07Z	7f166a578307a624bf5f300ed4cf5afdc52250a9	Malenia, Blade of Miquella	https://eldenring.wiki.gg/wiki/Malenia,_Blade_of_Miquella	https://eldenring.wiki.gg/w/index.php?oldid=97434	Bosses	2	lead_only
wiki:eldenpedia:page-2486:revision-99449	2486	99449	2026-03-29T05:39:23Z	03475db33a44f99784b87fde3469a21ae4912d44	Elden Beast	https://eldenring.wiki.gg/wiki/Elden_Beast	https://eldenring.wiki.gg/w/index.php?oldid=99449	Bosses	1	lead_only
wiki:eldenpedia:page-261:revision-99777	261	99777	2026-05-24T21:03:43Z	58a3ea9fc8ab21f230ece220c6a29f2b85e66a3e	Ancient Dragon-Man	https://eldenring.wiki.gg/wiki/Ancient_Dragon-Man	https://eldenring.wiki.gg/w/index.php?oldid=99777	Bosses	1	lead_only
wiki:eldenpedia:page-2703:revision-96663	2703	96663	2025-08-27T13:47:43Z	8961ecd2a7b52c0b8306f5e62ba6fbe012168a77	Demi-Human Queen Maggie	https://eldenring.wiki.gg/wiki/Demi-Human_Queen_Maggie	https://eldenring.wiki.gg/w/index.php?oldid=96663	Bosses	1	lead_only
wiki:eldenpedia:page-2881:revision-67122	2881	67122	2024-11-20T04:49:09Z	6f771d2a4dbddb186c8355a14c4b0e4c045d6fe3	Tree Sentinel	https://eldenring.wiki.gg/wiki/Tree_Sentinel	https://eldenring.wiki.gg/w/index.php?oldid=67122	Enemies	1	lead_only
wiki:eldenpedia:page-3010:revision-99528	3010	99528	2026-04-07T03:37:25Z	016cc87af1695d30fc733fa83878ce5c39be1659	Deathbird	https://eldenring.wiki.gg/wiki/Deathbird	https://eldenring.wiki.gg/w/index.php?oldid=99528	Bosses	1	lead_only
wiki:eldenpedia:page-3083:revision-100473	3083	100473	2026-08-11T14:03:21Z	f4f00351522e584fd314a932e49c40e5cd8d33aa	Guardian Golem	https://eldenring.wiki.gg/wiki/Guardian_Golem	https://eldenring.wiki.gg/w/index.php?oldid=100473	Enemies	1	lead_only
wiki:eldenpedia:page-3341:revision-13224	3341	13224	2024-09-15T20:03:46Z	c3446c4ae9910c17eb27333ac13ef30706b2a5f2	Regal Ancestor Spirit	https://eldenring.wiki.gg/wiki/Regal_Ancestor_Spirit	https://eldenring.wiki.gg/w/index.php?oldid=13224	Bosses	1	lead_only
wiki:eldenpedia:page-3457:revision-99049	3457	99049	2026-02-12T06:27:31Z	ed13bc0ee0a0e10366215ae8a0a1838e28057150	Romina, Saint of the Bud	https://eldenring.wiki.gg/wiki/Romina,_Saint_of_the_Bud	https://eldenring.wiki.gg/w/index.php?oldid=99049	Bosses	1	lead_only
wiki:eldenpedia:page-4151:revision-101158	4151	101158	2026-09-01T16:38:05Z	388c4de76727d8ae8a8db640b4b8b240455ac986	Fallingstar Beast	https://eldenring.wiki.gg/wiki/Fallingstar_Beast	https://eldenring.wiki.gg/w/index.php?oldid=101158	Bosses	4	lead_only
wiki:eldenpedia:page-5134:revision-65399	5134	65399	2024-10-27T00:40:48Z	eb5230f0fdc33b9a3e28668b39cc80fa6c2942a9	Demi-Human Swordmaster Onze	https://eldenring.wiki.gg/wiki/Demi-Human_Swordmaster_Onze	https://eldenring.wiki.gg/w/index.php?oldid=65399	Bosses	1	lead_only
wiki:eldenpedia:page-5154:revision-101166	5154	101166	2026-09-01T17:03:46Z	42a332a3b3a0095b05043ef1c45b196ba1d59efd	Godrick the Grafted	https://eldenring.wiki.gg/wiki/Godrick_the_Grafted	https://eldenring.wiki.gg/w/index.php?oldid=101166	Bosses	2	lead_only
wiki:eldenpedia:page-5165:revision-100147	5165	100147	2026-07-21T15:17:58Z	90adfb2b0fc72522b6d6e2677920d316d1e13070	Ancestor Spirit	https://eldenring.wiki.gg/wiki/Ancestor_Spirit	https://eldenring.wiki.gg/w/index.php?oldid=100147	Bosses	1	lead_only
wiki:eldenpedia:page-5190:revision-99691	5190	99691	2026-05-09T03:25:36Z	bf1d20dc8b9cf1faf27c2b568b3f1cc037c0b815	Bayle the Dread	https://eldenring.wiki.gg/wiki/Bayle_the_Dread	https://eldenring.wiki.gg/w/index.php?oldid=99691	Bosses	1	lead_only
wiki:eldenpedia:page-5264:revision-83064	5264	83064	2025-04-24T01:21:04Z	23397ae10572ed8a70e4896044ac629e4c69431a	Lamenter	https://eldenring.wiki.gg/wiki/Lamenter	https://eldenring.wiki.gg/w/index.php?oldid=83064	Bosses	1	lead_only
wiki:eldenpedia:page-547:revision-1946	547	1946	2024-09-13T12:36:01Z	85556c8c26478a98f0a0497c3383f2ea153dc7fa	Demi-Human Queen Marigga	https://eldenring.wiki.gg/wiki/Demi-Human_Queen_Marigga	https://eldenring.wiki.gg/w/index.php?oldid=1946	Bosses	1	lead_only
wiki:eldenpedia:page-575:revision-100636	575	100636	2026-08-16T16:10:06Z	2e20b39fc75d89115d96cf08bdd937736a3e27e0	Rellana, Twin Moon Knight	https://eldenring.wiki.gg/wiki/Rellana,_Twin_Moon_Knight	https://eldenring.wiki.gg/w/index.php?oldid=100636	Bosses	1	lead_only
wiki:eldenpedia:page-5924:revision-100192	5924	100192	2026-07-24T11:49:38Z	81ce4fc62c1fdf3eb2e9e6086a006a49abda7077	Lichdragon Fortissax	https://eldenring.wiki.gg/wiki/Lichdragon_Fortissax	https://eldenring.wiki.gg/w/index.php?oldid=100192	Bosses	1	lead_only
wiki:eldenpedia:page-6002:revision-97590	6002	97590	2025-12-07T13:33:03Z	93fb60400509d171e6bbe0b8536b7e6530d4dc47	Magma Wyrm	https://eldenring.wiki.gg/wiki/Magma_Wyrm	https://eldenring.wiki.gg/w/index.php?oldid=97590	Bosses	1	lead_only
wiki:eldenpedia:page-615:revision-68486	615	68486	2024-12-04T01:33:55Z	422f4eeb4b9bd39054587be3b8e679cb6a69e736	Curseblade Labirith	https://eldenring.wiki.gg/wiki/Curseblade_Labirith	https://eldenring.wiki.gg/w/index.php?oldid=68486	Bosses	1	lead_only
wiki:eldenpedia:page-6357:revision-66972	6357	66972	2024-11-20T04:41:56Z	c9e7119d81e31dd2ed783ad53b8c49459b73580f	Red Wolf of the Champion	https://eldenring.wiki.gg/wiki/Red_Wolf_of_the_Champion	https://eldenring.wiki.gg/w/index.php?oldid=66972	Bosses	1	lead_only
