lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-crystal-tear-page-10069-revision-96823-check-7770038	check	7770038	acquisition_identity	"{""anchor"":""Church of Pilgrimage"",""flag"":65240,""item_name"":""Faith-knot Crystal Tear"",""project_region"":""Weeping""}"	wiki:eldenpedia:page-10069:revision-96823	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10069:revision-96823:#Acquisition:Church of Pilgrimage	Eldenpedia revision 96823 links Faith-knot Crystal Tear acquisition to Church of Pilgrimage; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-10644-revision-96820-check-7773674	check	7773674	acquisition_identity	"{""anchor"":""Warmaster's Shack"",""flag"":65210,""item_name"":""Strength-knot Crystal Tear"",""project_region"":""Limgrave""}"	wiki:eldenpedia:page-10644:revision-96820	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10644:revision-96820:#Acquisition:Warmaster's Shack	Eldenpedia revision 96820 links Strength-knot Crystal Tear acquisition to Warmaster's Shack; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-10655-revision-96913-check-7773672	check	7773672	acquisition_identity	"{""anchor"":""Liurnia of the Lakes"",""flag"":65160,""item_name"":""Ruptured Crystal Tear"",""project_region"":""Liurnia""}"	wiki:eldenpedia:page-10655:revision-96913	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10655:revision-96913:#Acquisition:Liurnia of the Lakes	Eldenpedia revision 96913 links Ruptured Crystal Tear acquisition to Liurnia of the Lakes; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-10655-revision-96913-check-7773673	check	7773673	acquisition_identity	"{""anchor"":""Consecrated Snowfield"",""flag"":65170,""item_name"":""Ruptured Crystal Tear"",""project_region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-10655:revision-96913	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10655:revision-96913:#Acquisition:Consecrated Snowfield	Eldenpedia revision 96913 links Ruptured Crystal Tear acquisition to Consecrated Snowfield; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-12727-revision-96819-check-7773664	check	7773664	acquisition_identity	"{""anchor"":""Mistwood"",""flag"":65010,""item_name"":""Greenspill Crystal Tear"",""project_region"":""Limgrave""}"	wiki:eldenpedia:page-12727:revision-96819	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-12727:revision-96819:#Acquisition:Mistwood	Eldenpedia revision 96819 links Greenspill Crystal Tear acquisition to Mistwood; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-13099-revision-96904-check-7773688	check	7773688	acquisition_identity	"{""anchor"":""Charo's Hidden Grave"",""flag"":65460,""item_name"":""Glovewort Crystal Tear"",""project_region"":""Gravesite""}"	wiki:eldenpedia:page-13099:revision-96904	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13099:revision-96904:#Acquisition:Charo's Hidden Grave	Eldenpedia revision 96904 links Glovewort Crystal Tear acquisition to Charo's Hidden Grave; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-134-revision-96812-check-7773663	check	7773663	acquisition_identity	"{""anchor"":""Wormface"",""flag"":65000,""item_name"":""Crimsonspill Crystal Tear"",""project_region"":""Altus""}"	wiki:eldenpedia:page-134:revision-96812	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-134:revision-96812:#Acquisition:Wormface	Eldenpedia revision 96812 links Crimsonspill Crystal Tear acquisition to Wormface; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-13911-revision-96848-check-7770033	check	7770033	acquisition_identity	"{""anchor"":""Hermit Merchant's Shack"",""flag"":65120,""item_name"":""Winged Crystal Tear"",""project_region"":""Altus""}"	wiki:eldenpedia:page-13911:revision-96848	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13911:revision-96848:#Acquisition:Hermit Merchant's Shack	Eldenpedia revision 96848 links Winged Crystal Tear acquisition to Hermit Merchant's Shack; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-4364-revision-96843-check-7770029	check	7770029	acquisition_identity	"{""anchor"":""Liurnia of the Lakes"",""flag"":65040,""item_name"":""Cerulean Crystal Tear"",""project_region"":""Liurnia""}"	wiki:eldenpedia:page-4364:revision-96843	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-4364:revision-96843:#Acquisition:Liurnia of the Lakes	Eldenpedia revision 96843 links Cerulean Crystal Tear acquisition to Liurnia of the Lakes; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-4364-revision-96843-check-7773666	check	7773666	acquisition_identity	"{""anchor"":""Mountaintops of the Giants"",""flag"":65050,""item_name"":""Cerulean Crystal Tear"",""project_region"":""Mountaintops of the Giants""}"	wiki:eldenpedia:page-4364:revision-96843	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-4364:revision-96843:#Acquisition:Mountaintops of the Giants	Eldenpedia revision 96843 links Cerulean Crystal Tear acquisition to Mountaintops of the Giants; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-5506-revision-96910-check-7770039	check	7770039	acquisition_identity	"{""anchor"":""Eleonora, Violet Bloody Finger"",""flag"":65270,""item_name"":""Purifying Crystal Tear"",""project_region"":""Altus""}"	wiki:eldenpedia:page-5506:revision-96910	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-5506:revision-96910:#Acquisition:Eleonora, Violet Bloody Finger	Eldenpedia revision 96910 links Purifying Crystal Tear acquisition to Eleonora, Violet Bloody Finger; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-623-revision-95373-check-7770031	check	7770031	acquisition_identity	"{""anchor"":""Weeping Peninsula"",""flag"":65090,""item_name"":""Crimsonburst Crystal Tear"",""project_region"":""Weeping""}"	wiki:eldenpedia:page-623:revision-95373	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-623:revision-95373:#Acquisition:Weeping Peninsula	Eldenpedia revision 95373 links Crimsonburst Crystal Tear acquisition to Weeping Peninsula; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-6576-revision-96845-check-7770034	check	7770034	acquisition_identity	"{""anchor"":""Southern Aeonia Swamp Bank"",""flag"":65150,""item_name"":""Windy Crystal Tear"",""project_region"":""Caelid""}"	wiki:eldenpedia:page-6576:revision-96845	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-6576:revision-96845:#Acquisition:Southern Aeonia Swamp Bank	Eldenpedia revision 96845 links Windy Crystal Tear acquisition to Southern Aeonia Swamp Bank; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
eldenpedia-crystal-tear-page-7290-revision-96842-check-7770028	check	7770028	acquisition_identity	"{""anchor"":""Capital Outskirts"",""flag"":65030,""item_name"":""Crimson Crystal Tear"",""project_region"":""Altus""}"	wiki:eldenpedia:page-7290:revision-96842	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-7290:revision-96842:#Acquisition:Capital Outskirts	Eldenpedia revision 96842 links Crimson Crystal Tear acquisition to Capital Outskirts; the source-local anchor and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or event predicates.
