lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-acquisition-page-10079-revision-69137-check-7771927	check	7771927	identity_region	"{""acquisition_anchor"":""tree worship sanctum"",""flag"":21007800,""item_name"":""Iris of Grace"",""region"":""Scadu Altus""}"	wiki:eldenpedia:page-10079:revision-69137	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10079:revision-69137:#Acquisition:tree worship sanctum;project:check:7771927/detection;flag-21007800	Eldenpedia revision 69137 places Iris of Grace at tree worship sanctum; that exact anchor selects one current AP map-lot flag (21007800) in Scadu Altus.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-10819-revision-83788-check-7774101	check	7774101	identity_region	"{""acquisition_anchor"":""rivermouth cave"",""flag"":43007030,""item_name"":""Sanguine Amaryllis"",""region"":""Gravesite""}"	wiki:eldenpedia:page-10819:revision-83788	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10819:revision-83788:#Acquisition:rivermouth cave;project:check:7774101/detection;flag-43007030	Eldenpedia revision 83788 places Sanguine Amaryllis at rivermouth cave; that exact anchor selects one current AP map-lot flag (43007030) in Gravesite.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-11641-revision-70565-check-7770615	check	7770615	identity_region	"{""acquisition_anchor"":""church of elleh"",""flag"":400390,""item_name"":""Lone Wolf Ashes"",""region"":""Limgrave""}"	wiki:eldenpedia:page-11641:revision-70565	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11641:revision-70565:#Acquisition:church of elleh;project:check:7770615/detection;flag-400390	Eldenpedia revision 70565 places Lone Wolf Ashes at church of elleh; that exact anchor selects one current AP map-lot flag (400390) in Limgrave.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-11647-revision-99391-check-7771197	check	7771197	identity_region	"{""acquisition_anchor"":""ancestral woods"",""flag"":12027520,""item_name"":""Nascent Butterfly"",""region"":""Siofra River""}"	wiki:eldenpedia:page-11647:revision-99391	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11647:revision-99391:#Acquisition:ancestral woods;project:check:7771197/detection;flag-12027520	Eldenpedia revision 99391 places Nascent Butterfly at ancestral woods; that exact anchor selects one current AP map-lot flag (12027520) in Siofra River.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-11720-revision-44101-check-7773089	check	7773089	identity_region	"{""acquisition_anchor"":""sellia under stair"",""flag"":1050397910,""item_name"":""Imbued Sword Key"",""region"":""Caelid""}"	wiki:eldenpedia:page-11720:revision-44101	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11720:revision-44101:#Acquisition:sellia under stair;project:check:7773089/detection;flag-1050397910	Eldenpedia revision 44101 places Imbued Sword Key at sellia under stair; that exact anchor selects one current AP map-lot flag (1050397910) in Caelid.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-11720-revision-44101-check-7773496	check	7773496	identity_region	"{""acquisition_anchor"":""castle lord s chamber"",""flag"":2048447800,""item_name"":""Imbued Sword Key"",""region"":""Ensis""}"	wiki:eldenpedia:page-11720:revision-44101	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11720:revision-44101:#Acquisition:castle lord s chamber;project:check:7773496/detection;flag-2048447800	Eldenpedia revision 44101 places Imbued Sword Key at castle lord s chamber; that exact anchor selects one current AP map-lot flag (2048447800) in Ensis.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-12411-revision-75894-check-7773543	check	7773543	identity_region	"{""acquisition_anchor"":""behind the fort of reprimand"",""flag"":2049437620,""item_name"":""Blessing of Marika"",""region"":""Scadu Altus""}"	wiki:eldenpedia:page-12411:revision-75894	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-12411:revision-75894:#Acquisition:behind the fort of reprimand;project:check:7773543/detection;flag-2049437620	Eldenpedia revision 75894 places Blessing of Marika at behind the fort of reprimand; that exact anchor selects one current AP map-lot flag (2049437620) in Scadu Altus.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-13351-revision-100682-check-7770697	check	7770697	identity_region	"{""acquisition_anchor"":""glintstone dragon smarag"",""flag"":530210,""item_name"":""Dragon Heart"",""region"":""Liurnia""}"	wiki:eldenpedia:page-13351:revision-100682	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13351:revision-100682:#Acquisition:glintstone dragon smarag;project:check:7770697/detection;flag-530210	Eldenpedia revision 100682 places Dragon Heart at glintstone dragon smarag; that exact anchor selects one current AP map-lot flag (530210) in Liurnia.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-13351-revision-100682-check-7770703	check	7770703	identity_region	"{""acquisition_anchor"":""glintstone dragon adula"",""flag"":530260,""item_name"":""Dragon Heart"",""region"":""Liurnia""}"	wiki:eldenpedia:page-13351:revision-100682	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13351:revision-100682:#Acquisition:glintstone dragon adula;project:check:7770703/detection;flag-530260	Eldenpedia revision 100682 places Dragon Heart at glintstone dragon adula; that exact anchor selects one current AP map-lot flag (530260) in Liurnia.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-acquisition-page-13351-revision-100682-check-7770713	check	7770713	identity_region	"{""acquisition_anchor"":""magma wyrm"",""flag"":530390,""item_name"":""Dragon Heart"",""region"":""Mt. Gelmir""}"	wiki:eldenpedia:page-13351:revision-100682	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13351:revision-100682:#Acquisition:magma wyrm;project:check:7770713/detection;flag-530390	Eldenpedia revision 100682 places Dragon Heart at magma wyrm; that exact anchor selects one current AP map-lot flag (530390) in Mt. Gelmir.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
