source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	acquisition_rows	disposition
wiki:eldenpedia:page-10079:revision-69137	10079	69137	2024-12-14T11:08:03Z	f12f6f736549df3738689938f84101925b2a6b7e	Iris of Grace	https://eldenring.wiki.gg/wiki/Iris_of_Grace	https://eldenring.wiki.gg/w/index.php?oldid=69137	0	lead_only
wiki:eldenpedia:page-10592:revision-83624	10592	83624	2025-05-02T03:40:04Z	57aca1504cbad933789af4ce26da728616518dc3	Whirl, O Flame!	https://eldenring.wiki.gg/wiki/Whirl,_O_Flame!	https://eldenring.wiki.gg/w/index.php?oldid=83624	1	lead_only
wiki:eldenpedia:page-10629:revision-99421	10629	99421	2026-03-27T15:51:16Z	922d371b9f32b06d30e03fef878c48661ae57ab8	Marika's Soreseal	https://eldenring.wiki.gg/wiki/Marika's_Soreseal	https://eldenring.wiki.gg/w/index.php?oldid=99421	3	lead_only
wiki:eldenpedia:page-10819:revision-83788	10819	83788	2025-05-03T15:13:28Z	24990a4b9ce4d5281b1caab8af591fb873055850	Sanguine Amaryllis	https://eldenring.wiki.gg/wiki/Sanguine_Amaryllis	https://eldenring.wiki.gg/w/index.php?oldid=83788	1	lead_only
wiki:eldenpedia:page-10883:revision-75533	10883	75533	2025-03-18T18:41:03Z	8360e80c3c49c90b2dcb36945f869f399cb124dd	Pillory Shield	https://eldenring.wiki.gg/wiki/Pillory_Shield	https://eldenring.wiki.gg/w/index.php?oldid=75533	1	lead_only
wiki:eldenpedia:page-10925:revision-83485	10925	83485	2025-05-01T13:01:02Z	f2c087c58c38095c673b25c1618166daf73f7790	Mad Pumpkin Head Ashes	https://eldenring.wiki.gg/wiki/Mad_Pumpkin_Head_Ashes	https://eldenring.wiki.gg/w/index.php?oldid=83485	0	lead_only
wiki:eldenpedia:page-1129:revision-4379	1129	4379	2024-07-14T14:00:48Z	70142204a94eb70f6bf22fbc6cbfeb0594289eb4	Kaiden Sellsword Ashes	https://eldenring.wiki.gg/wiki/Kaiden_Sellsword_Ashes	https://eldenring.wiki.gg/w/index.php?oldid=4379	0	lead_only
wiki:eldenpedia:page-11424:revision-70128	11424	70128	2024-12-31T08:13:02Z	4a2424005101e5c42d7427d87ec4d765f89ebd13	Ash of War: Flame of the Redmanes	https://eldenring.wiki.gg/wiki/Ash_of_War:_Flame_of_the_Redmanes	https://eldenring.wiki.gg/w/index.php?oldid=70128	1	lead_only
wiki:eldenpedia:page-11426:revision-42932	11426	42932	2024-07-14T13:44:45Z	da5724b41d4c84eae48856ef1a0236f6a721f7de	Page Ashes	https://eldenring.wiki.gg/wiki/Page_Ashes	https://eldenring.wiki.gg/w/index.php?oldid=42932	0	lead_only
wiki:eldenpedia:page-11641:revision-70565	11641	70565	2025-01-12T15:47:52Z	101c744f681fabfaffdb4547f69813d816b373ce	Lone Wolf Ashes	https://eldenring.wiki.gg/wiki/Lone_Wolf_Ashes	https://eldenring.wiki.gg/w/index.php?oldid=70565	1	lead_only
wiki:eldenpedia:page-11647:revision-99391	11647	99391	2026-03-24T11:13:35Z	cb4c2715d588d1360317d479e60ae39d4ae7bc73	Nascent Butterfly	https://eldenring.wiki.gg/wiki/Nascent_Butterfly	https://eldenring.wiki.gg/w/index.php?oldid=99391	2	lead_only
wiki:eldenpedia:page-11720:revision-44101	11720	44101	2024-09-12T15:10:00Z	213806dbe8b2eb93a497d5aefc0c8eb2b8631a47	Imbued Sword Key	https://eldenring.wiki.gg/wiki/Imbued_Sword_Key	https://eldenring.wiki.gg/w/index.php?oldid=44101	3	lead_only
wiki:eldenpedia:page-12411:revision-75894	12411	75894	2025-03-30T23:07:33Z	9a16698d21169c242675d8a76e125ce6ef1cf3a3	Blessing of Marika	https://eldenring.wiki.gg/wiki/Blessing_of_Marika	https://eldenring.wiki.gg/w/index.php?oldid=75894	5	lead_only
wiki:eldenpedia:page-13114:revision-49231	13114	49231	2024-07-14T13:40:02Z	00d52956c086ce5424b15466bbcefd7357b1b16d	Archer Ashes	https://eldenring.wiki.gg/wiki/Archer_Ashes	https://eldenring.wiki.gg/w/index.php?oldid=49231	0	lead_only
wiki:eldenpedia:page-13351:revision-100682	13351	100682	2026-08-18T00:02:46Z	83a39b1c295adb6871da9f846d965cdddfab9f4a	Dragon Heart	https://eldenring.wiki.gg/wiki/Dragon_Heart	https://eldenring.wiki.gg/w/index.php?oldid=100682	17	lead_only
wiki:eldenpedia:page-133:revision-68822	133	68822	2024-12-08T18:07:28Z	afa1db6d507d00fa625c140863c33978e51a2073	Ash of War: Bloodhound's Step	https://eldenring.wiki.gg/wiki/Ash_of_War:_Bloodhound's_Step	https://eldenring.wiki.gg/w/index.php?oldid=68822	1	lead_only
wiki:eldenpedia:page-13740:revision-68437	13740	68437	2024-12-01T16:13:48Z	1ed169833fd645f0901301fb323de937a6e80152	Ash of War: Carian Grandeur	https://eldenring.wiki.gg/wiki/Ash_of_War:_Carian_Grandeur	https://eldenring.wiki.gg/w/index.php?oldid=68437	2	lead_only
wiki:eldenpedia:page-13792:revision-51554	13792	51554	2024-08-30T09:34:13Z	3ac8eb38be83f5763c9eac55c6d9c67b0b046d48	Congealed Putrescence	https://eldenring.wiki.gg/wiki/Congealed_Putrescence	https://eldenring.wiki.gg/w/index.php?oldid=51554	1	lead_only
wiki:eldenpedia:page-14093:revision-75812	14093	75812	2025-03-29T07:34:03Z	91009199dca23c707a06381a87a022d731649039	Lightningproof Dried Liver	https://eldenring.wiki.gg/wiki/Lightningproof_Dried_Liver	https://eldenring.wiki.gg/w/index.php?oldid=75812	5	lead_only
wiki:eldenpedia:page-14634:revision-68925	14634	68925	2024-12-10T22:03:34Z	f28e8e84f09904b68713f52d1f7dfe82e01acd31	Ash of War: Shield Bash	https://eldenring.wiki.gg/wiki/Ash_of_War:_Shield_Bash	https://eldenring.wiki.gg/w/index.php?oldid=68925	1	lead_only
wiki:eldenpedia:page-14692:revision-70318	14692	70318	2025-01-06T09:27:40Z	99e3df25ab0af6c5a71b92145b6b9c53b88e8af6	Royal House Scroll	https://eldenring.wiki.gg/wiki/Royal_House_Scroll	https://eldenring.wiki.gg/w/index.php?oldid=70318	1	lead_only
wiki:eldenpedia:page-155:revision-599	155	599	2024-06-13T17:22:49Z	125464261b6d18b2848115a9a624e8a5f988cd84	Frenzyflame Stone	https://eldenring.wiki.gg/wiki/Frenzyflame_Stone	https://eldenring.wiki.gg/w/index.php?oldid=599	4	lead_only
wiki:eldenpedia:page-16578:revision-82337	16578	82337	2025-04-06T23:01:55Z	1665689be52ad54f5ed5d8473fcbe91b902ce30f	Leather Arm Wraps	https://eldenring.wiki.gg/wiki/Leather_Arm_Wraps	https://eldenring.wiki.gg/w/index.php?oldid=82337	2	lead_only
wiki:eldenpedia:page-16579:revision-82338	16579	82338	2025-04-06T23:02:08Z	f7e0bb2fcc7ff68d844f53e6b3b9db9d413a9df4	Leather Leg Wraps	https://eldenring.wiki.gg/wiki/Leather_Leg_Wraps	https://eldenring.wiki.gg/w/index.php?oldid=82338	2	lead_only
