lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-page-10227-revision-96278-check-7770023	check	7770023	identity_region	"{""item_name"":""Memory Stone"",""region"":""Caelid""}"	wiki:eldenpedia:page-10227:revision-96278	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10227:revision-96278:#Notable_Loot:Memory Stone	Eldenpedia revision 96278 lists Memory Stone as notable loot on Lenne's Rise; that exact name identifies one current AP check in Caelid.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10313-revision-95453-check-7772326	check	7772326	identity_region	"{""item_name"":""Gold-Pickled Fowl Foot"",""region"":""Altus""}"	wiki:eldenpedia:page-10313:revision-95453	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10313:revision-95453:#Notable_Loot:Gold-Pickled Fowl Foot	Eldenpedia revision 95453 lists Gold-Pickled Fowl Foot as notable loot on Sealed Tunnel; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10313-revision-95453-check-7772330	check	7772330	identity_region	"{""item_name"":""Furlcalling Finger Remedy"",""region"":""Altus""}"	wiki:eldenpedia:page-10313:revision-95453	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10313:revision-95453:#Notable_Loot:Furlcalling Finger Remedy	Eldenpedia revision 95453 lists Furlcalling Finger Remedy as notable loot on Sealed Tunnel; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10313-revision-95453-check-7772333	check	7772333	identity_region	"{""item_name"":""Large Glintstone Scrap"",""region"":""Altus""}"	wiki:eldenpedia:page-10313:revision-95453	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10313:revision-95453:#Notable_Loot:Large Glintstone Scrap	Eldenpedia revision 95453 lists Large Glintstone Scrap as notable loot on Sealed Tunnel; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10313-revision-95453-check-7772337	check	7772337	identity_region	"{""item_name"":""Smithing-Stone Miner's Bell Bearing 2"",""region"":""Altus""}"	wiki:eldenpedia:page-10313:revision-95453	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10313:revision-95453:#Notable_Loot:Smithing-Stone Miner's Bell Bearing 2	Eldenpedia revision 95453 lists Smithing-Stone Miner's Bell Bearing 2 as notable loot on Sealed Tunnel; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10313-revision-95453-check-7773843	check	7773843	identity_region	"{""item_name"":""Onyx Lord's Greatsword"",""region"":""Altus""}"	wiki:eldenpedia:page-10313:revision-95453	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10313:revision-95453:#Notable_Loot:Onyx Lord's Greatsword	Eldenpedia revision 95453 lists Onyx Lord's Greatsword as notable loot on Sealed Tunnel; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10460-revision-39254-check-7770756	check	7770756	identity_region	"{""item_name"":""Ash of War: Shield Crash"",""region"":""Altus""}"	wiki:eldenpedia:page-10460:revision-39254	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10460:revision-39254:#Notable_Loot:Ash of War: Shield Crash	Eldenpedia revision 39254 lists Ash of War: Shield Crash as notable loot on Lux Ruins; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10460-revision-39254-check-7774233	check	7774233	identity_region	"{""item_name"":""Ritual Sword Talisman"",""region"":""Altus""}"	wiki:eldenpedia:page-10460:revision-39254	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10460:revision-39254:#Notable_Loot:Ritual Sword Talisman	Eldenpedia revision 39254 lists Ritual Sword Talisman as notable loot on Lux Ruins; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10495-revision-39361-check-7772106	check	7772106	identity_region	"{""item_name"":""Rejuvenating Boluses"",""region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-10495:revision-39361	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10495:revision-39361:#Notable_Loot:Rejuvenating Boluses	Eldenpedia revision 39361 lists Rejuvenating Boluses as notable loot on Consecrated Snowfield Catacombs; that exact name identifies one current AP check in Consecrated Snowfield.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10495-revision-39361-check-7772108	check	7772108	identity_region	"{""item_name"":""Human Bone Shard"",""region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-10495:revision-39361	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10495:revision-39361:#Notable_Loot:Human Bone Shard	Eldenpedia revision 39361 lists Human Bone Shard as notable loot on Consecrated Snowfield Catacombs; that exact name identifies one current AP check in Consecrated Snowfield.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10495-revision-39361-check-7772109	check	7772109	identity_region	"{""item_name"":""Imp Head (Elder)"",""region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-10495:revision-39361	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10495:revision-39361:#Notable_Loot:Imp Head (Elder)	Eldenpedia revision 39361 lists Imp Head (Elder) as notable loot on Consecrated Snowfield Catacombs; that exact name identifies one current AP check in Consecrated Snowfield.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10495-revision-39361-check-7773821	check	7773821	identity_region	"{""item_name"":""Great Grave Glovewort"",""region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-10495:revision-39361	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10495:revision-39361:#Notable_Loot:Great Grave Glovewort	Eldenpedia revision 39361 lists Great Grave Glovewort as notable loot on Consecrated Snowfield Catacombs; that exact name identifies one current AP check in Consecrated Snowfield.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10495-revision-39361-check-7900138	check	7900138	identity_region	"{""item_name"":""Rotten Gravekeeper Cloak"",""region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-10495:revision-39361	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10495:revision-39361:#Notable_Loot:Rotten Gravekeeper Cloak	Eldenpedia revision 39361 lists Rotten Gravekeeper Cloak as notable loot on Consecrated Snowfield Catacombs; that exact name identifies one current AP check in Consecrated Snowfield.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10560-revision-39666-check-7770117	check	7770117	identity_region	"{""item_name"":""Missionary's Cookbook 4"",""region"":""Altus""}"	wiki:eldenpedia:page-10560:revision-39666	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10560:revision-39666:#Notable_Loot:Missionary's Cookbook 4	Eldenpedia revision 39666 lists Missionary's Cookbook 4 as notable loot on Minor Erdtree Church; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10593-revision-39788-check-7773126	check	7773126	identity_region	"{""item_name"":""Neutralizing Boluses"",""region"":""Caelid""}"	wiki:eldenpedia:page-10593:revision-39788	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10593:revision-39788:#Notable_Loot:Neutralizing Boluses	Eldenpedia revision 39788 lists Neutralizing Boluses as notable loot on Fort Faroth; that exact name identifies one current AP check in Caelid.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10593-revision-39788-check-7773127	check	7773127	identity_region	"{""item_name"":""Radagon's Soreseal"",""region"":""Caelid""}"	wiki:eldenpedia:page-10593:revision-39788	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10593:revision-39788:#Notable_Loot:Radagon's Soreseal	Eldenpedia revision 39788 lists Radagon's Soreseal as notable loot on Fort Faroth; that exact name identifies one current AP check in Caelid.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10593-revision-39788-check-7773128	check	7773128	identity_region	"{""item_name"":""Dectus Medallion (Right)"",""region"":""Caelid""}"	wiki:eldenpedia:page-10593:revision-39788	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10593:revision-39788:#Notable_Loot:Dectus Medallion (Right)	Eldenpedia revision 39788 lists Dectus Medallion (Right) as notable loot on Fort Faroth; that exact name identifies one current AP check in Caelid.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10634-revision-39901-check-7773149	check	7773149	identity_region	"{""item_name"":""Primal Glintstone Blade"",""region"":""Mountaintops of the Giants""}"	wiki:eldenpedia:page-10634:revision-39901	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10634:revision-39901:#Notable_Loot:Primal Glintstone Blade	Eldenpedia revision 39901 lists Primal Glintstone Blade as notable loot on Stargazer's Ruins; that exact name identifies one current AP check in Mountaintops of the Giants.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10763-revision-40416-check-7772089	check	7772089	identity_region	"{""item_name"":""Miranda Sprout Ashes"",""region"":""Caelid""}"	wiki:eldenpedia:page-10763:revision-40416	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10763:revision-40416:#Notable_Loot:Miranda Sprout Ashes	Eldenpedia revision 40416 lists Miranda Sprout Ashes as notable loot on Caelid Catacombs; that exact name identifies one current AP check in Caelid.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10763-revision-40416-check-7773817	check	7773817	identity_region	"{""item_name"":""Kindred of Rot Ashes"",""region"":""Caelid""}"	wiki:eldenpedia:page-10763:revision-40416	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10763:revision-40416:#Notable_Loot:Kindred of Rot Ashes	Eldenpedia revision 40416 lists Kindred of Rot Ashes as notable loot on Caelid Catacombs; that exact name identifies one current AP check in Caelid.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10839-revision-40802-check-7772072	check	7772072	identity_region	"{""item_name"":""Crucible Feather Talisman"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Crucible Feather Talisman	Eldenpedia revision 40802 lists Crucible Feather Talisman as notable loot on Auriza Hero's Grave; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10839-revision-40802-check-7772073	check	7772073	identity_region	"{""item_name"":""Golden Epitaph"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Golden Epitaph	Eldenpedia revision 40802 lists Golden Epitaph as notable loot on Auriza Hero's Grave; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10839-revision-40802-check-7772074	check	7772074	identity_region	"{""item_name"":""Great Dragonfly Head"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Great Dragonfly Head	Eldenpedia revision 40802 lists Great Dragonfly Head as notable loot on Auriza Hero's Grave; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10839-revision-40802-check-7772075	check	7772075	identity_region	"{""item_name"":""Vulgar Militia Ashes"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Vulgar Militia Ashes	Eldenpedia revision 40802 lists Vulgar Militia Ashes as notable loot on Auriza Hero's Grave; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10839-revision-40802-check-7772076	check	7772076	identity_region	"{""item_name"":""Ash of War: Holy Ground"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Ash of War: Holy Ground	Eldenpedia revision 40802 lists Ash of War: Holy Ground as notable loot on Auriza Hero's Grave; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
eldenpedia-page-10839-revision-40802-check-7773812	check	7773812	identity_region	"{""item_name"":""Ordovis's Greatsword"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Ordovis's Greatsword	Eldenpedia revision 40802 lists Ordovis's Greatsword as notable loot on Auriza Hero's Grave; that exact name identifies one current AP check in Altus.	Community-wiki location lead matched by exact item name inside an explicit region mapping. It does not prove access, a v1.17 event predicate, route order, completeness, or absence of another source.
