source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	wiki_region	ap_regions	notable_loot_links	disposition
wiki:eldenpedia:page-62:revision-82794	62	82794	2025-04-21T11:58:29Z	70ca95dafedc8c6d87e2360bcc728b4c812153d9	Sage's Cave	https://eldenring.wiki.gg/wiki/Sage's_Cave	https://eldenring.wiki.gg/w/index.php?oldid=82794	Altus Plateau	Altus,Leyndell	15	lead_only
wiki:eldenpedia:page-71:revision-101011	71	101011	2026-08-29T20:26:47Z	9477f4dc6540910c711700eaa85fed136c9119c5	Wailing Dunes	https://eldenring.wiki.gg/wiki/Wailing_Dunes	https://eldenring.wiki.gg/w/index.php?oldid=101011	Caelid	Caelid	1	lead_only
wiki:eldenpedia:page-76:revision-302	76	302	2024-08-27T15:52:42Z	774f6636f334d01c3ca88a0f17ff95a9bf0a214a	Frenzy-Flaming Tower	https://eldenring.wiki.gg/wiki/Frenzy-Flaming_Tower	https://eldenring.wiki.gg/w/index.php?oldid=302			1	lead_only
wiki:eldenpedia:page-215:revision-761	215	761	2023-08-27T12:30:57Z	a899c7e6e9d0d78707cbc71b844c6de8e84e7ba7	Seethewater Cave	https://eldenring.wiki.gg/wiki/Seethewater_Cave	https://eldenring.wiki.gg/w/index.php?oldid=761	Mt. Gelmir	Mt. Gelmir	8	lead_only
wiki:eldenpedia:page-245:revision-862	245	862	2023-08-27T12:42:35Z	12b79d613486528867a7590c0ea8fcd6f17fee2d	Stormcaller Church	https://eldenring.wiki.gg/wiki/Stormcaller_Church	https://eldenring.wiki.gg/w/index.php?oldid=862	Altus Plateau	Altus,Leyndell	3	lead_only
wiki:eldenpedia:page-268:revision-935	268	935	2023-08-27T12:38:05Z	b6f1ed05b0900f04810ebc6ec74771d8b6d8aa12	Highway Lookout Tower (Liurnia)	https://eldenring.wiki.gg/wiki/Highway_Lookout_Tower_(Liurnia)	https://eldenring.wiki.gg/w/index.php?oldid=935			3	lead_only
wiki:eldenpedia:page-340:revision-1146	340	1146	2023-08-27T12:22:36Z	e1cb4dce0356eaf34ec5e2b8d37e94cf8be42977	Leyndell Catacombs	https://eldenring.wiki.gg/wiki/Leyndell_Catacombs	https://eldenring.wiki.gg/w/index.php?oldid=1146	Leyndell, Royal Capital	Leyndell,Sewer	7	lead_only
wiki:eldenpedia:page-413:revision-95021	413	95021	2025-07-21T07:29:34Z	9a5b7471b32472ef608b8b1476a29857270969c7	Weeping Peninsula	https://eldenring.wiki.gg/wiki/Weeping_Peninsula	https://eldenring.wiki.gg/w/index.php?oldid=95021	Limgrave	Limgrave,Stormveil	0	lead_only
wiki:eldenpedia:page-461:revision-1675	461	1675	2023-08-27T12:24:47Z	873ecea5c140ab269a3a3fb060ddbc64365878bc	Artist's Shack (Liurnia)	https://eldenring.wiki.gg/wiki/Artist's_Shack_(Liurnia)	https://eldenring.wiki.gg/w/index.php?oldid=1675			2	lead_only
wiki:eldenpedia:page-565:revision-101157	565	101157	2026-09-01T16:37:53Z	b2dfba325038c9c6f0d819aa688147979dc04f6a	Perfumer's Grotto	https://eldenring.wiki.gg/wiki/Perfumer's_Grotto	https://eldenring.wiki.gg/w/index.php?oldid=101157	Altus Plateau	Altus,Leyndell	7	lead_only
wiki:eldenpedia:page-572:revision-2056	572	2056	2023-08-27T12:29:07Z	bc96c09beb069226b7fecc961a87563b0a10cce0	Converted Fringe Tower	https://eldenring.wiki.gg/wiki/Converted_Fringe_Tower	https://eldenring.wiki.gg/w/index.php?oldid=2056			3	lead_only
wiki:eldenpedia:page-577:revision-2086	577	2086	2024-06-29T16:53:34Z	9d5a0ece51ca9eb040012785a20e358cceac48fb	Malefactor's Evergaol	https://eldenring.wiki.gg/wiki/Malefactor's_Evergaol	https://eldenring.wiki.gg/w/index.php?oldid=2086			2	lead_only
wiki:eldenpedia:page-590:revision-84707	590	84707	2025-05-11T18:02:40Z	9ba3c7c01fb50300f63a76ce6e9c802b56ca95bf	Liurnia of the Lakes	https://eldenring.wiki.gg/wiki/Liurnia_of_the_Lakes	https://eldenring.wiki.gg/w/index.php?oldid=84707			0	lead_only
