lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-repeated-page-10593-revision-39788-check-7773123	check	7773123	identity_region	"{""flag"":1051397040,""item_name"":""Golden Rune 12"",""location_page"":""Fort Faroth"",""region"":""Caelid""}"	wiki:eldenpedia:page-10593:revision-39788	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10593:revision-39788:#Notable_Loot:Golden Rune 12;project:check:7773123/detection;flag-1051397040	Eldenpedia revision 39788 lists Golden Rune 12 on Fort Faroth; that exact page title selects one of the repeated Caelid checks, whose current v1.17 map-lot flag is 1051397040.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-10839-revision-40802-check-7772068	check	7772068	identity_region	"{""flag"":30107010,""item_name"":""Holy Grease"",""location_page"":""Auriza Hero's Grave"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Holy Grease;project:check:7772068/detection;flag-30107010	Eldenpedia revision 40802 lists Holy Grease on Auriza Hero's Grave; that exact page title selects one of the repeated Altus checks, whose current v1.17 map-lot flag is 30107010.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-10839-revision-40802-check-7772069	check	7772069	identity_region	"{""flag"":30107020,""item_name"":""Fan Daggers"",""location_page"":""Auriza Hero's Grave"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Fan Daggers;project:check:7772069/detection;flag-30107020	Eldenpedia revision 40802 lists Fan Daggers on Auriza Hero's Grave; that exact page title selects one of the repeated Altus checks, whose current v1.17 map-lot flag is 30107020.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-10839-revision-40802-check-7772070	check	7772070	identity_region	"{""flag"":30107030,""item_name"":""Golden Rune 7"",""location_page"":""Auriza Hero's Grave"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Golden Rune 7;project:check:7772070/detection;flag-30107030	Eldenpedia revision 40802 lists Golden Rune 7 on Auriza Hero's Grave; that exact page title selects one of the repeated Altus checks, whose current v1.17 map-lot flag is 30107030.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-10839-revision-40802-check-7773957	check	7773957	identity_region	"{""flag"":30107070,""item_name"":""Stonesword Key"",""location_page"":""Auriza Hero's Grave"",""region"":""Altus""}"	wiki:eldenpedia:page-10839:revision-40802	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10839:revision-40802:#Notable_Loot:Stonesword Key;project:check:7773957/detection;flag-30107070	Eldenpedia revision 40802 lists Stonesword Key on Auriza Hero's Grave; that exact page title selects one of the repeated Altus checks, whose current v1.17 map-lot flag is 30107070.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-10912-revision-101159-check-7772271	check	7772271	identity_region	"{""flag"":32057010,""item_name"":""Arteria Leaf"",""location_page"":""Altus Tunnel"",""region"":""Altus""}"	wiki:eldenpedia:page-10912:revision-101159	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10912:revision-101159:#Notable_Loot:Arteria Leaf;project:check:7772271/detection;flag-32057010	Eldenpedia revision 101159 lists Arteria Leaf on Altus Tunnel; that exact page title selects one of the repeated Altus checks, whose current v1.17 map-lot flag is 32057010.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-10912-revision-101159-check-7772276	check	7772276	identity_region	"{""flag"":32057910,""item_name"":""Rune Arc"",""location_page"":""Altus Tunnel"",""region"":""Altus""}"	wiki:eldenpedia:page-10912:revision-101159	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-10912:revision-101159:#Notable_Loot:Rune Arc;project:check:7772276/detection;flag-32057910	Eldenpedia revision 101159 lists Rune Arc on Altus Tunnel; that exact page title selects one of the repeated Altus checks, whose current v1.17 map-lot flag is 32057910.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-11126-revision-41948-check-7772035	check	7772035	identity_region	"{""flag"":30037030,""item_name"":""Rune Arc"",""location_page"":""Road's End Catacombs"",""region"":""Liurnia""}"	wiki:eldenpedia:page-11126:revision-41948	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11126:revision-41948:#Notable_Loot:Rune Arc;project:check:7772035/detection;flag-30037030	Eldenpedia revision 41948 lists Rune Arc on Road's End Catacombs; that exact page title selects one of the repeated Liurnia checks, whose current v1.17 map-lot flag is 30037030.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-11127-revision-70954-check-7773322	check	7773322	identity_region	"{""flag"":2046447700,""item_name"":""Revered Spirit Ash"",""location_page"":""Abandoned Ailing Village"",""region"":""Gravesite""}"	wiki:eldenpedia:page-11127:revision-70954	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11127:revision-70954:#Notable_Loot:Revered Spirit Ash;project:check:7773322/detection;flag-2046447700	Eldenpedia revision 70954 lists Revered Spirit Ash on Abandoned Ailing Village; that exact page title selects one of the repeated Gravesite checks, whose current v1.17 map-lot flag is 2046447700.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-repeated-page-11147-revision-42019-check-7772081	check	7772081	identity_region	"{""flag"":30137020,""item_name"":""Golden Rune 7"",""location_page"":""Auriza Side Tomb"",""region"":""Altus""}"	wiki:eldenpedia:page-11147:revision-42019	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-11147:revision-42019:#Notable_Loot:Golden Rune 7;project:check:7772081/detection;flag-30137020	Eldenpedia revision 42019 lists Golden Rune 7 on Auriza Side Tomb; that exact page title selects one of the repeated Altus checks, whose current v1.17 map-lot flag is 30137020.	Community-wiki location lead disambiguated by an exact page-title phrase in the current AP description and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
