lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-upgrade-page-12356-revision-93598-check-7771420	check	7771420	identity_region	"{""acquisition_anchor"":""crumbling beast grave depths"",""flag"":13007170,""item_name"":""Somber Smithing Stone 9"",""region"":""Farum Azula""}"	wiki:eldenpedia:page-12356:revision-93598	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-12356:revision-93598:#Acquisition:crumbling beast grave depths;project:check:7771420/detection;flag-13007170	Eldenpedia revision 93598 places Somber Smithing Stone 9 at crumbling beast grave depths; that exact anchor selects one current AP map-lot flag (13007170) in Farum Azula.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-12356-revision-93598-check-7771598	check	7771598	identity_region	"{""acquisition_anchor"":""haligtree town plaza"",""flag"":15007320,""item_name"":""Somber Smithing Stone 9"",""region"":""Haligtree""}"	wiki:eldenpedia:page-12356:revision-93598	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-12356:revision-93598:#Acquisition:haligtree town plaza;project:check:7771598/detection;flag-15007320	Eldenpedia revision 93598 places Somber Smithing Stone 9 at haligtree town plaza; that exact anchor selects one current AP map-lot flag (15007320) in Haligtree.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-12356-revision-93598-check-7771994	check	7771994	identity_region	"{""acquisition_anchor"":""west rampart"",""flag"":21027270,""item_name"":""Somber Smithing Stone 9"",""region"":""Shadow Keep""}"	wiki:eldenpedia:page-12356:revision-93598	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-12356:revision-93598:#Acquisition:west rampart;project:check:7771994/detection;flag-21027270	Eldenpedia revision 93598 places Somber Smithing Stone 9 at west rampart; that exact anchor selects one current AP map-lot flag (21027270) in Shadow Keep.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-14861-revision-100372-check-7772841	check	7772841	identity_region	"{""acquisition_anchor"":""warmaster s shack"",""flag"":1042387600,""item_name"":""Smithing Stone 1"",""region"":""Limgrave""}"	wiki:eldenpedia:page-14861:revision-100372	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-14861:revision-100372:#Acquisition:warmaster s shack;project:check:7772841/detection;flag-1042387600	Eldenpedia revision 100372 places Smithing Stone 1 at warmaster s shack; that exact anchor selects one current AP map-lot flag (1042387600) in Limgrave.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-14861-revision-100372-check-7772905	check	7772905	identity_region	"{""acquisition_anchor"":""castle morne rampart"",""flag"":1044327010,""item_name"":""Smithing Stone 1"",""region"":""Weeping""}"	wiki:eldenpedia:page-14861:revision-100372	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-14861:revision-100372:#Acquisition:castle morne rampart;project:check:7772905/detection;flag-1044327010	Eldenpedia revision 100372 places Smithing Stone 1 at castle morne rampart; that exact anchor selects one current AP map-lot flag (1044327010) in Weeping.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-14861-revision-100372-check-7774364	check	7774364	identity_region	"{""acquisition_anchor"":""bridge of sacrifice"",""flag"":1044347010,""item_name"":""Smithing Stone 1"",""region"":""Weeping""}"	wiki:eldenpedia:page-14861:revision-100372	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-14861:revision-100372:#Acquisition:bridge of sacrifice;project:check:7774364/detection;flag-1044347010	Eldenpedia revision 100372 places Smithing Stone 1 at bridge of sacrifice; that exact anchor selects one current AP map-lot flag (1044347010) in Weeping.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-2810-revision-99749-check-7772995	check	7772995	identity_region	"{""acquisition_anchor"":""yelough anix tunnel"",""flag"":1047557000,""item_name"":""Smithing Stone 7"",""region"":""Consecrated Snowfield""}"	wiki:eldenpedia:page-2810:revision-99749	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-2810:revision-99749:#Acquisition:yelough anix tunnel;project:check:7772995/detection;flag-1047557000	Eldenpedia revision 99749 places Smithing Stone 7 at yelough anix tunnel; that exact anchor selects one current AP map-lot flag (1047557000) in Consecrated Snowfield.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-6214-revision-23462-check-7770728	check	7770728	identity_region	"{""acquisition_anchor"":""artist s shack"",""flag"":540142,""item_name"":""Somber Smithing Stone 1"",""region"":""Limgrave""}"	wiki:eldenpedia:page-6214:revision-23462	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-6214:revision-23462:#Acquisition:artist s shack;project:check:7770728/detection;flag-540142	Eldenpedia revision 23462 places Somber Smithing Stone 1 at artist s shack; that exact anchor selects one current AP map-lot flag (540142) in Limgrave.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-6214-revision-23462-check-7770729	check	7770729	identity_region	"{""acquisition_anchor"":""church of dragon communion"",""flag"":540144,""item_name"":""Somber Smithing Stone 1"",""region"":""Limgrave""}"	wiki:eldenpedia:page-6214:revision-23462	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-6214:revision-23462:#Acquisition:church of dragon communion;project:check:7770729/detection;flag-540144	Eldenpedia revision 23462 places Somber Smithing Stone 1 at church of dragon communion; that exact anchor selects one current AP map-lot flag (540144) in Limgrave.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
eldenpedia-upgrade-page-68-revision-71675-check-7774141	check	7774141	identity_region	"{""acquisition_anchor"":""the ravine"",""flag"":1035497020,""item_name"":""Somber Smithing Stone 4"",""region"":""Liurnia""}"	wiki:eldenpedia:page-68:revision-71675	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-68:revision-71675:#Acquisition:the ravine;project:check:7774141/detection;flag-1035497020	Eldenpedia revision 71675 places Somber Smithing Stone 4 at the ravine; that exact anchor selects one current AP map-lot flag (1035497020) in Liurnia.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
