lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
fextralife-acquisition-page-20561-revision-756721-check-7772248	check	7772248	identity_region	"{""acquisition_anchor"":""morne tunnel"",""flag"":32007030,""item_name"":""Stanching Boluses"",""region"":""Weeping""}"	wiki:fextralife:page-20561:revision-756721	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20561:revision-756721:where-to-find:morne tunnel;project:check:7772248/detection;flag-32007030	Fextralife revision 756721 places Stanching Boluses at morne tunnel; that exact anchor selects one current AP map-lot flag (32007030) in Weeping.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20617-revision-756674-check-7772443	check	7772443	identity_region	"{""acquisition_anchor"":""bonny gaol"",""flag"":41017230,""item_name"":""Innard Meat"",""region"":""Scadu Altus""}"	wiki:fextralife:page-20617:revision-756674	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20617:revision-756674:where-to-find:bonny gaol;project:check:7772443/detection;flag-41017230	Fextralife revision 756674 places Innard Meat at bonny gaol; that exact anchor selects one current AP map-lot flag (41017230) in Scadu Altus.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20617-revision-756674-check-7772447	check	7772447	identity_region	"{""acquisition_anchor"":""lamenter s gaol"",""flag"":41027200,""item_name"":""Innard Meat"",""region"":""Cerulean""}"	wiki:fextralife:page-20617:revision-756674	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20617:revision-756674:where-to-find:lamenter s gaol;project:check:7772447/detection;flag-41027200	Fextralife revision 756674 places Innard Meat at lamenter s gaol; that exact anchor selects one current AP map-lot flag (41027200) in Cerulean.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20617-revision-756674-check-7774059	check	7774059	identity_region	"{""acquisition_anchor"":""belurat gaol"",""flag"":41007210,""item_name"":""Innard Meat"",""region"":""Gravesite""}"	wiki:fextralife:page-20617:revision-756674	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20617:revision-756674:where-to-find:belurat gaol;project:check:7774059/detection;flag-41007210	Fextralife revision 756674 places Innard Meat at belurat gaol; that exact anchor selects one current AP map-lot flag (41007210) in Gravesite.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20712-revision-757272-check-7772198	check	7772198	identity_region	"{""acquisition_anchor"":""perfumer s grotto"",""flag"":31187060,""item_name"":""Miranda Powder"",""region"":""Altus""}"	wiki:fextralife:page-20712:revision-757272	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20712:revision-757272:where-to-find:perfumer s grotto;project:check:7772198/detection;flag-31187060	Fextralife revision 757272 places Miranda Powder at perfumer s grotto; that exact anchor selects one current AP map-lot flag (31187060) in Altus.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20735-revision-756722-check-7772598	check	7772598	identity_region	"{""acquisition_anchor"":""ninth mt gelmir campsite"",""flag"":1036547040,""item_name"":""Starlight Shards"",""region"":""Mt. Gelmir""}"	wiki:fextralife:page-20735:revision-756722	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20735:revision-756722:where-to-find:ninth mt gelmir campsite;project:check:7772598/detection;flag-1036547040	Fextralife revision 756722 places Starlight Shards at ninth mt gelmir campsite; that exact anchor selects one current AP map-lot flag (1036547040) in Mt. Gelmir.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20735-revision-756722-check-7772728	check	7772728	identity_region	"{""acquisition_anchor"":""gate town bridge"",""flag"":1039437100,""item_name"":""Starlight Shards"",""region"":""Liurnia""}"	wiki:fextralife:page-20735:revision-756722	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20735:revision-756722:where-to-find:gate town bridge;project:check:7772728/detection;flag-1039437100	Fextralife revision 756722 places Starlight Shards at gate town bridge; that exact anchor selects one current AP map-lot flag (1039437100) in Liurnia.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20735-revision-756722-check-7772975	check	7772975	identity_region	"{""acquisition_anchor"":""caelid highway south"",""flag"":1047377050,""item_name"":""Starlight Shards"",""region"":""Caelid""}"	wiki:fextralife:page-20735:revision-756722	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20735:revision-756722:where-to-find:caelid highway south;project:check:7772975/detection;flag-1047377050	Fextralife revision 756722 places Starlight Shards at caelid highway south; that exact anchor selects one current AP map-lot flag (1047377050) in Caelid.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20735-revision-756722-check-7773084	check	7773084	identity_region	"{""acquisition_anchor"":""church of the plague"",""flag"":1050397060,""item_name"":""Starlight Shards"",""region"":""Caelid""}"	wiki:fextralife:page-20735:revision-756722	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20735:revision-756722:where-to-find:church of the plague;project:check:7773084/detection;flag-1050397060	Fextralife revision 756722 places Starlight Shards at church of the plague; that exact anchor selects one current AP map-lot flag (1050397060) in Caelid.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-acquisition-page-20735-revision-756722-check-7773108	check	7773108	identity_region	"{""acquisition_anchor"":""castle sol main gate"",""flag"":1050577800,""item_name"":""Starlight Shards"",""region"":""Mountaintops of the Giants""}"	wiki:fextralife:page-20735:revision-756722	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20735:revision-756722:where-to-find:castle sol main gate;project:check:7773108/detection;flag-1050577800	Fextralife revision 756722 places Starlight Shards at castle sol main gate; that exact anchor selects one current AP map-lot flag (1050577800) in Mountaintops of the Giants.	Community-wiki acquisition lead disambiguated by an exact multiword anchor and matching v1.17 map-lot flag evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
