source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	acquisition_rows	disposition
wiki:fextralife:page-20561:revision-756721	20561	756721	2026-08-21T21:09:59Z	6b793b3482f5fc8ff07644a97b9d3014e354c6ea	Stanching Boluses	https://eldenring.wiki.fextralife.com/Stanching_Boluses	https://eldenring.wiki.fextralife.com/Stanching_Boluses?oldid=756721	15	lead_only
wiki:fextralife:page-20617:revision-756674	20617	756674	2026-08-21T21:09:03Z	7ae230d58459006521114362b0935206e83686f8	Innard Meat	https://eldenring.wiki.fextralife.com/Innard_Meat	https://eldenring.wiki.fextralife.com/Innard_Meat?oldid=756674	7	lead_only
wiki:fextralife:page-20712:revision-757272	20712	757272	2026-08-21T21:20:58Z	abceb35f96178a830c641f548f80ff18019abc68	Miranda Powder	https://eldenring.wiki.fextralife.com/Miranda_Powder	https://eldenring.wiki.fextralife.com/Miranda_Powder?oldid=757272	10	lead_only
wiki:fextralife:page-20735:revision-756722	20735	756722	2026-08-21T21:10:00Z	ba24184cd3d36664b5af17cac8dc9cb0855cb795	Starlight Shards	https://eldenring.wiki.fextralife.com/Starlight_Shards	https://eldenring.wiki.fextralife.com/Starlight_Shards?oldid=756722	21	lead_only
wiki:fextralife:page-20838:revision-756723	20838	756723	2026-08-21T21:10:01Z	8c4fcd1fba440ed5e9ad2d6d014d3a47b777686c	Stimulating Boluses	https://eldenring.wiki.fextralife.com/Stimulating_Boluses	https://eldenring.wiki.fextralife.com/Stimulating_Boluses?oldid=756723	13	lead_only
wiki:fextralife:page-20845:revision-758498	20845	758498	2026-08-21T21:48:25Z	6e690de8c7bff5463199aa0ccbed2c009d9f554f	Stone-Sheathed Sword	https://eldenring.wiki.fextralife.com/Stone-Sheathed_Sword	https://eldenring.wiki.fextralife.com/Stone-Sheathed_Sword?oldid=758498	18	lead_only
wiki:fextralife:page-20884:revision-756617	20884	756617	2026-08-21T21:07:52Z	2d206c9a4fef8973d20228b156c25ccf10e669fe	Dragonbolt Grease	https://eldenring.wiki.fextralife.com/Dragonbolt_Grease	https://eldenring.wiki.fextralife.com/Dragonbolt_Grease?oldid=756617	10	lead_only
wiki:fextralife:page-20915:revision-757562	20915	757562	2026-08-21T21:26:38Z	a5bc3e1a76e61537cb90fd083913c8549346c629	Golden Arrow	https://eldenring.wiki.fextralife.com/Golden_Arrow	https://eldenring.wiki.fextralife.com/Golden_Arrow?oldid=757562	7	lead_only
wiki:fextralife:page-21007:revision-753555	21007	753555	2026-08-14T17:15:09Z	bac16e85451afa21aefd73b3cf050969ba3a0e58	Stonesword Key	https://eldenring.wiki.fextralife.com/Stonesword_Key	https://eldenring.wiki.fextralife.com/Stonesword_Key?oldid=753555	119	lead_only
wiki:fextralife:page-21019:revision-758280	21019	758280	2026-08-21T21:43:32Z	27923333e9b8998b1eb140b2d282831cbc7655ce	Dragonscale Blade	https://eldenring.wiki.fextralife.com/Dragonscale_Blade	https://eldenring.wiki.fextralife.com/Dragonscale_Blade?oldid=758280	23	lead_only
wiki:fextralife:page-21060:revision-757225	21060	757225	2026-08-21T21:20:03Z	ac8de44fcbbd3358a93ded1ed303d2e1407ee98f	Aeonian Butterfly	https://eldenring.wiki.fextralife.com/Aeonian_Butterfly	https://eldenring.wiki.fextralife.com/Aeonian_Butterfly?oldid=757225	37	lead_only
wiki:fextralife:page-21086:revision-752460	21086	752460	2026-08-14T15:25:31Z	8101ef4526d5d8797944aaf6297c68a430339c30	Invigorating Cured Meat	https://eldenring.wiki.fextralife.com/Invigorating_Cured_Meat	https://eldenring.wiki.fextralife.com/Invigorating_Cured_Meat?oldid=752460	9	lead_only
wiki:fextralife:page-21099:revision-756607	21099	756607	2026-08-21T21:07:41Z	2c7e05439974db6ba47e5d57fac81a99f328898e	Broken Rune	https://eldenring.wiki.fextralife.com/Broken_Rune	https://eldenring.wiki.fextralife.com/Broken_Rune?oldid=756607	16	lead_only
wiki:fextralife:page-21118:revision-756676	21118	756676	2026-08-21T21:09:05Z	eb2191dccf68840d80e20da913dd3776daa1dc3b	Iris of Grace	https://eldenring.wiki.fextralife.com/Iris_of_Grace	https://eldenring.wiki.fextralife.com/Iris_of_Grace?oldid=756676	7	lead_only
wiki:fextralife:page-21143:revision-756622	21143	756622	2026-08-21T21:07:58Z	f10a76144f7b3d0b630da733c11e880f01339d9c	Drawstring Fire Grease	https://eldenring.wiki.fextralife.com/Drawstring_Fire_Grease	https://eldenring.wiki.fextralife.com/Drawstring_Fire_Grease?oldid=756622	15	lead_only
wiki:fextralife:page-21167:revision-756624	21167	756624	2026-08-21T21:08:00Z	d7ab50786e187f8335e53b9afe798cc4aed49429	Drawstring Holy Grease	https://eldenring.wiki.fextralife.com/Drawstring_Holy_Grease	https://eldenring.wiki.fextralife.com/Drawstring_Holy_Grease?oldid=756624	9	lead_only
wiki:fextralife:page-21199:revision-756627	21199	756627	2026-08-21T21:08:04Z	b8e2328ff498e46690216d4473ff0b4dea06aee9	Drawstring Poison Grease	https://eldenring.wiki.fextralife.com/Drawstring_Poison_Grease	https://eldenring.wiki.fextralife.com/Drawstring_Poison_Grease?oldid=756627	9	lead_only
wiki:fextralife:page-21238:revision-756647	21238	756647	2026-08-21T21:08:30Z	ddfe1e75167272743747317e48f8d09bc4916287	Golden Horn Tender	https://eldenring.wiki.fextralife.com/Golden_Horn_Tender	https://eldenring.wiki.fextralife.com/Golden_Horn_Tender?oldid=756647	15	lead_only
wiki:fextralife:page-21244:revision-757293	21244	757293	2026-08-21T21:21:23Z	3f4f82b5bb61fbd06c749fbbf34ab41aa3d9e5d6	Stormhawk Feather	https://eldenring.wiki.fextralife.com/Stormhawk_Feather	https://eldenring.wiki.fextralife.com/Stormhawk_Feather?oldid=757293	14	lead_only
wiki:fextralife:page-21292:revision-757226	21292	757226	2026-08-21T21:20:04Z	b9838c2240d032462035b17bc03d963d5efe8f53	Albinauric Bloodclot	https://eldenring.wiki.fextralife.com/Albinauric_Bloodclot	https://eldenring.wiki.fextralife.com/Albinauric_Bloodclot?oldid=757226	10	lead_only
wiki:fextralife:page-21342:revision-756648	21342	756648	2026-08-21T21:08:31Z	650944bca12d25d8eb09754ce87b88ceb787ecaf	Golden Rune (1)	https://eldenring.wiki.fextralife.com/Golden_Rune_(1)	https://eldenring.wiki.fextralife.com/Golden_Rune_(1)?oldid=756648	36	lead_only
wiki:fextralife:page-21350:revision-756649	21350	756649	2026-08-21T21:08:32Z	95c813d9300315769fac157b75199256670d6e75	Golden Rune (10)	https://eldenring.wiki.fextralife.com/Golden_Rune_(10)	https://eldenring.wiki.fextralife.com/Golden_Rune_(10)?oldid=756649	40	lead_only
wiki:fextralife:page-21358:revision-756650	21358	756650	2026-08-21T21:08:34Z	87a97bf3f8767887b3db09788297524577f70b08	Golden Rune (11)	https://eldenring.wiki.fextralife.com/Golden_Rune_(11)	https://eldenring.wiki.fextralife.com/Golden_Rune_(11)?oldid=756650	18	lead_only
wiki:fextralife:page-21366:revision-756651	21366	756651	2026-08-21T21:08:35Z	c26894b820741370e8302028d83cde6650716b31	Golden Rune (12)	https://eldenring.wiki.fextralife.com/Golden_Rune_(12)	https://eldenring.wiki.fextralife.com/Golden_Rune_(12)?oldid=756651	37	lead_only
wiki:fextralife:page-21380:revision-756653	21380	756653	2026-08-21T21:08:37Z	0323486ab5fecc8c6fd66f45d5e93c40fa5b5a72	Golden Rune (2)	https://eldenring.wiki.fextralife.com/Golden_Rune_(2)	https://eldenring.wiki.fextralife.com/Golden_Rune_(2)?oldid=756653	47	lead_only
wiki:fextralife:page-21388:revision-756654	21388	756654	2026-08-21T21:08:39Z	2285583f2b300613f3ec1da0c79cecb83e7bb7fb	Golden Rune (3)	https://eldenring.wiki.fextralife.com/Golden_Rune_(3)	https://eldenring.wiki.fextralife.com/Golden_Rune_(3)?oldid=756654	35	lead_only
wiki:fextralife:page-21395:revision-756655	21395	756655	2026-08-21T21:08:40Z	ea96a6b8edbd394e1c80004d8c5b7339a607d0d4	Golden Rune (4)	https://eldenring.wiki.fextralife.com/Golden_Rune_(4)	https://eldenring.wiki.fextralife.com/Golden_Rune_(4)?oldid=756655	41	lead_only
wiki:fextralife:page-21403:revision-756656	21403	756656	2026-08-21T21:08:41Z	154c514ec1b9d2b5e27e54450ec30f28aad21301	Golden Rune (5)	https://eldenring.wiki.fextralife.com/Golden_Rune_(5)	https://eldenring.wiki.fextralife.com/Golden_Rune_(5)?oldid=756656	27	lead_only
wiki:fextralife:page-21411:revision-756657	21411	756657	2026-08-21T21:08:42Z	a6919e3f6c35e925582389baf80dd7c752448478	Golden Rune (6)	https://eldenring.wiki.fextralife.com/Golden_Rune_(6)	https://eldenring.wiki.fextralife.com/Golden_Rune_(6)?oldid=756657	34	lead_only
wiki:fextralife:page-21419:revision-756658	21419	756658	2026-08-21T21:08:43Z	7c169e36d1645c3331ee1aa9f482a2a302f5ed8c	Golden Rune (7)	https://eldenring.wiki.fextralife.com/Golden_Rune_(7)	https://eldenring.wiki.fextralife.com/Golden_Rune_(7)?oldid=756658	22	lead_only
wiki:fextralife:page-21426:revision-756659	21426	756659	2026-08-21T21:08:44Z	ddc2ac91f8af00a53cc746645c522f0e3a4c286b	Golden Rune (8)	https://eldenring.wiki.fextralife.com/Golden_Rune_(8)	https://eldenring.wiki.fextralife.com/Golden_Rune_(8)?oldid=756659	17	lead_only
wiki:fextralife:page-21435:revision-756660	21435	756660	2026-08-21T21:08:46Z	e046ac8496760d4c0990499a54130ed4c614b613	Golden Rune (9)	https://eldenring.wiki.fextralife.com/Golden_Rune_(9)	https://eldenring.wiki.fextralife.com/Golden_Rune_(9)?oldid=756660	24	lead_only
wiki:fextralife:page-21459:revision-752209	21459	752209	2026-08-14T15:17:07Z	2b858f40d8b73bda4a7e03826970c4b7a5e8ccc3	Golden Seed	https://eldenring.wiki.fextralife.com/Golden_Seed	https://eldenring.wiki.fextralife.com/Golden_Seed?oldid=752209	55	lead_only
wiki:fextralife:page-21479:revision-757294	21479	757294	2026-08-21T21:21:24Z	4c76e773f7f54aaa6e9ab54824f2e64c0514223e	String	https://eldenring.wiki.fextralife.com/String	https://eldenring.wiki.fextralife.com/String?oldid=757294	35	lead_only
