lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
fextralife-page-20508-revision-757749-check-7772612	check	7772612	identity_region	"{""item_name"":""Stalwart Horn Charm"",""region"":""Liurnia""}"	wiki:fextralife:page-20508:revision-757749	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20508:revision-757749:template-location1	Fextralife revision 757749 files Stalwart Horn Charm under a structured location field naming Liurnia; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20516-revision-757933-check-7900126	check	7900126	identity_region	"{""item_name"":""Godskin Apostle Trousers"",""region"":""Caelid""}"	wiki:fextralife:page-20516:revision-757933	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20516:revision-757933:template-location1	Fextralife revision 757933 files Godskin Apostle Trousers under a structured location field naming Caelid; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20529-revision-757453-check-7773783	check	7773783	identity_region	"{""item_name"":""Abandoned Merchant's Bell Bearing"",""region"":""Siofra River""}"	wiki:fextralife:page-20529:revision-757453	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20529:revision-757453:template-location1	Fextralife revision 757453 files Abandoned Merchant's Bell Bearing under a structured location field naming Siofra River; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20540-revision-757580-check-7770659	check	7770659	identity_region	"{""item_name"":""Remembrance of the Blood Lord"",""region"":""Mohgwyn""}"	wiki:fextralife:page-20540:revision-757580	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20540:revision-757580:template-location1	Fextralife revision 757580 files Remembrance of the Blood Lord under a structured location field naming Mohgwyn; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20546-revision-757581-check-7770668	check	7770668	identity_region	"{""item_name"":""Remembrance of the Dancing Lion"",""region"":""Belurat""}"	wiki:fextralife:page-20546:revision-757581	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20546:revision-757581:template-location1	Fextralife revision 757581 files Remembrance of the Dancing Lion under a structured location field naming Belurat; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20549-revision-757935-check-7772316	check	7772316	identity_region	"{""item_name"":""Godskin Noble Hood"",""region"":""Liurnia""}"	wiki:fextralife:page-20549:revision-757935	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20549:revision-757935:template-location1	Fextralife revision 757935 files Godskin Noble Hood under a structured location field naming Liurnia; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20556-revision-757936-check-7772317	check	7772317	identity_region	"{""item_name"":""Godskin Noble Robe"",""region"":""Liurnia""}"	wiki:fextralife:page-20556:revision-757936	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20556:revision-757936:template-location1	Fextralife revision 757936 files Godskin Noble Robe under a structured location field naming Liurnia; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20559-revision-757583-check-7770666	check	7770666	identity_region	"{""item_name"":""Remembrance of the Fire Giant"",""region"":""Mountaintops of the Giants""}"	wiki:fextralife:page-20559:revision-757583	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20559:revision-757583:template-location1	Fextralife revision 757583 files Remembrance of the Fire Giant under a structured location field naming Mountaintops of the Giants; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20572-revision-757584-check-7770007	check	7770007	identity_region	"{""item_name"":""Remembrance of the Full Moon Queen"",""region"":""Raya Lucaria Academy""}"	wiki:fextralife:page-20572:revision-757584	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20572:revision-757584:template-location1	Fextralife revision 757584 files Remembrance of the Full Moon Queen under a structured location field naming Raya Lucaria Academy; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20579-revision-757585-check-7770653	check	7770653	identity_region	"{""item_name"":""Remembrance of the Grafted"",""region"":""Stormveil""}"	wiki:fextralife:page-20579:revision-757585	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20579:revision-757585:template-location1	Fextralife revision 757585 files Remembrance of the Grafted under a structured location field naming Stormveil; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20621-revision-757591-check-7770654	check	7770654	identity_region	"{""item_name"":""Remembrance of the Omen King"",""region"":""Leyndell""}"	wiki:fextralife:page-20621:revision-757591	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20621:revision-757591:template-location1	Fextralife revision 757591 files Remembrance of the Omen King under a structured location field naming Leyndell; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20667-revision-757597-check-7770680	check	7770680	identity_region	"{""item_name"":""Remembrance of the Twin Moon Knight"",""region"":""Ensis""}"	wiki:fextralife:page-20667:revision-757597	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20667:revision-757597:template-location1	Fextralife revision 757597 files Remembrance of the Twin Moon Knight under a structured location field naming Ensis; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20674-revision-757598-check-7770678	check	7770678	identity_region	"{""item_name"":""Remembrance of the Wild Boar Rider"",""region"":""Shadow Keep""}"	wiki:fextralife:page-20674:revision-757598	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20674:revision-757598:template-location1	Fextralife revision 757598 files Remembrance of the Wild Boar Rider under a structured location field naming Shadow Keep; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20681-revision-758495-check-7771012	check	7771012	identity_region	"{""item_name"":""Star Fist"",""region"":""Leyndell""}"	wiki:fextralife:page-20681:revision-758495	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20681:revision-758495:template-location1	Fextralife revision 758495 files Star Fist under a structured location field naming Leyndell; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
fextralife-page-20682-revision-757162-check-7770912	check	7770912	identity_region	"{""item_name"":""Godskin Prayerbook"",""region"":""Stormveil""}"	wiki:fextralife:page-20682:revision-757162	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20682:revision-757162:template-location1	Fextralife revision 757162 files Godskin Prayerbook under a structured location field naming Stormveil; that item name identifies one AP check.	Community-wiki item-page lead matched by a globally unique AP item name and a literal AP-region occurrence in a structured template field. It does not prove access, a v1.17 event predicate, route order, completeness, exact coordinates, or absence of another source.
