lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
fextralife-linked-place-page-20561-revision-756721-check-7772248	check	7772248	identity_region	"{""ap_description_anchor"":""near morne tunnel"",""flag"":32007030,""item_name"":""Stanching Boluses"",""region"":""Weeping"",""source_place_anchor"":""morne tunnel""}"	wiki:fextralife:page-20561:revision-756721	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20561:revision-756721:where-to-find-link:morne tunnel;project:check:7772248/detection;flag-32007030	Fextralife revision 756721 links morne tunnel in its Stanching Boluses acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 32007030.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20561-revision-756721-check-7772266	check	7772266	identity_region	"{""ap_description_anchor"":""treasure old altus tunnel"",""flag"":32047010,""item_name"":""Stanching Boluses"",""region"":""Altus"",""source_place_anchor"":""old altus tunnel""}"	wiki:fextralife:page-20561:revision-756721	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20561:revision-756721:where-to-find-link:old altus tunnel;project:check:7772266/detection;flag-32047010	Fextralife revision 756721 links old altus tunnel in its Stanching Boluses acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 32047010.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20617-revision-756674-check-7772443	check	7772443	identity_region	"{""ap_description_anchor"":""near bonny gaol"",""flag"":41017230,""item_name"":""Innard Meat"",""region"":""Scadu Altus"",""source_place_anchor"":""bonny gaol""}"	wiki:fextralife:page-20617:revision-756674	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20617:revision-756674:where-to-find-link:bonny gaol;project:check:7772443/detection;flag-41017230	Fextralife revision 756674 links bonny gaol in its Innard Meat acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 41017230.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20617-revision-756674-check-7772447	check	7772447	identity_region	"{""ap_description_anchor"":""near lamenter s gaol"",""flag"":41027200,""item_name"":""Innard Meat"",""region"":""Cerulean"",""source_place_anchor"":""lamenter s gaol""}"	wiki:fextralife:page-20617:revision-756674	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20617:revision-756674:where-to-find-link:lamenter s gaol;project:check:7772447/detection;flag-41027200	Fextralife revision 756674 links lamenter s gaol in its Innard Meat acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 41027200.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20617-revision-756674-check-7774059	check	7774059	identity_region	"{""ap_description_anchor"":""near belurat gaol"",""flag"":41007210,""item_name"":""Innard Meat"",""region"":""Gravesite"",""source_place_anchor"":""belurat gaol""}"	wiki:fextralife:page-20617:revision-756674	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20617:revision-756674:where-to-find-link:belurat gaol;project:check:7774059/detection;flag-41007210	Fextralife revision 756674 links belurat gaol in its Innard Meat acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 41007210.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20712-revision-757272-check-7772198	check	7772198	identity_region	"{""ap_description_anchor"":""near perfumer s grotto"",""flag"":31187060,""item_name"":""Miranda Powder"",""region"":""Altus"",""source_place_anchor"":""perfumer s grotto""}"	wiki:fextralife:page-20712:revision-757272	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20712:revision-757272:where-to-find-link:perfumer s grotto;project:check:7772198/detection;flag-31187060	Fextralife revision 757272 links perfumer s grotto in its Miranda Powder acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 31187060.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20735-revision-756722-check-7773084	check	7773084	identity_region	"{""ap_description_anchor"":""near church of the plague"",""flag"":1050397060,""item_name"":""Starlight Shards"",""region"":""Caelid"",""source_place_anchor"":""church of the plague""}"	wiki:fextralife:page-20735:revision-756722	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20735:revision-756722:where-to-find-link:church of the plague;project:check:7773084/detection;flag-1050397060	Fextralife revision 756722 links church of the plague in its Starlight Shards acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 1050397060.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20838-revision-756723-check-7771094	check	7771094	identity_region	"{""ap_description_anchor"":""near nokstella eternal city"",""flag"":12017540,""item_name"":""Stimulating Boluses"",""region"":""Ainsel River"",""source_place_anchor"":""nokstella eternal city""}"	wiki:fextralife:page-20838:revision-756723	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20838:revision-756723:where-to-find-link:nokstella eternal city;project:check:7771094/detection;flag-12017540	Fextralife revision 756723 links nokstella eternal city in its Stimulating Boluses acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 12017540.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20838-revision-756723-check-7772164	check	7772164	identity_region	"{""ap_description_anchor"":""near sellia hideaway"",""flag"":31117030,""item_name"":""Stimulating Boluses"",""region"":""Caelid"",""source_place_anchor"":""sellia hideaway""}"	wiki:fextralife:page-20838:revision-756723	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20838:revision-756723:where-to-find-link:sellia hideaway;project:check:7772164/detection;flag-31117030	Fextralife revision 756723 links sellia hideaway in its Stimulating Boluses acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 31117030.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
fextralife-linked-place-page-20845-revision-758498-check-7773291	check	7773291	identity_region	"{""ap_description_anchor"":""around fog rift catacombs"",""flag"":2045477900,""item_name"":""Stone-Sheathed Sword"",""region"":""Gravesite"",""source_place_anchor"":""fog rift catacombs""}"	wiki:fextralife:page-20845:revision-758498	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-20845:revision-758498:where-to-find-link:fog rift catacombs;project:check:7773291/detection;flag-2045477900	Fextralife revision 758498 links fog rift catacombs in its Stone-Sheathed Sword acquisition guide; that exact multiword place occurs in one same-item AP description with map-lot flag 2045477900.	Community-wiki place lead matched to a broader phrase inside the AP description and cross-checked against the current v1.17 map-lot flag. It does not prove exact coordinates, access, route order, completeness, event timing, or absence of another acquisition.
