lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
fextralife-redmaw-page-28408-revision-757605-check-7770016	check	7770016	identity_region	{"acquisition_anchor":"volcano manor","flag":60260,"item_name":"Recusant Finger","region":"Mt. Gelmir"}	wiki:fextralife:page-28408:revision-757605	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-28408:revision-757605:where-to-find-link:volcano manor;project:check:7770016/detection;flag-60260	Fextralife revision 757605 places Recusant Finger at Volcano Manor; that exact acquisition anchor selects current AP check 7770016 in Mt. Gelmir.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-24591-revision-756540-check-7770521	check	7770521	identity_region	{"acquisition_anchor":"cathedral of dragon communion","flag":290790,"item_name":"Greyoll's Roar","region":"Caelid"}	wiki:fextralife:page-24591:revision-756540	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-24591:revision-756540:where-to-find-link:cathedral of dragon communion;project:check:7770521/detection;flag-290790	Fextralife revision 756540 places Greyoll's Roar at Cathedral of Dragon Communion; that exact acquisition anchor selects current AP check 7770521 in Caelid.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-28597-revision-757407-check-7770568	check	7770568	identity_region	{"acquisition_anchor":"volcano manor","flag":400075,"item_name":"Red Letter","region":"Mt. Gelmir"}	wiki:fextralife:page-28597:revision-757407	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-28597:revision-757407:where-to-find-link:volcano manor;project:check:7770568/detection;flag-400075	Fextralife revision 757407 places Red Letter at Volcano Manor; that exact acquisition anchor selects current AP check 7770568 in Mt. Gelmir.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-26362-revision-756553-check-7770569	check	7770569	identity_region	{"acquisition_anchor":"volcano manor","flag":400076,"item_name":"Magma Shot","region":"Mt. Gelmir"}	wiki:fextralife:page-26362:revision-756553	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-26362:revision-756553:where-to-find-link:volcano manor;project:check:7770569/detection;flag-400076	Fextralife revision 756553 places Magma Shot at Volcano Manor; that exact acquisition anchor selects current AP check 7770569 in Mt. Gelmir.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-24595-revision-758470-check-7770570	check	7770570	identity_region	{"acquisition_anchor":"volcano manor","flag":400077,"item_name":"Serpentbone Blade","region":"Mt. Gelmir"}	wiki:fextralife:page-24595:revision-758470	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-24595:revision-758470:where-to-find-link:volcano manor;project:check:7770570/detection;flag-400077	Fextralife revision 758470 places Serpentbone Blade at Volcano Manor; that exact acquisition anchor selects current AP check 7770570 in Mt. Gelmir.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-24157-revision-757385-check-7770581	check	7770581	identity_region	{"acquisition_anchor":"volcano manor","flag":400180,"item_name":"Letter to Patches","region":"Mt. Gelmir"}	wiki:fextralife:page-24157:revision-757385	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-24157:revision-757385:where-to-find-link:volcano manor;project:check:7770581/detection;flag-400180	Fextralife revision 757385 places Letter to Patches at Volcano Manor; that exact acquisition anchor selects current AP check 7770581 in Mt. Gelmir.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-24149-revision-757384-check-7770592	check	7770592	identity_region	{"acquisition_anchor":"volcano manor","flag":400290,"item_name":"Letter to Bernahl","region":"Mt. Gelmir"}	wiki:fextralife:page-24149:revision-757384	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-24149:revision-757384:where-to-find-link:volcano manor;project:check:7770592/detection;flag-400290	Fextralife revision 757384 places Letter to Bernahl at Volcano Manor; that exact acquisition anchor selects current AP check 7770592 in Mt. Gelmir.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-28117-revision-758264-check-7770616	check	7770616	identity_region	{"acquisition_anchor":"cathedral of manus celes","flag":400393,"item_name":"Dark Moon Greatsword","region":"Liurnia"}	wiki:fextralife:page-28117:revision-758264	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-28117:revision-758264:where-to-find-link:cathedral of manus celes;project:check:7770616/detection;flag-400393	Fextralife revision 758264 places Dark Moon Greatsword at Cathedral of Manus Celes; that exact acquisition anchor selects current AP check 7770616 in Liurnia.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-28218-revision-758267-check-7770691	check	7770691	identity_region	{"acquisition_anchor":"fog rift catacombs","flag":520700,"item_name":"Death Knight's Twin Axes","region":"Gravesite"}	wiki:fextralife:page-28218:revision-758267	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-28218:revision-758267:where-to-find-link:fog rift catacombs;project:check:7770691/detection;flag-520700	Fextralife revision 758267 places Death Knight's Twin Axes at Fog Rift Catacombs; that exact acquisition anchor selects current AP check 7770691 in Gravesite.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-24040-revision-758464-check-7772048	check	7772048	identity_region	{"acquisition_anchor":"cliffbottom catacombs","flag":30067070,"item_name":"Scythe","region":"Liurnia"}	wiki:fextralife:page-24040:revision-758464	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-24040:revision-758464:where-to-find-link:cliffbottom catacombs;project:check:7772048/detection;flag-30067070	Fextralife revision 758464 places Scythe at Cliffbottom Catacombs; that exact acquisition anchor selects current AP check 7772048 in Liurnia.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
fextralife-redmaw-page-24760-revision-757849-check-7772113	check	7772113	identity_region	{"acquisition_anchor":"murkwater cave","flag":31007010,"item_name":"Cloth Garb","region":"Limgrave"}	wiki:fextralife:page-24760:revision-757849	gameplay-wiki:fextralife	lead_only	unknown	fextralife:pageid-24760:revision-757849:where-to-find-link:murkwater cave;project:check:7772113/detection;flag-31007010	Fextralife revision 757849 places Cloth Garb at Murkwater Cave; that exact acquisition anchor selects current AP check 7772113 in Limgrave.	Community-wiki acquisition lead independently corroborating Redmaw by exact item and same-check place anchor. The v1.17 flag and AP region are project evidence. It does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
