lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
game8-369673-hl_2-check-7771500	check	7771500	identity_region	"{""item_name"":""Spellproof Dried Liver"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Spellproof Dried Liver in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7771501	check	7771501	identity_region	"{""item_name"":""Marionette Soldier Ashes"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Marionette Soldier Ashes in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7771502	check	7771502	identity_region	"{""item_name"":""Silver-Pickled Fowl Foot"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Silver-Pickled Fowl Foot in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7771505	check	7771505	identity_region	"{""item_name"":""Mushroom"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Mushroom in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7771537	check	7771537	identity_region	"{""item_name"":""Smithing Stone [3]"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Smithing Stone [3] in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7771550	check	7771550	identity_region	"{""item_name"":""Radagon Icon"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Radagon Icon in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7771552	check	7771552	identity_region	"{""item_name"":""Carian Knight's Shield"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Carian Knight's Shield in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7772549	check	7772549	identity_region	"{""item_name"":""Meeting Place Map"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Meeting Place Map in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369673-hl_2-check-7900194	check	7900194	identity_region	"{""item_name"":""Carian Knight Armor"",""region"":""Raya Lucaria Academy""}"	wiki:game8:legacy-369673:20260316153255	gameplay-guide:game8	lead_only	unknown	game8:369673:#hl_2	Game8 names Carian Knight Armor in the Academy of Raya Lucaria Walkthrough section of its Academy of Raya Lucaria guide; that exact item name identifies one current AP check in Raya Lucaria Academy.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
game8-369958-hl_2-check-7773128	check	7773128	identity_region	"{""item_name"":""Dectus Medallion (Right)"",""region"":""Caelid""}"	wiki:game8:legacy-369958:20260405223753	gameplay-guide:game8	lead_only	unknown	game8:369958:#hl_2	Game8 names Dectus Medallion (Right) in the Redmane Castle Walkthrough section of its Redmane Castle guide; that exact item name identifies one current AP check in Caelid.	One commercial-guide family, matched only by an exact item name inside a declared AP region. This does not prove v1.17 access logic, event predicates, route order, alternate-acquisition absence, or the accuracy of AP's location suffix.
