lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
powerpyx-limgrave-check-7770012	check	7770012	identity_region	"{""item_name"":""Spirit Calling Bell"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#agheel-lake-north:block-2:sha256-b1a5b89c17169a31	The regional walkthrough names Spirit Calling Bell; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7770013	check	7770013	identity_region	"{""item_name"":""Crafting Kit"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#church-of-elleh:block-2:sha256-3763d97800db0093	The regional walkthrough names Crafting Kit; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7770026	check	7770026	identity_region	"{""item_name"":""Talisman Pouch"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#margit-the-fell-omen:block-1:sha256-b68f061f1db7b0ad	The regional walkthrough names Talisman Pouch; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7770340	check	7770340	identity_region	"{""item_name"":""Torch"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#church-of-elleh:block-2:sha256-3763d97800db0093	The regional walkthrough names Torch; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7770689	check	7770689	identity_region	"{""item_name"":""Flamedrake Talisman"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#beastman-of-farum-azula:block-1:sha256-79dd70910d7adfed	The regional walkthrough names Flamedrake Talisman; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7770693	check	7770693	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#flying-dragon-agheel:block-1:sha256-391aa78fe046917e	The regional walkthrough names Dragon Heart; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7770694	check	7770694	identity_region	"{""item_name"":""Aspects of the Crucible: Tail"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#crucible-knight:block-1:sha256-726e2dc3860a7ad2	The regional walkthrough names Aspects of the Crucible: Tail; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7772031	check	7772031	identity_region	"{""item_name"":""Wandering Noble Ashes"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#demi-human-chiefs:block-12:sha256-95f2d141629432bf	The regional walkthrough names Wandering Noble Ashes; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7772032	check	7772032	identity_region	"{""item_name"":""Prattling Pate \""Hello\"""",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#demi-human-chiefs:block-12:sha256-95f2d141629432bf	"The regional walkthrough names Prattling Pate ""Hello""; that exact item name identifies one current AP check in Limgrave."	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
powerpyx-limgrave-check-7772821	check	7772821	identity_region	"{""item_name"":""Flail"",""region"":""Limgrave""}"	wiki:powerpyx:limgrave:20260519062715	gameplay-guide:powerpyx	lead_only	unknown	powerpyx:#agheel-lake-north:block-8:sha256-6616675c0632bde7	The regional walkthrough names Flail; that exact item name identifies one current AP check in Limgrave.	One independently authored regional walkthrough lead, bound by exact item name inside its declared AP region. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, route order, or the accuracy of AP's descriptive location suffix.
