lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
redmaw-checklist-achievements-a5-1-check-7773802	check	7773802	identity	"{""item_name"":""Grafted Blade Greatsword"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Grafted_Blade_Greatsword""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-1;wiki.gg:https://eldenring.wiki.gg/wiki/Grafted_Blade_Greatsword	Redmaw lists Grafted Blade Greatsword; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a5-2-check-7774184	check	7774184	identity	"{""item_name"":""Sword of Night and Flame"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Sword_of_Night_and_Flame""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-2;wiki.gg:https://eldenring.wiki.gg/wiki/Sword_of_Night_and_Flame	Redmaw lists Sword of Night and Flame; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a5-3-check-7773805	check	7773805	identity	"{""item_name"":""Ruins Greatsword"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Ruins_Greatsword""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-3;wiki.gg:https://eldenring.wiki.gg/wiki/Ruins_Greatsword	Redmaw lists Ruins Greatsword; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a5-4-check-7770616	check	7770616	identity	"{""item_name"":""Dark Moon Greatsword"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Dark_Moon_Greatsword""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-4;wiki.gg:https://eldenring.wiki.gg/wiki/Dark_Moon_Greatsword	Redmaw lists Dark Moon Greatsword; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a5-5-check-7773804	check	7773804	identity	"{""item_name"":""Marais Executioner's Sword"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Marais_Executioner%27s_Sword""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-5;wiki.gg:https://eldenring.wiki.gg/wiki/Marais_Executioner%27s_Sword	Redmaw lists Marais Executioner's Sword; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a5-6-check-7771030	check	7771030	identity	"{""item_name"":""Bolt of Gransax"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Bolt_of_Gransax""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-6;wiki.gg:https://eldenring.wiki.gg/wiki/Bolt_of_Gransax	Redmaw lists Bolt of Gransax; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a5-7-check-7773175	check	7773175	identity	"{""item_name"":""Eclipse Shotel"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Eclipse_Shotel""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-7;wiki.gg:https://eldenring.wiki.gg/wiki/Eclipse_Shotel	Redmaw lists Eclipse Shotel; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a5-8-check-7773836	check	7773836	identity	"{""item_name"":""Golden Order Greatsword"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Golden_Order_Greatsword""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#weapons/a5-8;wiki.gg:https://eldenring.wiki.gg/wiki/Golden_Order_Greatsword	Redmaw lists Golden Order Greatsword; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a6-1-check-7770681	check	7770681	identity	"{""item_name"":""Lhutel the Headless"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Lhutel_the_Headless""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#ashes/a6-1;wiki.gg:https://eldenring.wiki.gg/wiki/Lhutel_the_Headless	Redmaw lists Lhutel the Headless; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a6-2-check-7771232	check	7771232	identity	"{""item_name"":""Mimic Tear Ashes"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Mimic_Tear_Ashes""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#ashes/a6-2;wiki.gg:https://eldenring.wiki.gg/wiki/Mimic_Tear_Ashes	Redmaw lists Mimic Tear Ashes; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a6-3-check-7770704	check	7770704	identity	"{""item_name"":""Black Knife Tiche"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Black_Knife_Tiche""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#ashes/a6-3;wiki.gg:https://eldenring.wiki.gg/wiki/Black_Knife_Tiche	Redmaw lists Black Knife Tiche; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a6-4-check-7773810	check	7773810	identity	"{""item_name"":""Ancient Dragon Knight Kristoff"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Ancient_Dragon_Knight_Kristoff""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#ashes/a6-4;wiki.gg:https://eldenring.wiki.gg/wiki/Ancient_Dragon_Knight_Kristoff	Redmaw lists Ancient Dragon Knight Kristoff; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a6-5-check-7773818	check	7773818	identity	"{""item_name"":""Redmane Knight Ogha"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Redmane_Knight_Ogha""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#ashes/a6-5;wiki.gg:https://eldenring.wiki.gg/wiki/Redmane_Knight_Ogha	Redmaw lists Redmane Knight Ogha; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a6-6-check-7771624	check	7771624	identity	"{""item_name"":""Cleanrot Knight Finlay"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Cleanrot_Knight_Finlay""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#ashes/a6-6;wiki.gg:https://eldenring.wiki.gg/wiki/Cleanrot_Knight_Finlay	Redmaw lists Cleanrot Knight Finlay; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a7-1-check-7770700	check	7770700	identity	"{""item_name"":""Flame of the Fell God"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Flame_of_the_Fell_God""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#spells/a7-1;wiki.gg:https://eldenring.wiki.gg/wiki/Flame_of_the_Fell_God	Redmaw lists Flame of the Fell God; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a7-2-check-7770521	check	7770521	identity	"{""item_name"":""Greyoll's Roar"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Greyoll%27s_Roar""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#spells/a7-2;wiki.gg:https://eldenring.wiki.gg/wiki/Greyoll%27s_Roar	Redmaw lists Greyoll's Roar; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a7-3-check-7771253	check	7771253	identity	"{""item_name"":""Elden Stars"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Elden_Stars""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#spells/a7-3;wiki.gg:https://eldenring.wiki.gg/wiki/Elden_Stars	Redmaw lists Elden Stars; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a7-4-check-7772466	check	7772466	identity	"{""item_name"":""Ranni's Dark Moon"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Ranni%27s_Dark_Moon""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#spells/a7-4;wiki.gg:https://eldenring.wiki.gg/wiki/Ranni%27s_Dark_Moon	Redmaw lists Ranni's Dark Moon; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a7-5-check-7773740	check	7773740	identity	"{""item_name"":""Comet Azur"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Comet_Azur""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#spells/a7-5;wiki.gg:https://eldenring.wiki.gg/wiki/Comet_Azur	Redmaw lists Comet Azur; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a7-6-check-7773739	check	7773739	identity	"{""item_name"":""Stars of Ruin"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Stars_of_Ruin""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#spells/a7-6;wiki.gg:https://eldenring.wiki.gg/wiki/Stars_of_Ruin	Redmaw lists Stars of Ruin; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
redmaw-checklist-achievements-a7-7-check-7774537	check	7774537	identity	"{""item_name"":""Founding Rain of Stars"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Founding_Rain_of_Stars""}"	wiki:redmaw:checklists:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw-checklists:achievements.html#spells/a7-7;wiki.gg:https://eldenring.wiki.gg/wiki/Founding_Rain_of_Stars	Redmaw lists Founding Rain of Stars; that exact game-item name identifies one current AP check.	One unlicensed community checklist family, retaining only a factual game-item label and immutable anchor. It does not prove region, v1.17 behavior, access logic, event predicates, route order, or absence of alternate acquisition.
