lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
redmaw-location-dlc-walkthrough-d1-30-check-7774546	check	7774546	identity_region	"{""flag"":2046427700,""item_name"":""Scadutree Fragment"",""location_anchor"":""Three-Path Cross"",""region"":""Gravesite"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#west-gravesite/d1-30:location-Three-Path Cross;project:check:7774546/detection;flag-2046427700	Redmaw step d1-30 links Scadutree Fragment and Three-Path Cross; that exact same-step anchor selects one repeated Gravesite map-lot check at flag 2046427700.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d1-32-check-7774545	check	7774545	identity_region	"{""flag"":2045427700,""item_name"":""Scadutree Fragment"",""location_anchor"":""Main Gate Cross"",""region"":""Gravesite"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#west-gravesite/d1-32:location-Main Gate Cross;project:check:7774545/detection;flag-2045427700	Redmaw step d1-32 links Scadutree Fragment and Main Gate Cross; that exact same-step anchor selects one repeated Gravesite map-lot check at flag 2045427700.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d12-67-check-7771950	check	7771950	identity_region	"{""flag"":21017200,""item_name"":""Scadutree Fragment"",""location_anchor"":""Storehouse, Fourth Floor"",""region"":""Shadow Keep"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#shadow-keep/d12-67:location-Storehouse, Fourth Floor;project:check:7771950/detection;flag-21017200	Redmaw step d12-67 links Scadutree Fragment and Storehouse, Fourth Floor; that exact same-step anchor selects one repeated Shadow Keep map-lot check at flag 21017200.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d12-84-check-7771966	check	7771966	identity_region	"{""flag"":21017500,""item_name"":""Scadutree Fragment"",""location_anchor"":""Dark Chamber Entrance"",""region"":""Shadow Keep"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#shadow-keep/d12-84:location-Dark Chamber Entrance;project:check:7771966/detection;flag-21017500	Redmaw step d12-84 links Scadutree Fragment and Dark Chamber Entrance; that exact same-step anchor selects one repeated Shadow Keep map-lot check at flag 21017500.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d19-28-check-7773356	check	7773356	identity_region	"{""flag"":2046477750,""item_name"":""Scadutree Fragment"",""location_anchor"":""Rauh Ancient Ruins, East"",""region"":""Ancient Ruins"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#rauh-ruins/d19-28:location-Rauh Ancient Ruins, East;project:check:7773356/detection;flag-2046477750	Redmaw step d19-28 links Scadutree Fragment and Rauh Ancient Ruins, East; that exact same-step anchor selects one repeated Ancient Ruins map-lot check at flag 2046477750.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d2-50-check-7773485	check	7773485	identity_region	"{""flag"":2048437700,""item_name"":""Scadutree Fragment"",""location_anchor"":""Pillar Path Cross"",""region"":""Gravesite"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#east-gravesite/d2-50:location-Pillar Path Cross;project:check:7773485/detection;flag-2048437700	Redmaw step d2-50 links Scadutree Fragment and Pillar Path Cross; that exact same-step anchor selects one repeated Gravesite map-lot check at flag 2048437700.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d20-22-check-7771850	check	7771850	identity_region	"{""flag"":20017350,""item_name"":""Scadutree Fragment"",""location_anchor"":""Spiral Rise"",""region"":""Enir Ilim"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#enir-ilim/d20-22:location-Spiral Rise;project:check:7771850/detection;flag-20017350	Redmaw step d20-22 links Scadutree Fragment and Spiral Rise; that exact same-step anchor selects one repeated Enir Ilim map-lot check at flag 20017350.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d20-44-check-7771870	check	7771870	identity_region	"{""flag"":20017550,""item_name"":""Scadutree Fragment"",""location_anchor"":""Cleansing Chamber Anteroom"",""region"":""Enir Ilim"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#enir-ilim/d20-44:location-Cleansing Chamber Anteroom;project:check:7771870/detection;flag-20017550	Redmaw step d20-44 links Scadutree Fragment and Cleansing Chamber Anteroom; that exact same-step anchor selects one repeated Enir Ilim map-lot check at flag 20017550.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d5-31-check-7773364	check	7773364	identity_region	"{""flag"":2047367010,""item_name"":""Deep-Purple Lily"",""location_anchor"":""The Fissure"",""region"":""Cerulean"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Deep-Purple_Lily""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#cerulean-coast/d5-31:location-The Fissure;project:check:7773364/detection;flag-2047367010	Redmaw step d5-31 links Deep-Purple Lily and The Fissure; that exact same-step anchor selects one repeated Cerulean map-lot check at flag 2047367010.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-dlc-walkthrough-d8-1-check-7773500	check	7773500	identity_region	"{""flag"":2048457520,""item_name"":""Scadutree Fragment"",""location_anchor"":""Highroad Cross"",""region"":""Scadu Altus"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Scadutree_Fragment""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:dlc-walkthrough.html#scadu-west/d8-1:location-Highroad Cross;project:check:7773500/detection;flag-2048457520	Redmaw step d8-1 links Scadutree Fragment and Highroad Cross; that exact same-step anchor selects one repeated Scadu Altus map-lot check at flag 2048457520.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-walkthrough-w10-61-check-7772141	check	7772141	identity_region	"{""flag"":31057070,""item_name"":""Arteria Leaf"",""location_anchor"":""Lakeside Crystal Cave"",""region"":""Liurnia"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Arteria_Leaf""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:walkthrough.html#south-liurnia/w10-61:location-Lakeside Crystal Cave;project:check:7772141/detection;flag-31057070	Redmaw step w10-61 links Arteria Leaf and Lakeside Crystal Cave; that exact same-step anchor selects one repeated Liurnia map-lot check at flag 31057070.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-walkthrough-w10-70-check-7772580	check	7772580	identity_region	"{""flag"":1036417020,""item_name"":""Rune Arc"",""location_anchor"":""Slumbering Wolf's Shack"",""region"":""Liurnia"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Rune_Arc""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:walkthrough.html#south-liurnia/w10-70:location-Slumbering Wolf's Shack;project:check:7772580/detection;flag-1036417020	Redmaw step w10-70 links Rune Arc and Slumbering Wolf's Shack; that exact same-step anchor selects one repeated Liurnia map-lot check at flag 1036417020.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-walkthrough-w11-53-check-7772686	check	7772686	identity_region	"{""flag"":1038507000,""item_name"":""Smithing Stone [5]"",""location_anchor"":""Ravine-Veiled Village"",""region"":""Liurnia"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Smithing_Stone_5""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:walkthrough.html#west-liurnia/w11-53:location-Ravine-Veiled Village;project:check:7772686/detection;flag-1038507000	Redmaw step w11-53 links Smithing Stone [5] and Ravine-Veiled Village; that exact same-step anchor selects one repeated Liurnia map-lot check at flag 1038507000.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-walkthrough-w11-65-check-7772585	check	7772585	identity_region	"{""flag"":1036497000,""item_name"":""Sacred Tear"",""location_anchor"":""Bellum Church"",""region"":""Liurnia"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Sacred_Tear""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:walkthrough.html#west-liurnia/w11-65:location-Bellum Church;project:check:7772585/detection;flag-1036497000	Redmaw step w11-65 links Sacred Tear and Bellum Church; that exact same-step anchor selects one repeated Liurnia map-lot check at flag 1036497000.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-walkthrough-w14-104-check-7772627	check	7772627	identity_region	"{""flag"":1037497100,""item_name"":""Sacred Tear"",""location_anchor"":""Church of Inhibition"",""region"":""Liurnia"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Sacred_Tear""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:walkthrough.html#east-liurnia/w14-104:location-Church of Inhibition;project:check:7772627/detection;flag-1037497100	Redmaw step w14-104 links Sacred Tear and Church of Inhibition; that exact same-step anchor selects one repeated Liurnia map-lot check at flag 1037497100.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
redmaw-location-walkthrough-w14-86-check-7772687	check	7772687	identity_region	"{""flag"":1038507010,""item_name"":""Dragonwound Grease"",""location_anchor"":""Grand Lift of Dectus"",""region"":""Liurnia"",""wiki_url"":""https://eldenring.wiki.gg/wiki/Dragonwound_Grease""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:walkthrough.html#east-liurnia/w14-86:location-Grand Lift of Dectus;project:check:7772687/detection;flag-1038507010	Redmaw step w14-86 links Dragonwound Grease and Grand Lift of Dectus; that exact same-step anchor selects one repeated Liurnia map-lot check at flag 1038507010.	One unlicensed walkthrough family, retaining only factual link labels and immutable anchors. The v1.17 flag mechanism is project evidence. This does not prove access, route order, coordinates, completeness, event timing, or absence of another acquisition.
