lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
redmaw-merchant-abandoned-merchant-m35-1-check-7770469	check	7770469	identity_region	"{""ap_flag"":190400,""item_name"":""Soap"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100940],""wiki_url"":""https://eldenring.wiki.gg/wiki/Soap""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-84889	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-1;wiki.gg:https://eldenring.wiki.gg/wiki/Soap?oldid=84889	Redmaw lists Soap under merchant section abandoned-merchant; that context identifies current AP shop flag 190400.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-abandoned-merchant-m35-2-check-7770470	check	7770470	identity_region	"{""ap_flag"":190410,""item_name"":""Nascent Butterfly"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100941],""wiki_url"":""https://eldenring.wiki.gg/wiki/Nascent_Butterfly""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-99391	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-2;wiki.gg:https://eldenring.wiki.gg/wiki/Nascent_Butterfly?oldid=99391	Redmaw lists Nascent Butterfly under merchant section abandoned-merchant; that context identifies current AP shop flag 190410.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-abandoned-merchant-m35-3-check-7770465	check	7770465	identity_region	"{""ap_flag"":190280,""item_name"":""Stonesword Key"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100928],""wiki_url"":""https://eldenring.wiki.gg/wiki/Stonesword_Key""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-100701	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-3;wiki.gg:https://eldenring.wiki.gg/wiki/Stonesword_Key?oldid=100701	Redmaw lists Stonesword Key under merchant section abandoned-merchant; that context identifies current AP shop flag 190280.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-abandoned-merchant-m35-4-check-7770467	check	7770467	identity_region	"{""ap_flag"":190360,""item_name"":""Larval Tear"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100936],""wiki_url"":""https://eldenring.wiki.gg/wiki/Larval_Tear""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-99687	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-4;wiki.gg:https://eldenring.wiki.gg/wiki/Larval_Tear?oldid=99687	Redmaw lists Larval Tear under merchant section abandoned-merchant; that context identifies current AP shop flag 190360.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-abandoned-merchant-m35-5-check-7770090	check	7770090	identity_region	"{""ap_flag"":67100,""item_name"":""Nomadic Warrior's Cookbook [17]"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100925],""wiki_url"":""https://eldenring.wiki.gg/wiki/Nomadic_Warrior%27s_Cookbook_17""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-84885	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-5;wiki.gg:https://eldenring.wiki.gg/wiki/Nomadic_Warrior's_Cookbook_17?oldid=84885	Redmaw lists Nomadic Warrior's Cookbook [17] under merchant section abandoned-merchant; that context identifies current AP shop flag 67100.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-abandoned-merchant-m35-6-check-7770100	check	7770100	identity_region	"{""ap_flag"":67270,""item_name"":""Nomadic Warrior's Cookbook [18]"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100926],""wiki_url"":""https://eldenring.wiki.gg/wiki/Nomadic_Warrior%27s_Cookbook_18""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-84891	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-6;wiki.gg:https://eldenring.wiki.gg/wiki/Nomadic_Warrior's_Cookbook_18?oldid=84891	Redmaw lists Nomadic Warrior's Cookbook [18] under merchant section abandoned-merchant; that context identifies current AP shop flag 67270.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-abandoned-merchant-m35-7-check-7770468	check	7770468	identity_region	"{""ap_flag"":190370,""item_name"":""Shotel"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100937],""wiki_url"":""https://eldenring.wiki.gg/wiki/Shotel""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-95442	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-7;wiki.gg:https://eldenring.wiki.gg/wiki/Shotel?oldid=95442	Redmaw lists Shotel under merchant section abandoned-merchant; that context identifies current AP shop flag 190370.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-abandoned-merchant-m35-9-check-7770466	check	7770466	identity_region	"{""ap_flag"":190350,""item_name"":""Dwelling Arrow"",""merchant_anchor"":""abandoned-merchant"",""region"":""Siofra River"",""shop_row_ids"":[100935],""wiki_url"":""https://eldenring.wiki.gg/wiki/Dwelling_Arrow""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-19612	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#abandoned-merchant/m35-9;wiki.gg:https://eldenring.wiki.gg/wiki/Dwelling_Arrow?oldid=19612	Redmaw lists Dwelling Arrow under merchant section abandoned-merchant; that context identifies current AP shop flag 190350.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Siofra River). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-bernahl-m4-1-check-7770226	check	7770226	identity	"{""ap_flag"":100780,""item_name"":""Ash of War: Stamp (Upward Cut)"",""merchant_anchor"":""bernahl"",""shop_row_ids"":[100078],""wiki_url"":""https://eldenring.wiki.gg/wiki/Ash_of_War:_Stamp_(Upward_Cut)""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-68392	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#bernahl/m4-1;wiki.gg:https://eldenring.wiki.gg/wiki/Ash_of_War%3A_Stamp_(Upward_Cut)?oldid=68392	Redmaw lists Ash of War: Stamp (Upward Cut) under merchant section bernahl; that context identifies current AP shop flag 100780.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Roundtable Hold). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
redmaw-merchant-bernahl-m4-10-check-7770234	check	7770234	identity	"{""ap_flag"":100860,""item_name"":""Ash of War: No Skill"",""merchant_anchor"":""bernahl"",""shop_row_ids"":[100086],""wiki_url"":""https://eldenring.wiki.gg/wiki/Ash_of_War:_No_Skill""}"	wiki:redmaw:checklists:7281cb6f;wiki:eldenpedia:merchant-item:revision-68933	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	lead_only	unknown	redmaw-checklists:merchants.html#bernahl/m4-10;wiki.gg:https://eldenring.wiki.gg/wiki/Ash_of_War%3A_No_Skill?oldid=68933	Redmaw lists Ash of War: No Skill under merchant section bernahl; that context identifies current AP shop flag 100860.	The identity is narrowed by Redmaw's merchant anchor and AP's current flag, shop-row, and physical-merchant evidence (Roundtable Hold). It does not prove v1.17 behavior, access logic, stock predicates, or shop availability.
