check_id	category	acquisition_class	region	item_name	flag	map_id	review_status	external_family_count	external_families	access_disposition	next_evidence
7771135	glovewort	repeated_material_row	Ainsel River	Ghost Glovewort [9]	12017950	m12_01	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	unresolved	none_identity_region_trusted
7771140	glovewort	unique_material_row	Ainsel River	Ghost-Glovewort Picker's Bell Bearing [2]	12017980	m12_04	trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	unresolved	none_identity_region_trusted
7771109	glovewort	repeated_material_row	Ainsel River	Great Ghost Glovewort	12017690	m12_01	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7771131	glovewort	repeated_material_row	Ainsel River	Great Ghost Glovewort	12017910	m12_01	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7772058	glovewort	repeated_material_row	Altus	Ghost Glovewort [4]	30087970	m30_08	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7772059	glovewort	repeated_material_row	Altus	Ghost Glovewort [4]	30087980	m30_08	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7772060	glovewort	repeated_material_row	Altus	Ghost Glovewort [4]	30087990	m30_08	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7774278	glovewort	repeated_material_row	Altus	Ghost Glovewort [4]	1039547980	m60_39_54	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7774279	glovewort	repeated_material_row	Altus	Ghost Glovewort [4]	1039547990	m60_39_54	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7773814	glovewort	unique_material_row	Altus	Glovewort Picker's Bell Bearing [1]	520120		trusted	2	gameplay-guide:redmaw;gameplay-wiki:eldenpedia	unresolved	none_identity_region_trusted
7772172	glovewort	repeated_material_row	Caelid	Ghost Glovewort [4]	31117990	m31_11	audited_one_family	1	gameplay-guide:redmaw	unresolved	second_independent_exact_landmark_source
7773308	glovewort	repeated_material_row	Cerulean	Ghost Glovewort [7]	2046407050	m61_46_40	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7773309	glovewort	repeated_material_row	Cerulean	Ghost Glovewort [9]	2046407060	m61_46_40	audited_one_family	1	gameplay-guide:redmaw	unresolved	second_independent_exact_landmark_source
7772004	glovewort	repeated_material_row	Cerulean	Grave Glovewort [2]	22007170	m22_00	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7773300	glovewort	repeated_material_row	Cerulean	Grave Glovewort [2]	2046397000	m61_46_38	remaining_unreviewed	0		unresolved	first_exact_landmark_source
7772003	glovewort	repeated_material_row	Cerulean	Grave Glovewort [3]	22007160	m22_00	remaining_unreviewed	0		unresolved	first_exact_landmark_source
