lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
redmaw-reviewed-w5-51-check-7770696	check	7770696	identity_region	"{""item_name"":""Deathroot"",""region"":""Limgrave""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L672; redmaw:#north-limgrave:w5-51	The pinned walkthrough explicitly awards Deathroot for defeating Tibia Mariner at Summonwater Village; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w12-35-check-7770697	check	7770697	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Liurnia""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L1248; redmaw:#central-liurnia:w12-35	The pinned walkthrough explicitly awards Dragon Heart for defeating Glintstone Dragon Smarag in central Liurnia; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w14-44-check-7770699	check	7770699	identity_region	"{""item_name"":""Deathroot"",""region"":""Liurnia""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L1423; redmaw:#east-liurnia:w14-44	The pinned walkthrough explicitly awards Deathroot for defeating Tibia Mariner in eastern Liurnia; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w27-10-check-7770703	check	7770703	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Liurnia""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L2412; redmaw:#moonlight-altar:w27-10	The pinned walkthrough explicitly awards three Dragon Hearts for defeating Glintstone Dragon Adula outside the Moonlight Altar cathedral; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w30-4-check-7770706	check	7770706	identity_region	"{""item_name"":""Somber Smithing Stone [5]"",""region"":""Altus""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L2610; redmaw:#central-altus:w30-4	The pinned walkthrough explicitly awards Somber Smithing Stone [5] for defeating Fallingstar Beast above the mining field south-east of Altus Highway Junction; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w32-42-check-7770713	check	7770713	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Mt. Gelmir""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L2815; redmaw:#mt-gelmir:w32-42	The pinned walkthrough explicitly awards Dragon Heart for defeating Magma Wyrm in the lava beyond the Mt. Gelmir fort; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w19-96-check-7770714	check	7770714	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Caelid""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L1893; redmaw:#caelid:w19-96	The pinned walkthrough explicitly awards Dragon Heart for defeating Decaying Ekzykes beside the Caelid road; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w41-7-check-7773856	check	7773856	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Caelid""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L3716; redmaw:#dragonbarrow:w41-7	The pinned walkthrough explicitly awards Dragon Heart for defeating Flying Dragon Greyll on the Dragonbarrow bridge; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-w42-88-check-7773862	check	7773862	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Consecrated Snowfield""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/walkthrough.html#L3878; redmaw:#snowfield:w42-88	The pinned walkthrough explicitly awards three Dragon Hearts for defeating Great Wyrm Theodorix at the Consecrated Snowfield river; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
redmaw-reviewed-d1-60-check-7773871	check	7773871	identity_region	"{""item_name"":""Dragon Heart"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	https://github.com/rdmaw/elden-ring-completion-sheets/blob/7281cb6f7f067e71856f12d5e7083b97ad081bb1/sheets/dlc-walkthrough.html#L226; redmaw:#west-gravesite:d1-60	The pinned walkthrough explicitly awards Dragon Heart for defeating Ghostflame Dragon in the Gravesite lake; the named boss and area distinguish this AP reward from same-name pickups.	Reviewed acquisition statement, not an automatic linked-label match. The AP boss/region join is scoped to identity and area; patch version, event predicate, route prerequisites and sweep delivery are not established. One Redmaw family, regardless of linked wiki pages.
