# AUTO-GENERATED by tools/datamine_flag_names.py -- DO NOT EDIT, re-emit.
# A human-readable label for an event flag, taken from FromSoft's OWN developer comment on the
# event that SETS it (the decompiled EMEVD carries `// <japanese> -- <english gloss>` above almost
# every event). The flag itself has no name anywhere in the game data.
# 🛑 IT NAMES THE EVENT, NOT THE FLAG. One event setting five flags labels all five identically --
#   an ATTRIBUTION ("set by the thing called X"), never a definition. `setters` is how many distinct
#   named setters were found; >1 means the label shown is one of several.
# 🛑 `name_en` IS A MACHINE TRANSLATION carried in the decompiled comment, not a FromSoft string.
#   `name_ja` is the datum. Read the Japanese before reasoning about meaning.
# 🛑 A FLAG ABSENT HERE IS UNNAMED, not ungated. Absence means this scan could not reach it.
# source: emevd_event (a SetEventFlag site in a NAMED event -- strongest)
#       | emevd_batch (inside a BatchSetEventFlags range in a named event; the comment names the
#                      RANGE's purpose, so it is weaker. Ranges wider than 64 are dropped)
#       | esd_talk    (no EMEVD setter; esd_flags.tsv says a talk ESD sets it. Provenance, no name)
# TIER 2 (AGENTS §5a): a hand-run emit. No build.ps1 step regenerates this and CI cannot -- the
#   EMEVD is licensing-restricted. Re-emit and commit when the corpus changes.
# MEASURED THIS RUN (recomputed on every emit):
#   files                          589
#   events                         4893
#   events_named                   3791
#   events_unnamed                 1102
#   set_sites                      4527
#   set_sites_in_unnamed_event     1247
#   batch_sites                    662
#   batch_sites_in_unnamed_event   76
#   esd_only                       2267
#   flags labelled                 5111
#     via emevd_event              2173
#     via emevd_batch              671
#     via esd_talk                 2267
flag	name_ja	name_en	source	set_by_event	map_id	setters
4		set by NPC talk 800016000 on m60_00_00_00	esd_talk	800016000	m60_00_00_00	6
20	エンディング_メリナ	Ending_Melina	emevd_event	11710100	m11_71_00_00	1
21	エンディング_ラニ	Ending_Rani	emevd_event	19000110	m19_00_00_00	1
22	エンディング_狂い火	Ending_crazy fire	emevd_event	19000120	m19_00_00_00	1
30	次の周回へ行く	go to next round	emevd_event	11100030	m11_10_00_00	1
50	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
51	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
52	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
53	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
54	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
55	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
56	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
57	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
100	ゲーム開始	game start	emevd_event	10010020	m10_01_00_00	2
101	チュートリアル開始	Start tutorial	emevd_event	18000020	m18_00_00_00	3
102	チュートリアル時間固定	Fixed tutorial time	emevd_event	18000021	m18_00_00_00	1
104		set by NPC talk 000003000 on m00_00_00_00	esd_talk	000003000	m00_00_00_00	1
105	初回拠点訪問	First base visit	emevd_event	11100020	m11_10_00_00	1
108	狂い火の受領	Receiving crazy fire	emevd_event	35002500	m35_00_00_00	1
109	狂い火の受領	Receiving crazy fire	emevd_event	35002500	m35_00_00_00	1
110	天変地異_メリナ炎上	Natural disaster_Melina goes up in flames	emevd_event	901	common	1
111	天変地異_メリナ炎上	Natural disaster_Melina goes up in flames	emevd_event	901	common	2
112	天変地異_メリナ炎上	Natural disaster_Melina goes up in flames	emevd_event	901	common	2
116	狂い火抑え_使用完了	Crazy fire suppression_Used completed	emevd_event	920	common	1
118	天変地異_世界樹炎上	Natural disaster_World tree in flames	emevd_event	900	common	1
119	黄金樹の封印	Seal of the Golden Tree	emevd_event	19002500	m19_00_00_00	1
120	エンディング_メリナ	Ending_Melina	emevd_event	11710100	m11_71_00_00	3
121	クリア後拠点訪問	Visit base after clearing	emevd_event	11100031	m11_10_00_00	1
130	巨人の火取得	Get giant fire	emevd_event	1054532500	m60_54_53_00	1
171	救済対応_伍	Relief response_5	emevd_event	6905	common	1
172	救済対応_伍	Relief response_5	emevd_event	6905	common	1
173	救済対応_伍	Relief response_5	emevd_event	6905	common	1
174	救済対応_伍	Relief response_5	emevd_event	6905	common	1
175	救済対応_伍	Relief response_5	emevd_event	6905	common	1
176	救済対応_伍	Relief response_5	emevd_event	6905	common	1
177	救済対応_伍	Relief response_5	emevd_event	6905	common	1
200	ホスト／ゲスト判定	Host/Guest Judgment	emevd_event	710	common	1
201	ホスト／ゲスト判定	Host/Guest Judgment	emevd_event	710	common	1
202	ホストがマルチプレイかの判定	Determining whether the host is multiplayer	emevd_event	711	common	1
210	レガシー／オープン判定	Legacy/Open Judgment	emevd_event	715	common	1
211	レガシー／オープン判定	Legacy/Open Judgment	emevd_event	715	common	1
220	レガシー／オープン判定（データ）	Legacy/open judgment (data)	emevd_event	716	common	1
221	レガシー／オープン判定（データ）	Legacy/open judgment (data)	emevd_event	716	common	1
280	プリコンストラクタ	preconstructor	emevd_event	50	common	4
300	天変地異_世界樹炎上	Natural disaster_World tree in flames	emevd_event	900	common	1
301	天変地異_世界樹炎上	Natural disaster_World tree in flames	emevd_event	900	common	1
302	天変地異_世界樹炎上	Natural disaster_World tree in flames	emevd_event	900	common	3
310	天変地異_巨星墜つ	Natural disaster_Giant star falls	emevd_event	910	common	1
370	搭反転イベント	Tower reversal event	emevd_event	34112150	m34_11_00_00	1
530	時間帯監視イベント	Time zone monitoring event	emevd_event	810	common	1
531	時間帯監視イベント	Time zone monitoring event	emevd_event	810	common	1
532	時間帯監視イベント	Time zone monitoring event	emevd_event	810	common	1
570	天候監視イベント_系列	Weather monitoring event_series	emevd_event	839	common	1
571	天候監視イベント_系列	Weather monitoring event_series	emevd_event	839	common	1
572	天候監視イベント_系列	Weather monitoring event_series	emevd_event	839	common	1
573	天候監視イベント_系列	Weather monitoring event_series	emevd_event	839	common	1
574	天候監視イベント_系列	Weather monitoring event_series	emevd_event	839	common	1
575	天候監視イベント_系列	Weather monitoring event_series	emevd_event	839	common	1
909	プリコンストラクタ	preconstructor	emevd_event	50	common	1
951	娘マリカとの出会い	Meeting my daughter Marika	emevd_event	950	common	1
953	娘マリカとの出会い	Meeting my daughter Marika	emevd_event	950	common	1
1650	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
1651	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
1652	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
1653	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
1654	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
1655	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
1656	ゲーム開始フラグ操作	Game start flag operation	emevd_event	700	common	1
3000		set by NPC talk 900006000 on m60_00_00_00	esd_talk	900006000	m60_00_00_00	1
3001		set by NPC talk 000001000 on m00_00_00_00	esd_talk	000001000	m00_00_00_00	1
3002	ミケラカットシーン再生	Michaela cutscene playback	emevd_event	3041	common	1
3061	篝火点灯監視_オープン緑	Bonfire lighting monitoring_open green	emevd_event	3042	common	1
3062	篝火点灯監視_オープン湖	Bonfire lighting monitoring_Open lake	emevd_event	3043	common	1
3063	篝火点灯監視_オープン高山	Bonfire lighting monitoring_Open Takayama	emevd_event	3044	common	1
3064	篝火点灯監視_オープン平原	Bonfire lighting monitoring_Open plains	emevd_event	3045	common	1
3065	篝火点灯監視_オープン雪山	Bonfire lighting monitoring_Open snow mountain	emevd_event	3046	common	1
3100	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_event	1037460719	m60_37_46_00	4
3101	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	2
3102	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	2
3103	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	2
3104	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3105	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_event	3119	common	2
3106	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_event	3119	common	2
3107	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_event	3119	common	2
3108	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_event	3119	common	2
3109	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_event	3119	common	2
3110	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_event	3119	common	2
3111	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_event	3119	common	2
3112	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3113	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3114	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3115	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3116	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3117	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3118	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_event	1037460719	m60_37_46_00	5
3119	NPC300火山館の女主人_キャラ状態遷移	NPC300 Volcano Hall Mistress_Character state transition	emevd_batch	3119	common	1
3120	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_event	1037460719	m60_37_46_00	2
3121	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	1
3122	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	1
3123	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	1
3138	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_event	1037460719	m60_37_46_00	1
3158	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_event	1037460719	m60_37_46_00	1
3160	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_event	1037460719	m60_37_46_00	4
3161	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	2
3162	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	2
3163	NPC330_贖罪司祭_免罪実行	NPC330_Atonement Priest_Performing absolution	emevd_batch	1037460719	m60_37_46_00	2
