# AUTO-GENERATED by tools/datamine_flagless_enemy_drops.py -- DO NOT EDIT.
# ItemLotParam_enemy rows with NO getItemFlagId* that award a NAMED item, joined
# to the NpcParam rows that reference them. MEASUREMENT ONLY -- see
# SPEC-flagless-enemy-drops.md; suppression policy is a separate ruling.
lot	slot	item_id	category	base_point	num	is_goods	name	npc_param_ids
204100100	2	20801	1	50	1	goods	Aeonian Butterfly	20410056
214000000	2	8060000	2	40	1		Omen Cleaver	21400000;21400012;21400030;21400034;21400035;21400100;21400114;21400120;21400130;21400135;21400200;21400300;21400335;21400400;21400435;21400600;21400633;21400900;21400930
214000100	2	15010000	2	40	1		Warped Axe	21401000;21401030;21401035;21401100;21401120;21401130;21401135;21401200;21401235;21401300;21401335;21401400;21401435;21401600;21401900;21401930
214000990	2	8060000	2	40	1		Omen Cleaver	21400235
227000000	2	15130	1	1000	1	goods	Crab Eggs	22700000;22700010;22700012;22700013;22700030;22700032;22700033;22700064;22700100;22700210;22720000;22720020;22720100;22720112;22740000;22740020;22740021;22740024;22740052;22740120;22760000;22760020;22760033
227100000	2	15130	1	30	1	goods	Crab Eggs	22710000;22710010;22710012;22710013;22710030;22710032;22710033;22710040;22710060;22710064;22710065;22730000;22730020;22750000;22750020;22750024;22750052;22750120;22770000;22770020;22770033
227100500	2	15130	1	30	1	goods	Crab Eggs	22751000;22751024
300000000	2	43000000	2	20	1		Soldier's Crossbow	30000000;30000034;30000800;30000834;30001200;30004000
300000100	2	190000	3	15	1		Exile Hood	30000100;30000134;30001300;30004100
300000200	2	190000	3	15	1		Exile Hood	30000200;30004200;30004300
300000300	2	190000	3	15	1		Exile Hood	30000600
300000400	2	190000	3	15	1		Exile Hood	30000700
300000500	2	190000	3	15	1		Exile Hood	30001000;30001034;30001100;30005000
300000600	2	16010000	2	20	1		Spear	30002000;30002034;30006000
300000700	2	16080000	2	20	1		Torchpole	30003000;30003034;30003500;30007000
300000800	2	16080000	2	20	1		Torchpole	30003200
