# AUTO-GENERATED by tools/datamine_game_areas.py -- DO NOT EDIT, re-emit.
# GameAreaParam: one row per boss ARENA (rune-award set, 216 rows).
# 🛑 A PARTITION, not every boss -- the healthbar sweep finds 249. Rows here
#    absent from that sweep, and sweep bosses absent here, are both worth a
#    look; neither table is authoritative over the other.
# 🛑 local_* is MAP-LOCAL. world_gx/gz are folded (tile*256+local) and are
#    populated ONLY for m60/m61 overworld arenas; blank = interior, do not fold.
area_id	defeat_flag	flag_equals_id	found_flag	challenge_flag	bonus_soul	boss_map	local_x	local_y	local_z	world_gx	world_gz
0	0	yes	0	0	10000		0.0	0.0	0.0		
1	0	-	0	0	10000		0.0	0.0	0.0		
9999991	0	-	0	0	0		0.0	0.0	0.0		
9999992	0	-	0	0	0		0.0	0.0	0.0		
10000800	10000800	yes	10000801	0	20000	m10_00_00_00	-233.64	73.69	349.6		
10000850	10000850	yes	10000851	0	12000	m10_00_00_00	-16.94	-2.75	-17.6		
10010800	10010800	yes	10000851	0	3200	m10_01_00_00	-16.94	-2.75	-17.6		
11000800	11000800	yes	30020801	0	120000	m11_00_00_00	67.41	79.0	-455.18		
11000850	11000850	yes	30020801	0	80000	m11_00_00_00	-131.56	31.01	-386.36		
11050800	11050800	yes	30020801	0	300000	m11_05_00_00	41.02	65.12	-421.28		
11050850	11050850	yes	30020801	0	150000	m11_05_00_00	-132.34	31.03	-386.62		
12010800	12010800	yes	30020801	0	12000	m12_01_00_00	-193.0	-224.5	59.76		
12010850	12010850	yes	30020801	0	58000	m12_01_00_00	-224.54	-317.06	-306.44		
12020800	12020800	yes	30020801	0	30000	m12_02_00_00	1213.21	-619.69	1934.45		
12020830	12020830	yes	30020801	0	16000	m12_02_00_00	1240.1	-748.45	1738.16		
12020850	12020850	yes	30020801	0	10000	m12_02_00_00	995.94	-617.5	1146.54		
12030390	12020390	no	30020801	0	25000	m12_03_00_00	-884.21	96.72	-320.67		
12030800	12030800	yes	30020800	0	40000	m12_03_00_00	-370.11	149.47	-203.44		
12030850	12030850	yes	30020800	12032859	90000	m12_03_00_00	-448.77	149.34	-273.11		
12040800	12040800	yes	30020800	0	80000	m12_04_00_00	-100.0	-106.23	-125.0		
12050800	12050800	yes	30020800	0	420000	m12_05_00_00	1552.51	-505.78	1234.42		
12080800	12080800	yes	30020800	0	13000	m12_08_00_00	1530.68	-1735.68	-1052.55		
12090800	12090800	yes	30020800	0	24000	m12_09_00_00	1184.79	-1538.52	1899.71		
13000800	13000800	yes	30020800	0	220000	m13_00_00_00	197.21	-32.52	374.75		
13000830	13000830	yes	30020800	0	280000	m13_00_00_00	14.45	1009.59	329.5		
13000850	13000850	yes	30020800	0	170000	m13_00_00_00	-3.55	-52.2	406.52		
14000800	14000800	yes	30020801	0	40000	m14_00_00_00	70.4	-838.71	-23.42		
14000850	14000850	yes	30020801	0	14000	m14_00_00_00	151.24	110.57	-222.99		
15000800	15000800	yes	0	0	480000	m15_00_00_00	-25.87	51.95	477.41		
15000850	15000850	yes	0	0	200000	m15_00_00_00	174.37	431.66	307.9		
16000800	16000800	yes	30020801	0	130000	m16_00_00_00	93.69	-438.87	-118.41		
16000850	16000850	yes	30020801	0	50000	m16_00_00_00	62.32	7.82	-211.48		
16000860	16000860	yes	30020801	0	10000	m16_00_00_00	229.67	-133.52	-251.97		
18000800	18000800	yes	30020801	0	15000	m18_00_00_00	29.5	-111.57	53.47		
18000850	18000850	yes	30020801	0	400	m18_00_00_00	-40.94	10.67	41.1		
19000800	19000800	yes	30020801	0	500000	m19_00_00_00	213.99	-719.98	-686.97		
20000800	20000800	yes	0	0	120000	m20_00_00_00	-43.02	118.48	336.61		
20010800	20010800	yes	0	0	500000	m20_01_00_00	-287.24	299.7	-141.21		
20010850	20010850	yes	0	0	0	m20_01_00_00	-221.56	174.59	-328.75		
21000850	21000850	yes	0	0	200000	m15_00_00_00	-25.87	51.95	477.41		
21010800	21010800	yes	0	0	400000	m15_00_00_00	174.37	431.66	307.9		
22000800	22000800	yes	22000801	0	220000	m22_00_00_00	-70.1	-295.01	104.29		
25000800	25000800	yes	30020800	0	420000	m25_00_00_00	4.32	0.01	-2.32		
28000800	28000800	yes	28000801	0	410000	m28_00_00_00	-11.75	16.01	-92.36		
30000800	30000800	yes	30020801	0	2200	m30_00_00_00	2.62	46.74	65.56		
30010800	30010800	yes	30020801	0	2400	m30_01_00_00	-34.14	23.12	-156.39		
30020800	30020800	yes	30020801	0	1300	m30_02_00_00	103.67	94.93	74.18		
30030800	30030800	yes	30020801	0	3000	m30_03_00_00	90.5	193.71	24.29		
