# AUTO-GENERATED by tools/datamine_item_grace_coords.py (run via the connected folder over the
# 88 progression-surface-hosting maps; expand to all maps for the map tracker). Treasure chain:
# Event/Treasure ItemLotID -> ItemLotParam_map flags, TreasurePartName -> Part/Asset Position.
# Grace rows: BonfireWarpParam posX/Y/Z + grace_flags tile + grace_names. Map-LOCAL coords.
kind	key	map_id	x	y	z	name
item	10007450	m10_00	-203.436	68.713	96.886	
item	10007850	m10_00	-298.403	64.315	426.311	
item	10007730	m10_00	-156.782	74.883	225.763	
item	10007030	m10_00	-87.471	15.606	43.302	
item	10007040	m10_00	-91.922	11.824	-2.485	
item	10007050	m10_00	-229.244	75.891	68.703	
item	10007060	m10_00	-181.83	63.86	118.56	
item	10007080	m10_00	-180.319	58.979	70.906	
item	10007090	m10_00	-289.867	89.621	268.974	
item	10007100	m10_00	-214.888	43.902	13.03	
item	10007110	m10_00	-123.847	21.894766	-1.54	
item	10007120	m10_00	-149.989	12.122	-20.765	
item	10007130	m10_00	-205.96	27.524	-79.45	
item	10007140	m10_00	-141.222	25.668	1.231	
item	10007150	m10_00	-176.714	41.144	-13.641	
item	10007160	m10_00	-267.359	79.09	125.253	
item	10007170	m10_00	-239.25	50.815	43.87	
item	10007180	m10_00	-252.483	51.438	86.864	
item	10007190	m10_00	-249.271	59.293	95.721	
item	10007200	m10_00	-249.148	62.748	72.752	
item	10007210	m10_00	-239.083	61.356	60.79	
item	10007220	m10_00	-229.045	73.932	57.92	
item	10007230	m10_00	-215.348	115.436	156.511	
item	10007240	m10_00	-232.198	61.715	67.051	
item	10007250	m10_00	-245.324	75.532	70.05	
item	10007260	m10_00	-262.089	106.717	94.337	
item	10007270	m10_00	-288.043	79.12	84.055	
item	10007280	m10_00	-274.63	98.502	81.11	
item	10007290	m10_00	-254.674	109.543	105.947	
item	10007300	m10_00	-268.069	-22.14	133.862	
item	10007310	m10_00	-297.371	94.46	208.624	
item	10007320	m10_00	-308.687	67.97	189.57	
item	10007330	m10_00	-288.062	90.066	207.877	
item	10007340	m10_00	-190.233	67.668	119.475	
item	10007350	m10_00	-276.654	84.0698	196.62	
item	10007360	m10_00	-232.223	75.571	132.007	
item	10007370	m10_00	-193.881	75.834	113.494	
item	10007380	m10_00	-179.589	67.56448	82.81	
item	10007390	m10_00	-203.433	67.615	93.377	
item	10007400	m10_00	-202.817	67.67	100.418	
item	10007410	m10_00	-234.556	90.934	102.36	
item	65610	m10_00	-244.454	65.784	120.275	
item	10007430	m10_00	-203.26	71.952	139.4	
item	10007440	m10_00	-211.687	56.386	101.831	
item	10007460	m10_00	-206.752	67.66177	103.515	
item	10007470	m10_00	-227.921	101.006935	101.53	
item	67030	m10_00	-199.304	78.614	198.542	
item	10007500	m10_00	-217.88	67.107	76.534	
item	10007510	m10_00	-180.429	38.306	31.256	
item	10007520	m10_00	-113.841	21.115	25.019	
item	10007530	m10_00	-116.231	21.250967	29.523	
item	10007540	m10_00	-121.811	21.2	28.855	
item	10007550	m10_00	-151.563	52.774	130.342	
item	10007560	m10_00	-110.419	30.074	4.907	
item	10007570	m10_00	-209.952	67.734	175.04	
item	10007580	m10_00	-122.455	29.916	17.533	
item	10007590	m10_00	-178.468	42.2648	61.609	
item	10007600	m10_00	-188.913	52.502	57.26	
item	10007610	m10_00	-249.172	72.69	165.166	
item	10007620	m10_00	-224.858	66.804	188.467	
item	10007630	m10_00	-235.626	69.88832	227.515	
item	10007640	m10_00	-275.92	71.388	227.365	
item	10007650	m10_00	-218.743	66.87	185.656	
item	10007660	m10_00	-201.299	65.68	177.302	
item	10007670	m10_00	-231.971	66.812	179.453	
item	10007680	m10_00	-226.864	67.412	229.899	
item	10007690	m10_00	-226.115	66.737	181.965	
item	10007700	m10_00	-232.292	66.714	185.934	
item	10007710	m10_00	-250.879	77.903	240.968	
item	10007720	m10_00	-185.872	74.875	232.581	
item	10007740	m10_00	-146.411	75.037	259.12	
item	10007750	m10_00	-189.701	73.24	218.793	
item	10007760	m10_00	-321.554	70.459	234.86	
item	66010	m10_00	-266.148	88.304	260.007	
item	10007780	m10_00	-242.386	66.395	210.287	
item	10007790	m10_00	-216.704	88.313	296.833	
item	10007800	m10_00	-222.559	95.314	276.344	
item	10007810	m10_00	-186.741	82.857	247.37	
item	10007820	m10_00	-265.616	96.839745	267.972	
item	10007830	m10_00	-266.611	96.816	264.017	
item	10007840	m10_00	-313.984	89.51	276.101	
item	10007860	m10_00	-305.633	69.249	239.045	
item	10007870	m10_00	-283.371	47.244	228.847	
item	10007880	m10_00	-300.098	61.526	201.058	
item	10007890	m10_00	-298.496	31.6	240.879	
item	10007900	m10_00	-289.057	23.595	190.45	
item	10007910	m10_00	-261.246	13.870606	155.325	
item	10007920	m10_00	-253.964	13.873685	147.13	
item	10007930	m10_00	-258.985	13.861794	143.5	
item	10007940	m10_00	-242.59	13.841	96.253	
item	10007950	m10_00	-175.804	58.01	171.377	
item	66020	m10_00	-267.777	88.285	267.754	
item	10007005	m10_00	-216.683	72.642	214.368	
item	10007015	m10_00	-251.741	65.778	110.577	
item	10007025	m10_00	-254.638	65.78	121.156	
item	10007035	m10_00	-227.601	70.028	42.453	
item	10007960	m10_00	-202.888	76.375	106.719	
item	10007970	m10_00	-196.54	76.82472	87.18	
item	10007980	m10_00	-214.491	67.367	128.992	
item	10007990	m10_00	-206.548	52.447006	77.471	
item	10007965	m10_00	-199.118	52.457	83.062	
item	10007975	m10_00	-225.49	67.103	90.223	
item	62060	m12_01	-5.202	-203.883	-36.207	
item	62061	m12_01	-297.681	-316.544	-105.669	
item	67890	m12_01	-523.009	-315.146	-385.606	
item	12017030	m12_01	-104.725	-308.618	-419.235	
item	12017040	m12_01	194.387	-205.848	-147.817	
item	12017050	m12_01	154.656	-205.558	-162.715	
item	12017060	m12_01	139.952	-204.513	-181.435	
item	12017070	m12_01	372.311	-153.779	-12.329	
item	12017080	m12_01	154.839	-201.555	-185.744	
item	12017090	m12_01	-339.61	-292.882	-292.083	
item	12017100	m12_01	-230.191	-154.805	228.426	
item	12017110	m12_01	-339.909	-316.505	-121.785	
item	12017120	m12_01	-379.905	-316.49	-156.414	
item	12017130	m12_01	-315.576	-316.49	-223.485	
item	12017140	m12_01	-240.876	-316.562	-328.911	
item	12017150	m12_01	295.289	-172.657	-196.754	
item	12017160	m12_01	210.119	-181.592	-175.027	
item	12017170	m12_01	342.117	-159.417	-122.581	
item	12017180	m12_01	-69.453	-210.823	-138.089	
item	12017190	m12_01	370.231	-166.9	-182.478	
item	12017200	m12_01	291.063	-172.277	-182.834	
item	12017210	m12_01	216.34	-181.602	-190.369	
item	12017220	m12_01	56.519	-213.346	-94.011	
item	12017230	m12_01	95.684	-192.724	-45.389	
item	12017240	m12_01	31.204	-204.45	-81.835	
item	12017250	m12_01	67.081	-209.638	-90.173	
item	12017260	m12_01	5.717	-201.789	-94.611	
item	12017270	m12_01	126.919	-188.461	-171.213	
item	12017280	m12_01	-66.052	-211.612	-137.647	
item	12017290	m12_01	-70.891	-212.427	-133.79	
item	12017300	m12_01	-80.729	-210.955	-130.818	
item	12017310	m12_01	-120.121	-204.612	-154.514	
item	12017320	m12_01	-140.519	-199.017	-170.502	
item	12017330	m12_01	-98.548	-224.067	-26.978	
item	12017340	m12_01	92.576	-213.274	-52.424	
item	12017350	m12_01	126.829	-197.231	-179.289	
item	12017360	m12_01	367.106	-156.879	-74.135	
item	12017370	m12_01	-281.157	-316.522	-63.054	
item	12017380	m12_01	-170.522	-316.321	-101.03	
item	12017390	m12_01	300.742	-171.123	-182.103	
item	12017400	m12_01	56.055	-206.801	-41.882	
item	12017410	m12_01	51.589	-211.726	-93.437	
item	12017420	m12_01	51.049	-210.377	-90.353	
item	12017430	m12_01	54.741	-213.778	-99.507	
item	12017440	m12_01	84.744	-204.981	-82.614	
item	12017450	m12_01	-175.017	-313.074	-218.296	
item	12017460	m12_01	-145.569	-308.57	-407.408	
item	12017470	m12_01	-433.3	-316.71	-434.671	
item	12017480	m12_01	-206.877	-316.601	-306.084	
item	12017490	m12_01	-232.412	-316.579	-310.411	
item	12017500	m12_01	319.509	-79.971	150.155	
item	12017510	m12_01	338.616	-78.723	150.99	
item	12017520	m12_01	52.746	-146.357	-23.225	
item	12017530	m12_01	318.606	-79.978	115.866	
item	12017540	m12_01	191.901	-104.922	52.844	
item	12017550	m12_01	126.913	-131.595	34.599	
item	12017560	m12_01	131.905	-130.571	28.127	
item	12017570	m12_01	-0.714	-163.691	-60.78	
item	12017580	m12_01	357.176	-79.987	93.835	
item	12017590	m12_01	305.976	-80.085	109.623	
item	12017600	m12_01	-108.793	-170.38	183.464	
item	12017610	m12_01	-25.693	-149.28	98.796	
item	12017620	m12_01	0.071	-163.819	174.35	
item	12017630	m12_01	-61.312	-136.96	65.83	
item	12017640	m12_01	-55.795	-135.462	142.624	
item	12017650	m12_01	-97.706	-129.03	178.31	
item	12017660	m12_01	-53.657	-135.448	124.935	
item	12017670	m12_01	-119.213	-111.034	238.105	
item	12017680	m12_01	-113.714	-119.967	222.196	
item	12017710	m12_01	365.3	-79.353	61.771	
item	12017720	m12_01	-215.666	-167.286	275.416	
item	12017730	m12_01	16.754	-159.759	73.901	
item	12017740	m12_01	12.335	-164.232	166.434	
item	12017750	m12_01	-27.933	-162.608	256.581	
item	12017760	m12_01	-94.214	-164.697	201.578	
item	12017770	m12_01	-36.955	-164.03	212.098	
item	12017780	m12_01	-184.095	-167.776	161.466	
item	12017790	m12_01	-270.799	-170.22	173.408	
item	12017800	m12_01	-269.368	-280.118	81.146	
item	12017810	m12_01	-279.713	-280.743	76.866	
item	12017820	m12_01	-469.099	-340.737	-516.584	
item	12017830	m12_01	-558.652	-372.425	-543.486	
item	12017840	m12_01	-553.206	-373.263	-548.292	
item	12017850	m12_01	-448.171	-373.321	-546.722	
item	12017860	m12_01	-419.386	-373.63	-482.991	
item	12017870	m12_01	-413.576	-373.623	-482.485	
