# AUTO-GENERATED by tools/datamine_lot_gates.py -- DO NOT EDIT.
# check_flag co-occurs with a test of gate_flag in one EMEVD event.
# `context` is the construct the test sits in (EndIf / WaitFor / SkipIf / ...).
# POLARITY IS NOT ENCODED: EndIf(EventFlag(X)) means the body needs X CLEAR, the
#   OPPOSITE of the naive reading. Assign the sense per context during triage.
# CANDIDATE PAIRS, not conclusions -- co-occurrence is evidence, not proof. A
#   false gate is an unwinnable seed; a false non-gate is the bug this finds.
# gate_map = the map emevd(s) that SET gate_flag, `|`-joined when several do.
#   Empty = no MAP sets it (common-event only, or nothing found). This is the
#   region handle for gate flags whose NUMBER carries no map encoding -- the
#   NPC/questline state flags the numeric decode was blind to.
check_flag	gate_flag	context	event_id	source	evidence	gate_map
9500	11059206	commonarg/WaitFor	90005750	m11_05_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m11_05_00_00
9502	4131	commonarg/WaitFor	90005750	m12_03_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
60110	1042369413	commonarg/WaitFor	90005750	m60_42_36_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m60_42_36_00
60300	11102180	commonarg/WaitFor	90005792	m11_10_00_00.emevd.dcx.js	$InitializeCommonEvent(90005792) arg1	
65270	1039522181	commonarg/WaitFor	90005792	m60_39_52_00.emevd.dcx.js	$InitializeCommonEvent(90005792) arg1	
65660	11007992	EndIf	11002696	m11_00_00_00.emevd.dcx.js	002696, Restart, function() { EndIf(EventFlag(11007992)); Wai	
400033	3383	EndIf	3051	common.emevd.dcx.js	EndIf(EventFlag(400033)); EndIf(EventFlag(3383)); Wai	m60_37_46_00
400033	3383	WaitFor	3051	common.emevd.dcx.js	383)); WaitFor(EventFlag(400031) && EventFlag(3383) && !Event	m60_37_46_00
400033	400031	!EndIf	10010791	m10_01_00_00.emevd.dcx.js	EndIf(EventFlag(400033)); EndIf(!EventFlag(400031)); Wai	
400033	400031	!EndIf	1037493700	m60_37_49_00.emevd.dcx.js	EndIf(EventFlag(400033)); EndIf(!EventFlag(400031)); Wai	
400033	400031	WaitFor	3051	common.emevd.dcx.js	EndIf(EventFlag(3383)); WaitFor(EventFlag(400031) && EventF	
400033	35009209	!WaitFor	3051	common.emevd.dcx.js	ventFlag(400031) && EventFlag(3383) && !EventFlag(35009209)); End	
400037	12059166	commonarg/WaitFor	90005750	m12_05_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400061	1033442181	commonarg/WaitFor	90005792	m60_33_44_00.emevd.dcx.js	$InitializeCommonEvent(90005792) arg1	
400061	1043319208	commonarg/WaitFor	90005750	m60_43_31_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m60_43_31_00
400061	1045349258	commonarg/WaitFor	90005750	m60_45_34_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m60_45_34_00
400071	16009266	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m16_00_00_00
400072	16009270	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400073	16009208	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400074	16009216	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400075	16009217	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400076	16009267	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m16_00_00_00
400077	16009268	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m16_00_00_00
400078	16009269	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m16_00_00_00
400089	35009211	commonarg/WaitFor	90005750	m35_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m35_00_00_00
400091	16009337	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m16_00_00_00
400091	16009338	commonarg/WaitFor	90005750	m16_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m16_00_00_00
400106	7608	WaitFor	14000731	m14_00_00_00.emevd.dcx.js	106)); WaitFor(ElapsedSeconds(2) && EventFlag(7608)); Awa	
400107	3469	commonarg/WaitFor	90005750	m14_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400148	3569	commonarg/WaitFor	90005750	m60_34_50_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400149	1035509215	commonarg/WaitFor	90005750	m60_35_50_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400149	1035509216	commonarg/WaitFor	90005750	m60_35_50_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400159	12012716	!WaitFor	3050	common.emevd.dcx.js	)); WaitFor(EventFlag(12019280) && !EventFlag(12012716)); Rem	m12_01_00_00
400159	12019280	WaitFor	3050	common.emevd.dcx.js	EndIf(EventFlag(400159)); WaitFor(EventFlag(12019280) && !Event	m12_01_00_00
400163	1039529205	commonarg/WaitFor	90005750	m60_39_52_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	
400174	3671	WaitFor	13003711	m13_00_00_00.emevd.dcx.js	dIf(!PlayerIsInOwnWorld()); WaitFor(EventFlag(3671) && EventF	
400174	13009254	commonarg/WaitFor	90005750	m13_00_00_00.emevd.dcx.js	$InitializeCommonEvent(90005750) arg5	m13_00_00_00
