# AUTO-GENERATED by tools/datamine_map_names.py -- INTERIOR map tile -> dungeon name.
# BonfireWarpParam.bonfireEntityId[0:4] (physical tile) -> textId1 -> PlaceName FMG
# (base + DLC); representative = lowest-flag non-arena grace on the tile. desc_sources
# layer-5 locale renders 'verb - <name>'.
tile	name
m10_00	Castleward Tunnel
m11_00	East Capital Rampart
m11_05	Elden Throne
m11_10	Table of Lost Grace
m12_01	Dragonkin Soldier of Nokstella
m12_02	Siofra River Bank
m12_03	Root-Facing Cliffs
m12_04	Astel, Naturalborn of the Void
m12_05	Palace Approach Ledge-Road
m12_07	Siofra River Well Depths
m13_00	Crumbling Beast Grave
m14_00	Church of the Cuckoo
m15_00	Prayer Room
m16_00	Volcano Manor
m18_00	Cave of Knowledge
m19_00	Fractured Marika
m20_00	Belurat, Tower Settlement
m20_01	Gate of Divinity
m21_00	Shadow Keep Main Gate
m21_01	Storehouse, First Floor
m21_02	West Rampart
m22_00	Stone Coffin Fissure
m25_00	Finger Birthing Grounds
m28_00	Manse Hall
m30_00	Tombsward Catacombs
m30_01	Impaler's Catacombs
m30_02	Stormfoot Catacombs
m30_03	Road's End Catacombs
m30_04	Murkwater Catacombs
m30_05	Black Knife Catacombs
m30_06	Cliffbottom Catacombs
m30_07	Wyndham Catacombs
m30_08	Sainted Hero's Grave
m30_09	Gelmir Hero's Grave
m30_10	Auriza Hero's Grave
m30_11	Deathtouched Catacombs
m30_12	Unsightly Catacombs
m30_13	Auriza Side Tomb
m30_14	Minor Erdtree Catacombs
m30_15	Caelid Catacombs
m30_16	War-Dead Catacombs
m30_20	Hidden Path to the Haligtree
m31_01	Earthbore Cave
m31_03	Groveside Cave
m31_04	Stillwater Cave
m31_05	Lakeside Crystal Cave
m31_06	Academy Crystal Cave
m31_07	Seethewater Cave
m31_09	Volcano Cave
m31_10	Dragonbarrow Cave
m31_11	Sellia Hideaway
m31_12	Cave of the Forlorn
m31_15	Coastal Cave
m31_17	Highroad Cave
m31_18	Perfumer's Grotto
m31_19	Sage's Cave
m31_20	Abandoned Cave
m31_21	Gaol Cave
m32_00	Morne Tunnel
m32_05	Altus Tunnel
m32_07	Rear Gael Tunnel Entrance
m32_08	Sellia Crystal Tunnel
m34_10	Limgrave Tower Bridge
m34_11	Study Hall Entrance
m34_12	Divine Tower of West Altus
m34_13	Divine Tower of Caelid: Basement
m34_14	Divine Tower of East Altus: Gate
m34_15	Isolated Divine Tower
m35_00	Underground Roadside
m39_20	Ruin-Strewn Precipice
m40_00	Fog Rift Catacombs
m40_01	Scorpion River Catacombs
m40_02	Darklight Catacombs
m41_00	Belurat Gaol
m41_01	Bonny Gaol
m41_02	Lamenter's Gaol
m42_00	Ruined Forge Lava Intake
m42_02	Ruined Forge of Starfall Past
m42_03	Taylew's Ruined Forge
m43_00	Rivermouth Cave
m43_01	Dragon's Pit
