# AUTO-GENERATED by tools/datamine_merchant_shops.py -- which physical merchant opens
# each ShopLineupParam row, and on which map. Replaces datamine_shop_rows.py's false
# 'block = one merchant' region inheritance. One line per (row, merchant instance);
# a row with >1 distinct map region -> gen_data collapses to HUB + DEFAULTED. map_id ->
# region is gen_data's job (_gt_region). map_source: msb|binder|msb+binder|none.
row_id	talk_id	npc_param_id	merchant_name	map_id	map_source	npc_name_id	pos_x	pos_y	pos_z
100000	302001000	36650014	Gatekeeper Gostoc	m10_00	msb+binder	130200	-122.16	21.607	16.772
100000	302011000	36650114	Gatekeeper Gostoc	m10_00	msb+binder	130200	-189.484	37.364	-30.265
100000	302021000	36650214	Gatekeeper Gostoc	m10_00	msb+binder	130200	-242.167	51.47	66.505
100000	302031000	36650314	Gatekeeper Gostoc	m10_00	msb+binder	130200	-275.683	98.474	82.538
100000	302041000	36650414	Gatekeeper Gostoc	m10_00	msb+binder	130200	-272.094	89.7	173.335
100000	302051000	36650514	Gatekeeper Gostoc	m10_00	msb+binder	130200	-252.48	73.707	366.68
100000	302061000	36650614	Gatekeeper Gostoc	m10_00	msb+binder	130200	-294.161	81.201	408.32
100000	600001110	500020079	Twin Maiden Husks	m11_10	msb+binder	160000	-298.32	-22.624	-275.395
100002	302001000	36650014	Gatekeeper Gostoc	m10_00	msb+binder	130200	-122.16	21.607	16.772
100002	302011000	36650114	Gatekeeper Gostoc	m10_00	msb+binder	130200	-189.484	37.364	-30.265
100002	302021000	36650214	Gatekeeper Gostoc	m10_00	msb+binder	130200	-242.167	51.47	66.505
100002	302031000	36650314	Gatekeeper Gostoc	m10_00	msb+binder	130200	-275.683	98.474	82.538
100002	302041000	36650414	Gatekeeper Gostoc	m10_00	msb+binder	130200	-272.094	89.7	173.335
100002	302051000	36650514	Gatekeeper Gostoc	m10_00	msb+binder	130200	-252.48	73.707	366.68
100002	302061000	36650614	Gatekeeper Gostoc	m10_00	msb+binder	130200	-294.161	81.201	408.32
100002	600001110	500020079	Twin Maiden Husks	m11_10	msb+binder	160000	-298.32	-22.624	-275.395
100004	302001000	36650014	Gatekeeper Gostoc	m10_00	msb+binder	130200	-122.16	21.607	16.772
100004	302011000	36650114	Gatekeeper Gostoc	m10_00	msb+binder	130200	-189.484	37.364	-30.265
100004	302021000	36650214	Gatekeeper Gostoc	m10_00	msb+binder	130200	-242.167	51.47	66.505
100004	302031000	36650314	Gatekeeper Gostoc	m10_00	msb+binder	130200	-275.683	98.474	82.538
100004	302041000	36650414	Gatekeeper Gostoc	m10_00	msb+binder	130200	-272.094	89.7	173.335
100004	302051000	36650514	Gatekeeper Gostoc	m10_00	msb+binder	130200	-252.48	73.707	366.68
100004	302061000	36650614	Gatekeeper Gostoc	m10_00	msb+binder	130200	-294.161	81.201	408.32
100004	600001110	500020079	Twin Maiden Husks	m11_10	msb+binder	160000	-298.32	-22.624	-275.395
100009	302001000	36650014	Gatekeeper Gostoc	m10_00	msb+binder	130200	-122.16	21.607	16.772
100009	302011000	36650114	Gatekeeper Gostoc	m10_00	msb+binder	130200	-189.484	37.364	-30.265
100009	302021000	36650214	Gatekeeper Gostoc	m10_00	msb+binder	130200	-242.167	51.47	66.505
