# generated by tools/datamine_mine_material_sources.py; issue #1095
map_id	asset_name	model_name	instance_id	asset_entity_id	geometry_id	lot_field	item_lot_id	goods_id	item_name	family	tier	quantity	repeatable	break_on_pickup	capstone
m32_00	AEG099_860_9000	AEG099_860	9000	0	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9001	AEG099_860	9001	32001201	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9002	AEG099_860	9002	32001205	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9003	AEG099_860	9003	32001206	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9004	AEG099_860	9004	32001219	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9005	AEG099_860	9005	32001216	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9006	AEG099_860	9006	0	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9007	AEG099_860	9007	32001215	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_860_9008	AEG099_860	9008	0	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_00	AEG099_870_9000	AEG099_870	9000	0	99870	pickUpItemLotParamId	998700	10160	Somber Smithing Stone [1]	somber	1	1	yes	yes	no
m32_00	AEG099_870_9001	AEG099_870	9001	0	99870	pickUpItemLotParamId	998700	10160	Somber Smithing Stone [1]	somber	1	1	yes	yes	no
m32_00	AEG099_870_9002	AEG099_870	9002	0	99870	pickUpItemLotParamId	998700	10160	Somber Smithing Stone [1]	somber	1	1	yes	yes	no
m32_01	AEG099_860_9000	AEG099_860	9000	32011202	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_860_9001	AEG099_860	9001	32011201	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_860_9002	AEG099_860	9002	32011211	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_860_9003	AEG099_860	9003	32011218	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_860_9004	AEG099_860	9004	0	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_860_9005	AEG099_860	9005	32011203	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_860_9006	AEG099_860	9006	0	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_860_9007	AEG099_860	9007	32011215	99860	pickUpItemLotParamId	998600	10100	Smithing Stone [1]	regular	1	1	yes	yes	no
m32_01	AEG099_870_9000	AEG099_870	9000	0	99870	pickUpItemLotParamId	998700	10160	Somber Smithing Stone [1]	somber	1	1	yes	yes	no
m32_02	AEG099_861_9000	AEG099_861	9000	32021206	99861	pickUpItemLotParamId	998610	10101	Smithing Stone [2]	regular	2	1	yes	yes	no
m32_02	AEG099_861_9001	AEG099_861	9001	32021221	99861	pickUpItemLotParamId	998610	10101	Smithing Stone [2]	regular	2	1	yes	yes	no
m32_02	AEG099_861_9002	AEG099_861	9002	0	99861	pickUpItemLotParamId	998610	10101	Smithing Stone [2]	regular	2	1	yes	yes	no
m32_02	AEG099_861_9003	AEG099_861	9003	0	99861	pickUpItemLotParamId	998610	10101	Smithing Stone [2]	regular	2	1	yes	yes	no
m32_02	AEG099_861_9004	AEG099_861	9004	32021222	99861	pickUpItemLotParamId	998610	10101	Smithing Stone [2]	regular	2	1	yes	yes	no
m32_02	AEG099_862_9001	AEG099_862	9001	0	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9002	AEG099_862	9002	0	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9003	AEG099_862	9003	0	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9004	AEG099_862	9004	0	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9005	AEG099_862	9005	0	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9006	AEG099_862	9006	32021230	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9007	AEG099_862	9007	32021231	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9008	AEG099_862	9008	32021232	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_862_9009	AEG099_862	9009	0	99862	pickUpItemLotParamId	998620	10102	Smithing Stone [3]	regular	3	1	yes	yes	no
m32_02	AEG099_870_9000	AEG099_870	9000	0	99870	pickUpItemLotParamId	998700	10160	Somber Smithing Stone [1]	somber	1	1	yes	yes	no
m32_02	AEG099_870_9001	AEG099_870	9001	0	99870	pickUpItemLotParamId	998700	10160	Somber Smithing Stone [1]	somber	1	1	yes	yes	no
m32_02	AEG099_871_9000	AEG099_871	9000	0	99871	pickUpItemLotParamId	998710	10161	Somber Smithing Stone [2]	somber	2	1	yes	yes	no
m32_02	AEG099_872_9000	AEG099_872	9000	0	99872	pickUpItemLotParamId	998720	10162	Somber Smithing Stone [3]	somber	3	1	yes	yes	no
m32_02	AEG099_872_9001	AEG099_872	9001	0	99872	pickUpItemLotParamId	998720	10162	Somber Smithing Stone [3]	somber	3	1	yes	yes	no
m32_05	AEG099_864_9000	AEG099_864	9000	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m32_05	AEG099_864_9001	AEG099_864	9001	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m32_05	AEG099_864_9002	AEG099_864	9002	32051211	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m32_05	AEG099_864_9003	AEG099_864	9003	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m32_05	AEG099_864_9004	AEG099_864	9004	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m32_05	AEG099_864_9005	AEG099_864	9005	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m32_05	AEG099_874_9000	AEG099_874	9000	0	99874	pickUpItemLotParamId	998740	10164	Somber Smithing Stone [5]	somber	5	1	yes	yes	no
m34_12	AEG099_864_9000	AEG099_864	9000	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m34_12	AEG099_864_9001	AEG099_864	9001	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m34_12	AEG099_864_9002	AEG099_864	9002	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
m34_12	AEG099_864_9003	AEG099_864	9003	0	99864	pickUpItemLotParamId	998640	10104	Smithing Stone [5]	regular	5	1	yes	yes	no
