# AUTO-GENERATED by tools/datamine_play_regions.py --emit -- DO NOT EDIT.
# bucket = PlayRegionParam.ID // 100: the value the client's kick-watch compares
#   play_region_id / 100 against. This is the game's COMPLETE bucket universe.
# TRACKED so CI (which has no game artifacts) can assert greenfield/region_groups.py
#   against it: greenfield/eldenring/tests/test_gf_play_region_buckets.py.
# Regenerate after any game patch, and commit TOGETHER with the region_groups.py changes
#   it implies -- the test fails on any mismatch between the two.
# geometry: interiors = the map the bucket id encodes; overworld = the bucket's own
#   coordinate tiles (an interior row's coordinates are its overworld WARP point -- never
#   emitted, they are the trap this tool exists to avoid).
# source: PlayRegionParam.csv, 134 buckets.
bucket	kind	geometry
0	interior	m00_00
9810	interior	m09_81
9820	interior	m09_82
9999	interior	m09_99
10000	interior	m10_00
10010	interior	m10_01
11000	interior	m11_00
11050	interior	m11_05
11100	interior	m11_10
12010	interior	m12_01
12020	interior	m12_02
12030	interior	m12_03
12040	interior	m12_04
12050	interior	m12_05
12070	interior	m12_07
12080	interior	m12_08
12090	interior	m12_09
13000	interior	m13_00
14000	interior	m14_00
15000	interior	m15_00
16000	interior	m16_00
18000	interior	m18_00
19000	interior	m19_00
20000	interior	m20_00
20010	interior	m20_01
21000	interior	m21_00
21010	interior	m21_01
21020	interior	m21_02
22000	interior	m22_00
25000	interior	m25_00
30000	interior	m30_00
30010	interior	m30_01
30020	interior	m30_02
30030	interior	m30_03
30040	interior	m30_04
30050	interior	m30_05
30060	interior	m30_06
30070	interior	m30_07
30080	interior	m30_08
30090	interior	m30_09
30100	interior	m30_10
30110	interior	m30_11
30120	interior	m30_12
30130	interior	m30_13
30140	interior	m30_14
30150	interior	m30_15
30160	interior	m30_16
30170	interior	m30_17
30180	interior	m30_18
30190	interior	m30_19
30200	interior	m30_20
31000	interior	m31_00
31010	interior	m31_01
31020	interior	m31_02
31030	interior	m31_03
31040	interior	m31_04
31050	interior	m31_05
31060	interior	m31_06
31070	interior	m31_07
31090	interior	m31_09
31100	interior	m31_10
31110	interior	m31_11
31120	interior	m31_12
31150	interior	m31_15
31170	interior	m31_17
31180	interior	m31_18
31190	interior	m31_19
31200	interior	m31_20
31210	interior	m31_21
31220	interior	m31_22
32000	interior	m32_00
32010	interior	m32_01
32020	interior	m32_02
32040	interior	m32_04
32050	interior	m32_05
32070	interior	m32_07
32080	interior	m32_08
32110	interior	m32_11
34100	interior	m34_10
34110	interior	m34_11
34120	interior	m34_12
34130	interior	m34_13
34140	interior	m34_14
34150	interior	m34_15
35000	interior	m35_00
39200	interior	m39_20
40000	interior	m40_00
40010	interior	m40_01
40020	interior	m40_02
41000	interior	m41_00
41010	interior	m41_01
41020	interior	m41_02
42000	interior	m42_00
42010	interior	m42_01
42020	interior	m42_02
42030	interior	m42_03
43000	interior	m43_00
43010	interior	m43_01
45000	interior	m45_00
45010	interior	m45_01
45020	interior	m45_02
60000	overworld-base	-
61000	overworld-base	m60_42_36;m60_43_36;m60_43_37;m60_44_39;m60_45_37
61010	overworld-base	m60_41_38
61020	overworld-base	m60_42_33;m60_43_31;m60_44_33
62000	overworld-base	m60_34_42;m60_34_48;m60_34_49;m60_35_48;m60_35_50;m60_35_51;m60_36_44;m60_38_42;m60_38_46
62010	overworld-base	m60_37_48
62020	overworld-base	m60_35_41
63000	overworld-base	m60_37_51;m60_39_51;m60_40_53;m60_41_52;m60_41_54
63010	overworld-base	m60_43_52
63020	overworld-base	m60_35_53;m60_36_54;m60_37_54
64000	overworld-base	m60_47_39;m60_48_37;m60_51_36;m60_52_38
64010	overworld-base	m60_49_38
64020	overworld-base	m60_49_40;m60_51_43
65000	overworld-base	m60_48_51
65010	overworld-base	m60_49_53;m60_51_57;m60_53_57
65020	overworld-base	m60_52_54
65030	overworld-base	m60_48_56
68000	overworld-dlc	m61_45_43
68100	overworld-dlc	m61_47_43;m61_47_44
68200	overworld-dlc	m61_47_44;m61_48_44
68300	overworld-dlc	m61_48_38
68400	overworld-dlc	m61_47_39
68410	overworld-dlc	m61_49_40
68500	overworld-dlc	m61_54_39
68600	overworld-dlc	m61_51_42
69000	overworld-dlc	m61_48_45
69010	overworld-dlc	m61_46_45
69020	overworld-dlc	m61_51_46
69030	overworld-dlc	m61_51_45
69200	overworld-dlc	-
69300	overworld-dlc	m61_52_48
69400	overworld-dlc	m61_46_47
69410	overworld-dlc	m61_44_46
