# WORKSHEET (er-archipelago#598) -- hand-fill `verdict` and `reason`, then move the
#   answer into region_overrides.tsv, which region_of honours FIRST. Nothing in gen
#   reads THIS file. Regenerate: tools/build_region_dispute_worksheet.py --emit
# Every row's TILE holds checks in more than one AP region.
# tile_kind=interior -- a legacy dungeon is one map id over a huge space and MAY own
#   two regions legitimately (m21_00's Hippopotamus arena is Scadu Altus by design,
#   see region_overrides.tsv). Dismiss those unless something else looks wrong.
# tile_kind=overworld -- a tile is the smallest loadable unit, so a split here is a
#   derivation artifact. These are the real subject.
# how=GUESSED -- check_region_triage says this region was a nearest-neighbour hop,
#   not first-hand evidence. surface_default=yes -- a default seed can hang
#   progression on it, so a wrong region here is the expensive kind.
# ORDER IS THE PRIORITY: surface_default, then GUESSED, then overworld, then tile.
tile	tile_kind	flag	ap_id	derived_region	regions_on_tile	surface_default	how	tags	label	verdict	reason
m60_39_39	overworld	1039397000	7772848	Liurnia	Liurnia|Raya Lucaria Academy	yes	GUESSED	Church	Church of Irith		
m61_44_41	overworld	2044417995	7774814	Cerulean	Cerulean|Gravesite	yes	GUESSED	Fragment	Shadowpot, graveyard southwest of Cliffroad Terminus		
m61_47_46	overworld	2047467500	7774827	Scadu Altus	Belurat|Enir Ilim|Gravesite|Scadu Altus	yes	GUESSED	Fragment	Church of the Crusade		
m61_48_41	overworld	2048417700	7773618	Jagged Peak	Gravesite|Jagged Peak	yes	GUESSED	Fragment	-		
m61_48_46	overworld	2048467510	7773651	Scadu Altus	Scadu Altus|Shadow Keep	yes	GUESSED	Fragment	Marika statue, encampment south of Shadow Keep		
m61_50_46	overworld	2050467700	7773767	Scadu Altus	Gravesite|Rauh Base|Scadu Altus|Shadow Keep	yes	GUESSED	Revered	Ruins of Unte		
m60_35_46	overworld	1035467100	7774401	Raya Lucaria Academy	Liurnia|Raya Lucaria Academy	yes	-	Seedtree	near Main Academy Gate		
m60_43_35	overworld	1043357100	7773019	Weeping	Limgrave|Weeping	yes	-	Church	Church of Pilgrimmage		
m60_44_52	overworld	400300	7770695	Liurnia	Altus|Liurnia	yes	-	Shop,KeyItem,ShopNonSpell	-		
m60_52_38	overworld	510300	7770765	Caelid	Caelid|Farum Azula	yes	-	Boss,Remembrance,MajorBoss,FieldBoss	Starscourge Radahn		
