chr_id	npc_param_id	think_param_id	count	label	yaml_key	hp	get_soul	row_pays
100	1000000	1000000	1	c100		1939	0	0
120	1200000	1200000	1	c120		1939	0	0
2010	20100000	20100000	1	c2010		1320	2000	1
2030	20300124	20300000	1	c2030		1452	2000	1
2031	20310000	20310000	1	c2031		1703	0	0
2040	20400000	20400000	1	c2040		85	0	0
2041	20410040	20410000	1	c2041		77	131	1
2050	20500000	20500000	1	c2050		1939	0	0
2060	20600000	20600000	1	c2060		5818	0	0
2100	21000034	21000000	1	c2100		731	3200	1
2110	21109000	21100000	1	c2110		1588	2400	1
2120	21200000	21200000	1	Malenia (Phase 1)	malenia	2489	0	0
2130	21300033	21300000	1	c2130		2521	16800	1
2140	21400114	21400000	1	c2140		902	451	1
2150	21500000	21500000	1	c2150		187	0	0
2160	21600000	21600000	1	c2160		902	0	0
2170	21700000	21700000	1	c2170		902	0	0
2180	21800000	21800000	1	c2180		1920	0	0
2190	21900000	21900000	1	c2190		1893	0	0
2200	22000000	22000000	1	c2200		3140	0	0
2270	22700010	22700000	1	c2270		357	318	1
2271	22710010	22710000	1	c2271		28	10	1
2272	22720112	22720000	1	c2272		357	359	1
2273	22730020	22730000	1	c2273		28	23	1
2274	22740020	22740000	1	c2274		357	496	1
2275	22750020	22750000	1	c2275		28	23	1
2276	22760020	22760000	1	c2276		357	496	1
2277	22770020	22770000	1	c2277		28	23	1
2500	25000014	25000000	1	c2500		840	1613	1
3000	30004007	30000000	1	c3000		134	39	1
3010	30100507	30100000	1	c3010		448	168	1
3020	30200014	30200000	1	c3020		192	160	1
3050	30500000	30500000	1	c3050		2834	0	0
3060	30600020	30600000	1	c3060		671	170	1
3061	30610072	30610000	1	c3061		671	1456	1
3070	30700030	30700000	1	c3070		162	279	1
3080	30800007	30800000	1	c3080		172	40	1
3100	31000000	31000000	1	c3100		1507	0	0
3150	31500000	31500000	1	c3150		1006	0	0
3160	31600000	31600000	1	c3160		1089	0	0
3170	31709000	31700000	1	c3170		487	2000	1
3180	31800021	31800000	1	c3180		774	371	1
3181	31810020	31810000	1	c3181		973	1386	1
3200	32000000	32000000	1	c3200		1282	500	1
3201	32010035	32010000	1	c3201		169	493	1
3210	32100000	32100000	1	c3210		747	20	1
3250	32500072	32500000	1	c3250		2036	28080	1
3251	32510000	32510000	1	c3251		1745	0	0
3252	32520000	32520000	1	c3252		1860	0	0
3300	33000820	33000000	1	c3300		339	153	1
3320	33200265	33200000	1	c3320		111	246	1
3330	33300040	33300000	1	c3330		552	338	1
3350	33501020	33500000	1	c3350		352	190	1
3360	33600020	33600000	1	c3360		316	182	1
3361	33610000	33610000	1	c3361		316	0	0
3370	33700065	33700000	1	c3370		450	1049	1
3371	33710000	33710000	1	c3371		450	0	0
3400	34000030	34000000	1	c3400		1280	1049	1
3450	34500012	34500000	1	c3450		192	58	1
3451	34510012	34510000	1	c3451		531	105	1
3460	34600034	34600000	1	c3460		664	1613	1
3470	34700020	34700000	1	c3470		247	111	1
3500	35000010	35000000	1	c3500		148	56	1
3510	35100010	35100000	1	c3510		281	62	1
3550	35500020	35500000	1	c3550		582	470	1
3560	35600000	35600000	1	c3560		2033	0	0
3570	35700028	35700000	1	c3570		2439	4810	1
3600	36000010	36000000	1	c3600		755	311	1
3610	36100034	36100000	1	c3610		169	368	1
3620	36200034	36200000	1	c3620		471	606	1
3630	36300054	36300000	1	c3630		768	5320	1
3640	36400000	36400000	1	c3640		194	0	0
3650	36500012	36500000	1	c3650		147	63	1
3660	36600110	36600000	1	c3660		105	38	1
3661	36612040	36610000	1	c3661		376	25	1
3662	36622040	36620000	1	c3662		188	81	1
3664	36640032	36640000	1	c3664		305	935	1
3665	36650014	36650000	1	c3665		1570	200	1
3666	36660000	36660000	1	c3666		1042	0	0
3670	36700120	36700000	1	c3670		162	66	1
3700	37000020	37000000	1	c3700		429	385	1
3701	37010030	37010000	1	c3701		184	370	1
3702	37020020	37020000	1	c3702		183	121	1
3703	37030012	37030000	1	c3703		353	257	1
3704	37040020	37040000	1	c3704		630	417	1
3710	37100024	37100000	1	c3710		9999	1000	1
3720	37200040	37200000	1	c3720		9999	1000	1
3730	37300112	37300000	1	c3730		593	50	1
3750	37500060	37500000	1	c3750		262	117	1
3800	38000040	38000000	1	c3800		437	618	1
3810	38100040	38100000	1	c3810		313	612	1
3850	38500012	38500000	1	c3850		179	60	1
3860	38601024	38600000	1	c3860		173	163	1
3900	39000020	39000000	1	c3900		594	205	1
3901	39010038	39010000	1	c3901		594	830	1
3910	39100032	39100000	1	c3910		873	1309	1
3950	39509038	39500000	1	c3950		289	500	1
3970	39700072	39700000	1	c3970		250	1284	1
4000	40000020	40000000	1	c4000		153	72	1
4020	40208020	40200000	1	c4020		679	1368	1
4040	40403010	40400000	1	c4040		105	12	1
4050	40500010	40500000	1	c4050		487	282	1
4060	40600010	40600000	1	c4060		371	20	1
