# AUTO-GENERATED by tools/datamine_sweep_trigger_npcs.py -- DO NOT EDIT, re-emit.
# Sweep trigger flag -> the npc_param ids `boss-fight` probe lines can carry for
# that trigger's boss. Read by tools/check_sweep_kill_correlation.py (#713).
#
# method=chr_boss   nameId -> chr -> NpcParam rows with isSoulGetByBoss=1. Strongest.
# method=chr_all    chr decoded but no boss-marked row; the whole chr family. Weaker.
# method=nameid     healthbar nameId matched NpcParam.nameId. Human NPCs only.
# method=UNRESOLVED no candidate set. 🛑 NOT a pass -- the correlator must report
#                   these as UNJUDGED, never fold them into the clean count.
#
# 🛑 npc_params is a CANDIDATE SET, not an identity. Several flags share a chr
#    (Adula and Smarag are both 4502 on m60_34) and one chr holds up to 10 rows.
#    A wide set makes the correlator LENIENT: it can miss a defect, not invent one.
#
# method counts: chr_boss=208, chr_all=11, nameid=16, UNRESOLVED=9
trigger_flag	map	tile	class	name	chr_id	method	n_candidates	npc_params
10000800	m10_00	m10_00	legacy	Godrick the Grafted	4750	chr_boss	2	47500014;47500030
10000850	m10_00	m10_00	legacy	Margit, the Fell Omen	2130	chr_boss	2	21300014;21300534
10010800	m10_01	m10_01	legacy	Grafted Scion	4690	chr_boss	1	46900008
11000800	m11_00	m11_00	legacy	Morgott, the Omen King	2130	chr_boss	2	21300014;21300534
11000850	m11_00	m11_00	legacy	Godfrey, First Elden Lord	4720	chr_boss	2	47200070;47200134
11050800	m11_05	m11_05	legacy	Godfrey, First Elden Lord	4720	chr_boss	2	47200070;47200134
11050850	m11_05	m11_05	legacy	Sir Gideon Ofnir, the All-Knowing		nameid	4	523240000;523240070;523240079;523240179
12010800	m12_01	m12_01	legacy	Dragonkin Soldier of Nokstella	4650	chr_boss	5	46500060;46500160;46500262;46500265;46500960
12010850	m12_01	m12_01	legacy	Dragonkin Soldier	4650	chr_boss	5	46500060;46500160;46500262;46500265;46500960
12020800	m12_02	m12_02	legacy	Valiant Gargoyle	4770	chr_boss	4	47700165;47700250;47701165;47701242
12020801	m12_02	m12_02	legacy	Valiant Gargoyle (Twinblade)	4770	chr_boss	4	47700165;47700250;47701165;47701242
12020830	m12_02	m12_02	legacy	Dragonkin Soldier	4650	chr_boss	5	46500060;46500160;46500262;46500265;46500960
12020850	m12_02	m12_02	legacy	Mimic Tear	3320	chr_all	21	33200000;33200062;33200100;33200162;33200200;33200262;33200265;33201000;33201052;33201062;33201065;33201100;33201165;33202000;33202062;33202100;33202200;33202262;33209000;33209010;133201000
12030390	m12_03	m12_03	legacy	Crucible Knight Siluria	2500	chr_boss	10	25000010;25000042;25000933;25000941;25001066;25001933;25006020;25006120;25007020;25007120
12030800	m12_03	m12_03	legacy	Fia's Champion		nameid	1	523610000
12030810	m12_03	m12_03	legacy	Sorcerer Rogier		nameid	9	523250000;523250014;523250050;523250066;523250079;523250114;523250166;523250214;533250000
12030811	m12_03	m12_03	legacy	Lionel the Lionhearted		UNRESOLVED	0	
12030812	m12_03	m12_03	legacy	Fia's Champion		nameid	1	523710000
12030813	m12_03	m12_03	legacy	Fia's Champion		nameid	1	523700000
12030850	m12_03	m12_03	legacy	Lichdragon Fortissax	4510	chr_boss	1	45102030
12040800	m12_04	m12_04	legacy	Astel, Naturalborn of the Void	4620	chr_boss	3	46200062;46200952;46209152
12050800	m12_05	m12_05	legacy	Mohg, Lord of Blood	4800	chr_boss	2	48000068;48001935
12080800	m12_08	m12_08	legacy	Ancestor Spirit	4670	chr_boss	2	46700065;46700964
12090800	m12_09	m12_09	legacy	Regal Ancestor Spirit	4670	chr_boss	2	46700065;46700964
13000800	m13_00	m13_00	legacy	Maliketh, the Black Blade	2110	chr_boss	2	21100072;21101072
13000801	m13_00	m13_00	legacy	Beast Clergyman	2110	chr_boss	2	21100072;21101072
13000830	m13_00	m13_00	legacy	Dragonlord Placidusax	4520	chr_boss	1	45200072
13000850	m13_00	m13_00	legacy	Godskin Duo	3575	UNRESOLVED	0	
14000800	m14_00	m14_00	legacy	Rennala, Queen of the Full Moon	2030	chr_boss	1	20300024
14000801	m14_00	m14_00	legacy	Rennala, Queen of the Full Moon	2030	chr_boss	1	20300024
14000850	m14_00	m14_00	legacy	Red Wolf of Radagon	3181	chr_boss	2	31811024;31811032
15000800	m15_00	m15_00	legacy	Malenia, Blade of Miquella	2120	chr_boss	3	21200056;21202056;21203056
15000850	m15_00	m15_00	legacy	Loretta, Knight of the Haligtree	3252	chr_boss	2	32520054;32520921
16000800	m16_00	m16_00	legacy	Rykard, Lord of Blasphemy	4710	chr_boss	2	47100038;47101038
16000801	m16_00	m16_00	legacy	God-Devouring Serpent	4710	chr_boss	2	47100038;47101038
16000850	m16_00	m16_00	legacy	Godskin Noble	3570	chr_boss	3	35700038;35700172;35700950
16000860	m16_00	m16_00	legacy	Abductor Virgin (Swinging Sickle)	4470	chr_boss	2	44700938;44701938
16000861	m16_00	m16_00	legacy	Abductor Virgin (Wheel)	4470	chr_boss	2	44700938;44701938
18000800	m18_00	m18_00	legacy	Ulcerated Tree Spirit	4640	chr_boss	4	46400007;46400032;46400942;46400950
18000850	m18_00	m18_00	legacy	Soldier of Godrick	4311	chr_boss	1	43113906
19000800	m19_00	m19_00	legacy	Elden Beast	2200	chr_boss	1	22000078
19000810	m19_00	m19_00	legacy	Radagon of the Golden Order	2190	chr_boss	1	21900078
20000800	m20_00	m20_00	legacy	Divine Beast Dancing Lion	5210	chr_boss	2	52100088;52100094
20010800	m20_01	m20_01	legacy	Radahn, Consort of Miquella	5220	chr_boss	2	52200089;52201089
20010801	m20_01	m20_01	legacy	Promised Consort Radahn	5220	chr_boss	2	52200089;52201089
20010850	m20_01	m20_01	legacy	Needle Knight Leda		nameid	4	524180000;524180068;524180089;524180090
20010851	m20_01	m20_01	legacy	Dryleaf Dane		nameid	9	524250000;524250001;524250002;524250089;524250090;534250000;534250082;534250094;544250000
20010852	m20_01	m20_01	legacy	Redmane Freyja		nameid	5	524170000;524170080;524170089;524170099;544170000
21000850	m21_00	m21_00	legacy	Golden Hippopotamus	5010	chr_boss	1	50100098
21010800	m21_01	m21_01	legacy	Base Serpent Messmer	5130	chr_boss	2	51300099;51301099
21010801	m21_01	m21_01	legacy	Messmer the Impaler	5130	chr_boss	2	51300099;51301099
22000800	m22_00	m22_00	legacy	Putrescent Knight	5020	chr_boss	2	50200087;50200187
25000800	m25_00	m25_00	legacy	Metyr, Mother of Fingers	5200	chr_boss	1	52000097
28000800	m28_00	m28_00	legacy	Midra, Lord of Frenzied Flame	5051	chr_boss	1	50510086
30000800	m30_00	m30_00	catacomb	Cemetery Shade	3664	chr_boss	3	36640012;36640040;36640920
30010800	m30_01	m30_01	catacomb	Erdtree Burial Watchdog	4260	chr_boss	6	42600110;42600512;42600940;42601920;42601940;42602932
30020800	m30_02	m30_02	catacomb	Erdtree Burial Watchdog	4260	chr_boss	6	42600110;42600512;42600940;42601920;42601940;42602932
30030800	m30_03	m30_03	catacomb	Spiritcaller Snail	4140	chr_boss	3	41402920;41402950;41403930
30040800	m30_04	m30_04	catacomb	Grave Warden Duelist	3400	chr_boss	4	34000940;34000952;34001110;34001133
30050800	m30_05	m30_05	catacomb	Cemetery Shade	3664	chr_boss	3	36640012;36640040;36640920
30050850	m30_05	m30_05	catacomb	Black Knife Assassin	2100	chr_boss	6	21000735;21000820;21000830;21000930;21001010;21002922
30060800	m30_06	m30_06	catacomb	Erdtree Burial Watchdog	4260	chr_boss	6	42600110;42600512;42600940;42601920;42601940;42602932
30070800	m30_07	m30_07	catacomb	Erdtree Burial Watchdog	4260	chr_boss	6	42600110;42600512;42600940;42601920;42601940;42602932
30080800	m30_08	m30_08	catacomb	Ancient Hero of Zamor	7100	chr_boss	3	71000012;71000030;71000950
