# AUTO-GENERATED by tools/build_tile_grace.py -- map tile -> representative Site of Grace
# name (lowest-flag NON-arena grace on the tile, from grace_flags.tsv + grace_names.tsv;
# arena graces excluded via arena_graces.tsv). desc_sources layer 4b renders 'around <name>'.
tile	grace_name
m10_00	Castleward Tunnel
m11_00	East Capital Rampart
m11_05	Elden Throne
m11_10	Table of Lost Grace
m12_01	Dragonkin Soldier of Nokstella
m12_02	Siofra River Bank
m12_03	Root-Facing Cliffs
m12_04	Astel, Naturalborn of the Void
m12_05	Palace Approach Ledge-Road
m12_07	Siofra River Well Depths
m13_00	Crumbling Beast Grave
m14_00	Church of the Cuckoo
m15_00	Prayer Room
m16_00	Volcano Manor
m18_00	Cave of Knowledge
m19_00	Fractured Marika
m20_00	Belurat, Tower Settlement
m20_01	Gate of Divinity
m21_00	Shadow Keep Main Gate
m21_01	Storehouse, First Floor
m21_02	West Rampart
m22_00	Stone Coffin Fissure
m25_00	Finger Birthing Grounds
m28_00	Manse Hall
m30_00	Tombsward Catacombs
m30_01	Impaler's Catacombs
m30_02	Stormfoot Catacombs
m30_03	Road's End Catacombs
m30_04	Murkwater Catacombs
m30_05	Black Knife Catacombs
m30_06	Cliffbottom Catacombs
m30_07	Wyndham Catacombs
m30_08	Sainted Hero's Grave
m30_09	Gelmir Hero's Grave
m30_10	Auriza Hero's Grave
m30_11	Deathtouched Catacombs
m30_12	Unsightly Catacombs
m30_13	Auriza Side Tomb
m30_14	Minor Erdtree Catacombs
m30_15	Caelid Catacombs
m30_16	War-Dead Catacombs
m30_20	Hidden Path to the Haligtree
m31_01	Earthbore Cave
m31_03	Groveside Cave
m31_04	Stillwater Cave
m31_05	Lakeside Crystal Cave
m31_06	Academy Crystal Cave
m31_07	Seethewater Cave
m31_09	Volcano Cave
m31_10	Dragonbarrow Cave
m31_11	Sellia Hideaway
m31_12	Cave of the Forlorn
m31_15	Coastal Cave
m31_17	Highroad Cave
m31_18	Perfumer's Grotto
m31_19	Sage's Cave
m31_20	Abandoned Cave
m31_21	Gaol Cave
m32_00	Morne Tunnel
m32_05	Altus Tunnel
m32_07	Rear Gael Tunnel Entrance
m32_08	Sellia Crystal Tunnel
m34_10	Limgrave Tower Bridge
m34_11	Study Hall Entrance
m34_12	Divine Tower of West Altus
m34_13	Divine Tower of Caelid: Basement
m34_14	Divine Tower of East Altus: Gate
m34_15	Isolated Divine Tower
m35_00	Underground Roadside
m39_20	Ruin-Strewn Precipice
m40_00	Fog Rift Catacombs
m40_01	Scorpion River Catacombs
m40_02	Darklight Catacombs
m41_00	Belurat Gaol
m41_01	Bonny Gaol
m41_02	Lamenter's Gaol
m42_00	Ruined Forge Lava Intake
m42_02	Ruined Forge of Starfall Past
m42_03	Taylew's Ruined Forge
m43_00	Rivermouth Cave
m43_01	Dragon's Pit
m60_33_40	Altar South
m60_33_44	Revenger's Shack
m60_33_46	Foot of the Four Belfries
m60_33_47	The Four Belfries
m60_34_41	Moonlight Altar
m60_34_42	Village of the Albinaurics
m60_34_43	Converted Tower
m60_34_44	Temple Quarter
m60_34_46	Crystalline Woods
m60_34_47	Sorcerer's Isle
m60_34_48	Northern Liurnia Lake Shore
m60_34_49	Road to the Manor
m60_34_50	Ranni's Rise
m60_35_42	Cathedral of Manus Celes
m60_35_43	Folly on the Lake
m60_35_45	South Raya Lucaria Gate
m60_35_46	Main Academy Gate
m60_35_47	East Gate Bridge Trestle
m60_35_50	Main Caria Manor Gate
m60_35_53	Seethewater Terminus
m60_36_41	Slumbering Wolf's Shack
m60_36_43	Boilprawn Shack
m60_36_45	Gate Town North
m60_36_48	East Raya Lucaria Gate
m60_36_49	Bellum Church
m60_36_50	Behind Caria Manor
m60_36_52	Craftsman's Shack
m60_36_54	Ninth Mt. Gelmir Campsite
m60_37_42	Scenic Isle
m60_37_44	Academy Gate Town
m60_37_46	Church of Vows
m60_37_47	Raya Lucaria Crystal Tunnel
m60_37_48	Mausoleum Compound
m60_37_49	Church of Inhibition
m60_37_51	Abandoned Coffin
m60_37_52	Seethewater River
m60_37_53	Primeval Sorcerer Azur
m60_38_40	Liurnia Lake Shore
m60_38_41	Laskyar Ruins
m60_38_43	Gate Town Bridge
m60_38_45	Artist's Shack
m60_38_46	Eastern Tableland
m60_38_47	Ruined Labyrinth
m60_38_48	Frenzied Flame Village Outskirts
m60_38_50	Grand Lift of Dectus
m60_38_51	Erdtree-Gazing Hill
m60_38_53	Old Altus Tunnel
m60_38_54	First Mt. Gelmir Campsite
m60_39_40	Lake-Facing Cliffs
m60_39_41	Liurnia Highway South
m60_39_42	Liurnia Highway North
m60_39_44	Jarburg
m60_39_51	Altus Highway Junction
m60_39_53	Bridge of Iniquity
m60_39_54	Shaded Castle Ramparts
m60_40_52	Forest-Spanning Greatbridge
m60_40_53	Bower of Bounty
m60_40_54	Road of Iniquity Side Path
m60_41_32	Isolated Merchant's Shack
m60_41_33	Fourth Church of Marika
m60_41_35	Church of Dragon Communion
m60_41_38	Stormhill Shack
m60_41_52	Rampartside Path
m60_41_54	Windmill Village
m60_42_33	Tombsward Cave
m60_42_36	Church of Elleh
m60_42_37	Gatefront
m60_42_38	Warmaster's Shack
m60_42_51	Outer Wall Phantom Tree
m60_42_55	Windmill Heights
m60_43_30	Morne Moangrave
