# AUTO-GENERATED by tools/datamine_msb_item_regions.py --emit-assets.
# Treasure check flag -> its ItemLotParam lot -> the ASSET ENTITY the EMEVD
# names in EnableAssetTreasure/DisableAssetTreasure. Consumed by
# tools/datamine_lot_gates.py to resolve the treasure gate sites.
# maps=all
# SCOPE IS LOAD-BEARING: `--maps X --emit-assets` overwrites this same path
# with a ONE-MAP subset, and the consumer cannot tell that from a full run --
# every other site just reads as 'unresolved'. Same reason msb_flag_region.tsv
# carries its scope.
flag	item_lot_id	asset_entity	map_id	part_name
114	14000960	14001606	m14_00	AEG099_630_9006
60130	1042371010	1042371601	m60_42_37	AEG099_630_9001
60210	10010000	10011705	m10_01	AEG099_990_9000
60400	1045330100	1045331600	m60_45_33	AEG099_630_9001
60410	1034430100	1034431600	m60_34_43	AEG099_630_9000
60420	1035470100	1035471600	m60_35_47	AEG099_630_9000
60430	1034500100	1034501600	m60_34_50	AEG099_630_9000
60460	1052410900	1052411600	m60_52_41	AEG099_630_9000
62010	1042370200	1042371690	m60_42_37	AEG099_070_1001
62011	1044320000	1044321690	m60_44_32	AEG099_070_1000
62012	1045370020	1045371690	m60_45_37	AEG099_070_1000
62020	1038410200	1038411690	m60_38_41	AEG099_070_1000
62021	1037440210	1037441690	m60_37_44	AEG099_070_2000
62022	1034480200	1034481690	m60_34_48	AEG099_070_1000
62030	1040520500	1040521690	m60_40_52	AEG099_070_9000
62031	1042510500	1042511690	m60_42_51	AEG099_070_9000
62032	1036540500	1036541690	m60_36_54	AEG099_070_9000
62040	1049370500	1049371690	m60_49_37	AEG099_070_2000
62041	1049400500	1049401690	m60_49_40	AEG099_070_2000
62050	1049530700	1049531690	m60_49_53	AEG099_072_1000
62051	1052540700	1052541690	m60_52_54	AEG099_072_1000
62052	1048560700	1048561690	m60_48_56	AEG099_072_1000
62080	2047410900	2047411690	m61_47_41	AEG052_775_1000
62081	2048450500	2048451690	m61_48_45	AEG052_775_1000
62082	2048370040	2048371690	m61_48_37	AEG052_775_3000
62084	2052410600	2052411690	m61_52_41	AEG052_775_1000
66410	14000900	14001600	m14_00	AEG099_630_9000
66780	31180000	31181520	m31_18	AEG099_630_9000
67410	1038400010	1038400000	m60_38_40	AEG099_620_9001
67420	14000950	14001605	m14_00	AEG099_630_9005
67480	1038420100	1038421600	m60_38_42	AEG099_630_9000
67890	12010020	12011673	m12_01	AEG099_630_9001
68780	40010900	40011650	m40_01	AEG099_630_9000
580300	80300	1043361610	m60_43_36	AEG099_090_9006
580310	80310	1036501610	m60_36_50	AEG099_990_9000
580320	80320	1041521310	m60_41_52	AEG099_990_9000
580330	80330	1050561551	m60_50_56	AEG099_990_9001
580340	80340	1042351610	m60_42_35	AEG099_990_9000
580350	80350	1042541410	m60_42_54	AEG099_990_9000
580360	80360	1051401501	m60_51_40	AEG099_990_9000
580400	80400	2045431560	m61_45_43	AEG099_090_9000
580410	80410	2046451560	m61_46_45	AEG099_090_9003
580420	80420	2053391501	m61_53_39	AEG099_090_9000
580600	80600	20001600	m20_00	AEG099_990_9012
580600	80600	21011600	m21_01	AEG099_990_9004
580600	80600	22001622	m22_00	AEG099_090_9024
580600	80600	2045421602	m61_45_42	AEG099_090_9002
580600	80600	2046421602	m61_46_42	AEG099_090_9002
580600	80600	2046471500	m61_46_47	AEG099_090_9004
580600	80600	2047441600	m61_47_44	AEG099_090_9008
580600	80600	2048371502	m61_48_37	AEG099_090_9002
580600	80600	2048431602	m61_48_43	AEG099_090_9002
580600	80600	2048451500	m61_48_45	AEG099_090_9003
580600	80600	2049441500	m61_49_44	AEG099_090_9001
580600	80600	2050431500	m61_50_43	AEG099_090_9001
10007780	10000780	10001698	m10_00	AEG099_635_9000
10007960	10000960	10001250	m10_00	AEG099_630_9000
10007970	10000970	10001251	m10_00	AEG099_630_9001
10007990	10000990	10001253	m10_00	AEG099_630_9003
10017900	10010900	10011600	m10_01	AEG099_630_9000
11007850	11050850	11051721	m11_05	AEG099_620_9000
11107700	11100700	11101670	m11_10	AEG099_630_9000
11107710	11100710	11101671	m11_10	AEG099_630_9001
12017090	12010090	12011699	m12_01	AEG099_600_9000
12017690	12010690	12011680	m12_01	AEG099_631_9007
12017700	12010700	12011681	m12_01	AEG099_631_9008
12017910	12010910	12011671	m12_01	AEG099_631_9000
12017920	12010920	12011672	m12_01	AEG099_630_9002
12017940	12010940	12011682	m12_01	AEG099_631_9001
12017950	12010950	12011675	m12_01	AEG099_631_9002
12017960	12010960	12011676	m12_01	AEG099_631_9003
12017970	12010970	12011677	m12_01	AEG099_631_9004
12017980	12010980	12011678	m12_01	AEG099_631_9005
12017990	12010990	12011679	m12_01	AEG099_631_9006
12027080	12020080	12021701	m12_02	AEG099_631_9000
14007880	14000880	14001603	m14_00	AEG099_630_9003
14007910	14000910	14001601	m14_00	AEG099_630_9001
14007920	14000920	14001602	m14_00	AEG099_630_9002
14007940	14000940	14001604	m14_00	AEG099_630_9004
15007350	15000350	15001560	m15_00	AEG099_630_9000
15007460	15000460	15001561	m15_00	AEG099_630_9001
15007560	15000560	15001565	m15_00	AEG099_630_9005
15007580	15000580	15001562	m15_00	AEG099_630_9002
15007590	15000590	15001566	m15_00	AEG099_630_9006
15007840	15000840	15001721	m15_00	AEG099_620_9084
15007860	15000860	15001567	m15_00	AEG099_630_9007
15007930	15000930	15001564	m15_00	AEG099_630_9004
16007710	16000710	16001681	m16_00	AEG099_990_9001
20007810	20000810	20001811	m20_00	AEG099_990_9007
21007320	21000320	21001509	m21_00	AEG463_610_9032
21017120	21010120	21011509	m21_01	AEG099_990_9002
30037010	30030010	30031520	m30_03	AEG099_630_9000
30057030	30050030	30051670	m30_05	AEG099_630_9000
30097000	30090000	30091670	m30_09	AEG099_630_9000
30097010	30090010	30091200	m30_09	AEG099_630_9001
30117000	30110000	30111670	m30_11	AEG099_630_9000
30187900	30180900	30181671	m30_18	AEG099_630_9001
30207900	30200900	30201670	m30_20	AEG099_630_9000
30207910	30200910	30201671	m30_20	AEG099_630_9001
31007000	31000000	31001520	m31_00	AEG099_630_9000
31007010	31000010	31001521	m31_00	AEG099_630_9001
31007030	31000030	31001523	m31_00	AEG099_630_9002
31017060	31010100	31011520	m31_01	AEG099_633_9010
31057070	31050070	31051521	m31_05	AEG099_633_9000
31057100	31050100	31051600	m31_05	AEG099_630_9000
31067030	31060110	31061522	m31_06	AEG099_630_9001
31067100	31060100	31061520	m31_06	AEG099_630_9000
31117200	31110200	31111521	m31_11	AEG099_630_9020
31117220	31110220	31111520	m31_11	AEG099_630_9022
31187020	31180020	31181522	m31_18	AEG099_630_9002
31197000	31190000	31191500	m31_19	AEG099_630_9000
31197010	31190010	31191501	m31_19	AEG099_630_9001
31197030	31190030	31191503	m31_19	AEG099_630_9003
31197040	31190040	31191504	m31_19	AEG099_630_9004
31197050	31190050	31191505	m31_19	AEG099_630_9005
31197060	31190060	31191506	m31_19	AEG099_630_9006
31197080	31190080	31191508	m31_19	AEG099_630_9008
31197090	31190090	31191509	m31_19	AEG099_630_9009
31197100	31190100	31191510	m31_19	AEG099_630_9010
31197110	31190110	31191511	m31_19	AEG099_630_9011
31197120	31190120	31191512	m31_19	AEG099_630_9012
31197130	31190130	31191513	m31_19	AEG099_630_9013
31217200	31210200	31211680	m31_21	AEG099_630_9030
31217400	31210400	31211690	m31_21	AEG099_633_9040
32007900	32000900	32001600	m32_00	AEG099_630_9000
32027000	32020000	32021691	m32_02	AEG099_633_9000
32027900	32020900	32021690	m32_02	AEG099_630_9000
32057910	32050910	32051691	m32_05	AEG099_633_9000
34127130	34120130	34121650	m34_12	AEG099_635_9000
34137900	34130900	34131600	m34_13	AEG099_630_9000
35007000	35000000	35001606	m35_00	AEG099_610_9000
35007000	35000000	35001607	m35_00	AEG099_610_9031
35007700	35000700	35001830	m35_00	AEG099_630_9000
43007020	43000020	43001510	m43_00	AEG463_625_9002
1033407100	1033400100	1033401600	m60_33_40	AEG099_630_9000
1033447000	1033440000	1033441702	m60_33_44	AEG099_610_9000
