# AUTO-GENERATED by tools/datamine_treasure_enablers.py -- DO NOT EDIT, re-emit.
# What enables each StartDisabled=1 live AP check, joined EMEVD -> entity id.
# 🛑 READ THE TOOL'S DOCSTRING BEFORE USING THIS AS A RISK LIST. StartDisabled=1 is
#   a property of the CONTAINER, not an access gate: 162 of 163 such records are
#   InChest>=1, and only 1 of 3113 loose pickups is StartDisabled (0.03%).
# verdict NO_ENTITY_HANDLE = both entity ids are 0, so NO event can ever address
#   this treasure. It is not 'unexplained gating'; it is proof of no gating.
# gate_kind is a HINT from construct vocabulary. POLARITY IS NOT ENCODED:
#   AssetDestroyed(x) = break it where it stands, NOT a cross-region prerequisite;
#   EndIf(EventFlag(p)) is a bail-out with INVERTED sense. Read gate_verbatim.
# self_set_flags: flags the enabling event SETS ITSELF. A gate flag listed here is
#   a MEMO ('already done'), NOT a prerequisite -- do not build an access rule on
#   it. `> ` in gate_verbatim marks a condition BELOW the enable call.
# external_gate_flags: gate flags that are NOT self-set and NOT this check's own
#   acquisition flag. external_flag_set_in names every map whose script SETS them,
#   which is what decides same-region vs cross-region. `-` = nothing sets it.
# MEASURED THIS RUN: 155 live rows / 136 distinct checks; ENABLER_FOUND=21 NO_ENABLER=68 NO_ENTITY_HANDLE=66
flag	map_id	item_lot_id	in_chest	asset_model	verdict	entity_id_used	key_space	verb	via	enabler_event	enabler_file	call_file	gate_kind	self_set_flags	external_gate_flags	external_flag_set_in	gate_verbatim
10007780	m10_00_00_00	10000780	2	AEG099_635	ENABLER_FOUND	10001698	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m10_00_00_00.emevd.dcx.js	in_place_destroy+event_flag	10000698			if (EventFlag(10000698)) { ;; > WaitFor(AssetDestroyed(10001698));
10007960	m10_00_00_00	10000960	1	AEG099_630	NO_ENABLER	10001250	asset										
10007965	m10_00_00_00	10000965	1	AEG099_630	NO_ENTITY_HANDLE												
10007970	m10_00_00_00	10000970	1	AEG099_630	NO_ENABLER	10001251	asset										
10007975	m10_00_00_00	10000975	1	AEG099_630	NO_ENTITY_HANDLE												
10007990	m10_00_00_00	10000990	1	AEG099_630	NO_ENABLER	10001253	asset										
10017900	m10_01_00_00	10010900	1	AEG099_630	NO_ENABLER	10011600	asset										
1033477900	m60_33_47_00	1033470900	1	AEG099_630	NO_ENTITY_HANDLE												
1033477910	m60_33_47_00	1033470910	1	AEG099_630	NO_ENTITY_HANDLE												
1034437300	m60_34_43_00	1034430300	2	AEG099_090	NO_ENTITY_HANDLE												
1034447900	m60_34_44_00	1034440900	1	AEG099_630	NO_ENTITY_HANDLE												
1034517900	m60_34_51_00	1034510900	1	AEG099_630	NO_ENTITY_HANDLE												
1035507900	m60_35_50_00	1035500900	1	AEG099_630	NO_ENABLER	1035501620	asset										
1036527000	m60_36_52_00	1036520000	2	AEG099_635	ENABLER_FOUND	1036521200	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m60_36_52_00.emevd.dcx.js	in_place_destroy+event_flag	1036520205			if (EventFlag(1036520205)) { ;; > WaitFor(AssetDestroyed(1036521200));
1037427900	m60_37_42_00	1037420900	1	AEG099_630	NO_ENABLER	1037421600	asset										
1038497900	m60_38_49_00	1038490900	1	AEG099_630	NO_ENABLER	1038491610	asset										
1038517030	m60_09_12_02	1038510030	1	AEG100_101	NO_ENTITY_HANDLE												
1038517090	m60_09_12_02	1038510090	1	AEG100_101	NO_ENTITY_HANDLE												
1038527000	m60_38_52_00	1038520000	1	AEG099_630	NO_ENTITY_HANDLE												
1039537050	m60_39_53_00	1039530050	1	AEG099_630	ENABLER_FOUND	1039533501	treasure_event	EnableAssetTreasure	literal	1039532400	m60_39_53_00.emevd.dcx.js		in_place_proximity+event_flag	1039530510	1039520655,1039530655,1040530655	m60_39_52_00,m60_39_53_00,m60_40_53_00	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));
1039537060	m60_39_53_00	1039530060	0	AEG099_620	ENABLER_FOUND	1039533502	treasure_event	EnableAssetTreasure	literal	1039532400	m60_39_53_00.emevd.dcx.js		in_place_proximity+event_flag	1039530510	1039520655,1039530655,1040530655	m60_39_52_00,m60_39_53_00,m60_40_53_00	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));
1039547300	m60_39_54_00	1039540300	1	AEG099_630	NO_ENABLER	1039541270	asset										
1040407000	m60_10_10_02	1040400000	1	AEG100_101	ENABLER_FOUND	1040401500	asset	EnableAssetTreasure	param	90005422	common_func.emevd.dcx.js	m60_40_40_00.emevd.dcx.js	in_place_destroy+in_place_objact+event_flag		1040403500,1040408500	-	if (EventFlag(1040408500)) { ;; > WaitFor( (PlayerIsInOwnWorld() && ObjActEventFlag(1040403500)) || AssetDestroyed(1040401500));
1040537010	m60_40_53_00	1040530010	1	AEG099_630	NO_ENTITY_HANDLE												
1042377060	m60_10_09_02	942370060	1	AEG100_101	NO_ENABLER	1042371506	asset										
1042377070	m60_10_09_02	942370070	1	AEG100_101	NO_ENABLER	1042371501	asset										
1042377300	m60_42_37_00	1042371300	1	AEG099_630	NO_ENABLER	1042371600	asset										
1042387600	m60_42_38_00	1042380600	2	AEG099_635	ENABLER_FOUND	1042381600	asset	EnableAssetTreasure	param	90005560	common_func.emevd.dcx.js	m60_42_38_00.emevd.dcx.js	in_place_destroy+event_flag	1042380600			if (EventFlag(1042380600)) { ;; > WaitFor(AssetDestroyed(1042381600));
1042397900	m60_42_39_00	1042390900	1	AEG099_630	NO_ENTITY_HANDLE												
