flag,flag_source,item_name,region,method,confidence
172,map_lot,Radahn's Great Rune,Caelid (Redmane Castle),boss_arena,high
174,map_lot,Rykard's Great Rune,Volcano Manor,boss_arena,high
175,map_lot,Mohg's Great Rune,Mohgwyn Palace,boss_arena,high
176,map_lot,Malenia's Great Rune,Miquella's Haligtree & Elphael,boss_arena,high
177,synthetic,FA/TFB: Golden Rune [12] - to SW up right stairs outside,Crumbling Farum Azula,synthetic_areacode,med
6700,map_lot,Flask of Wondrous Physick,Global / Common-event (unplaced),global,low
60140,map_lot,Tailoring Tools,Global / Common-event (unplaced),global,low
60150,map_lot,Golden Tailoring Tools,Global / Common-event (unplaced),global,low
60220,map_lot,Tarnished's Furled Finger,Global / Common-event (unplaced),global,low
60230,map_lot,Small Golden Effigy,Global / Common-event (unplaced),global,low
60250,map_lot,Small Red Effigy,Global / Common-event (unplaced),global,low
60270,map_lot,Bloody Finger,Global / Common-event (unplaced),global,low
60280,map_lot,White Cipher Ring,Global / Common-event (unplaced),global,low
60290,shop,Blue Cipher Ring,Roundtable Hold,shop_merchant,high
60310,map_lot,Finger Severer,Global / Common-event (unplaced),global,low
60440,map_lot,Memory Stone,Global / Common-event (unplaced),global,low
62012,map_lot,"Map: Limgrave, East",Global / Common-event (unplaced),global,low
62080,map_lot,Map: Gravesite Plain,Global / Common-event (unplaced),global,low
65000,map_lot,Crimsonspill Crystal Tear,Global / Common-event (unplaced),global,low
65010,map_lot,Greenspill Crystal Tear,Global / Common-event (unplaced),global,low
65020,map_lot,Crimson Crystal Tear,Global / Common-event (unplaced),global,low
65050,map_lot,Cerulean Crystal Tear,Global / Common-event (unplaced),global,low
65070,map_lot,Crimson Bubbletear,Global / Common-event (unplaced),global,low
65080,map_lot,Opaline Bubbletear,Global / Common-event (unplaced),global,low
65110,map_lot,Opaline Hardtear,Global / Common-event (unplaced),global,low
65130,map_lot,Thorny Cracked Tear,Global / Common-event (unplaced),global,low
65140,map_lot,Spiked Cracked Tear,Global / Common-event (unplaced),global,low
65160,map_lot,Ruptured Crystal Tear,Global / Common-event (unplaced),global,low
65170,map_lot,Ruptured Crystal Tear,Global / Common-event (unplaced),global,low
65210,map_lot,Strength-knot Crystal Tear,Global / Common-event (unplaced),global,low
65220,map_lot,Dexterity-knot Crystal Tear,Global / Common-event (unplaced),global,low
65230,map_lot,Intelligence-knot Crystal Tear,Global / Common-event (unplaced),global,low
65250,map_lot,Cerulean Hidden Tear,Global / Common-event (unplaced),global,low
65260,map_lot,Stonebarb Cracked Tear,Global / Common-event (unplaced),global,low
65280,map_lot,Flame-Shrouding Cracked Tear,Global / Common-event (unplaced),global,low
65300,map_lot,Lightning-Shrouding Cracked Tear,Global / Common-event (unplaced),global,low
65310,map_lot,Holy-Shrouding Cracked Tear,Global / Common-event (unplaced),global,low
65400,map_lot,Viridian Hidden Tear,Global / Common-event (unplaced),global,low
65410,map_lot,Crimsonburst Dried Tear,Global / Common-event (unplaced),global,low
65420,map_lot,Crimson-Sapping Cracked Tear,Global / Common-event (unplaced),global,low
65430,map_lot,Cerulean-Sapping Cracked Tear,Global / Common-event (unplaced),global,low
65440,map_lot,Oil-Soaked Tear,Global / Common-event (unplaced),global,low
65450,map_lot,Bloodsucking Cracked Tear,Global / Common-event (unplaced),global,low
65460,map_lot,Glovewort Crystal Tear,Global / Common-event (unplaced),global,low
65470,map_lot,Deflecting Hardtear,Global / Common-event (unplaced),global,low
66000,map_lot,Cracked Pot,Global / Common-event (unplaced),global,low
