ap_id,flag,flag_source,category,item_id,item_name,region,crafting_material,filler,synthetic,in_matt_set
7000000,114,map_lot,goods,8121,Dark Moon Ring,region_misc,0,0,0,1
7000001,171,map_lot,goods,8148,Godrick's Great Rune,region_misc,0,0,0,1
7000002,172,map_lot,goods,8149,Radahn's Great Rune,region_misc,0,0,0,1
7000003,173,map_lot,goods,8150,Morgott's Great Rune,region_misc,0,0,0,1
7000004,174,map_lot,goods,8151,Rykard's Great Rune,region_misc,0,0,0,1
7000005,175,map_lot,goods,8152,Mohg's Great Rune,region_misc,0,0,0,1
7000006,176,map_lot,goods,8153,Malenia's Great Rune,region_misc,0,0,0,1
7000007,177,synthetic,synthetic,,FA/TFB: Golden Rune [12] - to SW up right stairs outside,region_misc,0,0,1,1
7000008,191,map_lot,goods,191,Godrick's Great Rune,region_misc,0,0,0,0
7000009,192,map_lot,goods,192,Radahn's Great Rune,region_misc,0,0,0,0
7000010,193,map_lot,goods,193,Morgott's Great Rune,region_misc,0,0,0,0
7000011,194,map_lot,goods,194,Rykard's Great Rune,region_misc,0,0,0,0
7000012,195,map_lot,goods,195,Mohg's Great Rune,region_misc,0,0,0,0
7000013,196,map_lot,goods,196,Malenia's Great Rune,region_misc,0,0,0,0
7000014,197,map_lot,goods,2959,Remembrance of the Full Moon Queen,region_misc,0,0,0,1
7000015,6700,map_lot,goods,251,Flask of Wondrous Physick,region_misc,0,0,0,0
7000016,9500,map_lot,goods,8182,Mending Rune of Perfect Order,region_misc,0,0,0,1
7000017,9502,map_lot,goods,8183,Mending Rune of the Death-Prince,region_misc,0,0,0,1
7000018,9504,map_lot,goods,8184,Mending Rune of the Fell Curse,region_misc,0,0,0,1
7000019,9800,map_lot,goods,12302,,region_misc,0,0,0,0
7000020,9810,map_lot,goods,12307,,region_misc,0,0,0,0
7000021,60000,map_lot,goods,1001,Flask of Crimson Tears,region_misc,0,0,0,0
7000022,60020,map_lot,goods,250,Flask of Wondrous Physick,region_misc,0,0,0,0
7000023,60100,map_lot,goods,130,Spectral Steed Whistle,region_misc,0,0,0,0
7000024,60110,map_lot,goods,8158,Spirit Calling Bell,region_misc,0,0,0,0
7000025,60120,shop,shop,8500,Crafting Kit,region_misc,0,0,0,0
7000026,60130,map_lot,goods,8590,Whetstone Knife,region_misc,0,0,0,0
7000027,60140,map_lot,goods,8163,Tailoring Tools,region_misc,0,0,0,1
7000028,60150,map_lot,goods,8188,Golden Tailoring Tools,region_misc,0,0,0,1
7000029,60210,map_lot,goods,106,Tarnished's Wizened Finger,region_misc,0,0,0,0
7000030,60220,map_lot,goods,100,Tarnished's Furled Finger,region_misc,0,0,0,1
7000031,60230,map_lot,goods,109,Small Golden Effigy,region_misc,0,0,0,0
7000032,60240,map_lot,goods,101,Duelist's Furled Finger,region_misc,0,0,0,1
7000033,60250,map_lot,goods,110,Small Red Effigy,region_misc,0,0,0,1
7000034,60260,map_lot,goods,112,Recusant Finger,region_misc,0,0,0,1
7000035,60270,map_lot,goods,102,Bloody Finger,region_misc,0,0,0,1
7000036,60280,map_lot,goods,104,White Cipher Ring,region_misc,0,0,0,0
7000037,60290,shop,shop,105,Blue Cipher Ring,region_misc,0,0,0,0
7000038,60300,map_lot,goods,108,Taunter's Tongue,region_misc,0,0,0,1
7000039,60310,map_lot,goods,103,Finger Severer,region_misc,0,0,0,1
7000040,60400,map_lot,goods,10030,Memory Stone,region_misc,0,0,0,1
7000041,60410,map_lot,goods,10030,Memory Stone,region_misc,0,0,0,1
7000042,60420,map_lot,goods,10030,Memory Stone,region_misc,0,0,0,1
7000043,60430,map_lot,goods,10030,Memory Stone,region_misc,0,0,0,1
7000044,60440,map_lot,goods,10030,Memory Stone,region_misc,0,0,0,1
7000045,60450,map_lot,goods,10030,Memory Stone,region_misc,0,0,0,1
7000046,60460,map_lot,goods,10030,Memory Stone,region_misc,0,0,0,1
7000047,60470,shop,shop,10030,Memory Stone,region_misc,0,0,0,0
7000048,60500,map_lot,goods,10040,Talisman Pouch,region_misc,0,0,0,0
7000049,60510,map_lot,goods,10040,Talisman Pouch,region_misc,0,0,0,1
7000050,60520,map_lot,goods,10040,Talisman Pouch,region_misc,0,0,0,1
7000051,62010,map_lot,goods,8600,"Map: Limgrave, West",region_misc,0,0,0,1
7000052,62011,map_lot,goods,8601,Map: Weeping Peninsula,region_misc,0,0,0,1
7000053,62012,map_lot,goods,8602,"Map: Limgrave, East",region_misc,0,0,0,1
7000054,62020,map_lot,goods,8603,"Map: Liurnia, East",region_misc,0,0,0,1
7000055,62021,map_lot,goods,8604,"Map: Liurnia, North",region_misc,0,0,0,1
7000056,62022,map_lot,goods,8605,"Map: Liurnia, West",region_misc,0,0,0,1
7000057,62030,map_lot,goods,8606,Map: Altus Plateau,region_misc,0,0,0,1
7000058,62031,map_lot,goods,8607,"Map: Leyndell, Royal Capital",region_misc,0,0,0,1
7000059,62032,map_lot,goods,8608,Map: Mt. Gelmir,region_misc,0,0,0,1
7000060,62040,map_lot,goods,8609,Map: Caelid,region_misc,0,0,0,1
7000061,62041,map_lot,goods,8610,Map: Dragonbarrow,region_misc,0,0,0,1
7000062,62050,map_lot,goods,8611,"Map: Mountaintops of the Giants, West",region_misc,0,0,0,1
7000063,62051,map_lot,goods,8612,"Map: Mountaintops of the Giants, East",region_misc,0,0,0,1
7000064,62052,map_lot,goods,8618,Map: Consecrated Snowfield,region_misc,0,0,0,1
7000065,62060,map_lot,goods,8613,Map: Ainsel River,region_misc,0,0,0,1
7000066,62061,map_lot,goods,8614,Map: Lake of Rot,region_misc,0,0,0,1
7000067,62062,map_lot,goods,8616,Map: Mohgwyn Palace,region_misc,0,0,0,1
7000068,62063,map_lot,goods,8615,Map: Siofra River,region_misc,0,0,0,1
7000069,62064,map_lot,goods,8617,Map: Deeproot Depths,region_misc,0,0,0,1
7000070,62080,map_lot,goods,2008600,Map: Gravesite Plain,region_misc,0,0,0,1
7000071,62081,map_lot,goods,2008601,Map: Scadu Altus,region_misc,0,0,0,1
7000072,62082,map_lot,goods,2008602,Map: Southern Shore,region_misc,0,0,0,1
7000073,62083,map_lot,goods,2008603,Map: Rauh Ruins,region_misc,0,0,0,1
7000074,62084,map_lot,goods,2008604,Map: Abyss,region_misc,0,0,0,1
7000075,65000,map_lot,goods,11000,Crimsonspill Crystal Tear,region_misc,0,0,0,1
7000076,65010,map_lot,goods,11001,Greenspill Crystal Tear,region_misc,0,0,0,1
7000077,65020,map_lot,goods,11002,Crimson Crystal Tear,region_misc,0,0,0,1
7000078,65030,map_lot,goods,11003,Crimson Crystal Tear,region_misc,0,0,0,1
7000079,65040,map_lot,goods,11004,Cerulean Crystal Tear,region_misc,0,0,0,1
7000080,65050,map_lot,goods,11005,Cerulean Crystal Tear,region_misc,0,0,0,1
7000081,65060,map_lot,goods,11006,Speckled Hardtear,region_misc,0,0,0,1
7000082,65070,map_lot,goods,11007,Crimson Bubbletear,region_misc,0,0,0,1
7000083,65080,map_lot,goods,11008,Opaline Bubbletear,region_misc,0,0,0,1
7000084,65090,map_lot,goods,11009,Crimsonburst Crystal Tear,region_misc,0,0,0,1
7000085,65100,map_lot,goods,11010,Greenburst Crystal Tear,region_misc,0,0,0,1
7000086,65110,map_lot,goods,11011,Opaline Hardtear,region_misc,0,0,0,1
7000087,65120,map_lot,goods,11012,Winged Crystal Tear,region_misc,0,0,0,1
7000088,65130,map_lot,goods,11013,Thorny Cracked Tear,region_misc,0,0,0,1
7000089,65140,map_lot,goods,11014,Spiked Cracked Tear,region_misc,0,0,0,1
7000090,65150,map_lot,goods,11015,Windy Crystal Tear,region_misc,0,0,0,1
7000091,65160,map_lot,goods,11016,Ruptured Crystal Tear,region_misc,0,0,0,1
7000092,65170,map_lot,goods,11017,Ruptured Crystal Tear,region_misc,0,0,0,1
7000093,65180,map_lot,goods,11018,Leaden Hardtear,region_misc,0,0,0,1
7000094,65190,map_lot,goods,11019,Twiggy Cracked Tear,region_misc,0,0,0,1
7000095,65200,map_lot,goods,11020,Crimsonwhorl Bubbletear,region_misc,0,0,0,1
7000096,65210,map_lot,goods,11021,Strength-knot Crystal Tear,region_misc,0,0,0,1
7000097,65220,map_lot,goods,11022,Dexterity-knot Crystal Tear,region_misc,0,0,0,1
7000098,65230,map_lot,goods,11023,Intelligence-knot Crystal Tear,region_misc,0,0,0,1
7000099,65240,map_lot,goods,11024,Faith-knot Crystal Tear,region_misc,0,0,0,1
7000100,65250,map_lot,goods,11025,Cerulean Hidden Tear,region_misc,0,0,0,1
7000101,65260,map_lot,goods,11026,Stonebarb Cracked Tear,region_misc,0,0,0,1
7000102,65270,map_lot,goods,11027,Purifying Crystal Tear,region_misc,0,0,0,1
7000103,65280,map_lot,goods,11028,Flame-Shrouding Cracked Tear,region_misc,0,0,0,1
7000104,65290,map_lot,goods,11029,Magic-Shrouding Cracked Tear,region_misc,0,0,0,1
7000105,65300,map_lot,goods,11030,Lightning-Shrouding Cracked Tear,region_misc,0,0,0,1
7000106,65310,map_lot,goods,11031,Holy-Shrouding Cracked Tear,region_misc,0,0,0,1
7000107,65400,map_lot,goods,2011000,Viridian Hidden Tear,region_misc,0,0,0,1
7000108,65410,map_lot,goods,2011010,Crimsonburst Dried Tear,region_misc,0,0,0,1
7000109,65420,map_lot,goods,2011020,Crimson-Sapping Cracked Tear,region_misc,0,0,0,1
7000110,65430,map_lot,goods,2011030,Cerulean-Sapping Cracked Tear,region_misc,0,0,0,1
7000111,65440,map_lot,goods,2011040,Oil-Soaked Tear,region_misc,0,0,0,1
7000112,65450,map_lot,goods,2011050,Bloodsucking Cracked Tear,region_misc,0,0,0,1
7000113,65460,map_lot,goods,2011060,Glovewort Crystal Tear,region_misc,0,0,0,1
7000114,65470,map_lot,goods,2011070,Deflecting Hardtear,region_misc,0,0,0,1
7000115,65610,map_lot,goods,8970,Iron Whetblade,region_misc,0,0,0,1
7000116,65640,map_lot,goods,8971,Red-Hot Whetblade,region_misc,0,0,0,1
7000117,65660,map_lot,goods,8972,Sanctified Whetblade,region_misc,0,0,0,1
7000118,65680,map_lot,goods,8973,Glintstone Whetblade,region_misc,0,0,0,1
7000119,65720,map_lot,goods,8974,Black Whetblade,region_misc,0,0,0,1
7000120,66000,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000121,66010,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000122,66020,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000123,66030,shop,shop,9500,Cracked Pot,region_misc,0,0,0,0
7000124,66060,shop,shop,9500,Cracked Pot,region_misc,0,0,0,0
7000125,66070,shop,shop,9500,Cracked Pot,region_misc,0,0,0,0
7000126,66080,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000127,66090,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000128,66100,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000129,66110,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000130,66120,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000131,66130,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000132,66140,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000133,66150,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000134,66160,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000135,66170,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000136,66180,shop,shop,9500,Cracked Pot,region_misc,0,0,0,0
7000137,66190,map_lot,goods,9500,Cracked Pot,region_misc,0,0,0,1
7000138,66400,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000139,66410,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000140,66420,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000141,66430,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000142,66440,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000143,66450,shop,shop,9501,Ritual Pot,region_misc,0,0,0,0
7000144,66460,shop,shop,9501,Ritual Pot,region_misc,0,0,0,0
7000145,66470,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000146,66480,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000147,66490,map_lot,goods,9501,Ritual Pot,region_misc,0,0,0,1
7000148,66700,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000149,66710,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000150,66720,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000151,66730,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000152,66740,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000153,66750,shop,shop,9510,Perfume Bottle,region_misc,0,0,0,0
7000154,66760,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000155,66770,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000156,66780,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000157,66790,map_lot,goods,9510,Perfume Bottle,region_misc,0,0,0,1
7000158,66900,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000159,66910,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000160,66920,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000161,66930,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000162,66940,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000163,66950,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000164,66960,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000165,66970,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000166,66980,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000167,66990,map_lot,goods,2009500,Hefty Cracked Pot,region_misc,0,0,0,1
7000168,67000,shop,shop,9300,Nomadic Warrior's Cookbook [1],region_misc,0,0,0,0
7000169,67010,shop,shop,9301,Nomadic Warrior's Cookbook [3],region_misc,0,0,0,0
7000170,67020,map_lot,goods,9302,Nomadic Warrior's Cookbook [6],region_misc,0,0,0,1
7000171,67030,map_lot,goods,9303,Nomadic Warrior's Cookbook [10],region_misc,0,0,0,1
7000172,67050,map_lot,goods,9305,Nomadic Warrior's Cookbook [7],region_misc,0,0,0,1
7000173,67060,map_lot,goods,9306,Nomadic Warrior's Cookbook [12],region_misc,0,0,0,1
7000174,67070,map_lot,goods,9307,Nomadic Warrior's Cookbook [19],region_misc,0,0,0,1
7000175,67080,shop,shop,9308,Nomadic Warrior's Cookbook [13],region_misc,0,0,0,0
7000176,67090,map_lot,goods,9309,Nomadic Warrior's Cookbook [23],region_misc,0,0,0,1
7000177,67100,shop,shop,9310,Nomadic Warrior's Cookbook [17],region_misc,0,0,0,0
7000178,67110,shop,shop,9311,Nomadic Warrior's Cookbook [2],region_misc,0,0,0,0
7000179,67120,map_lot,goods,9312,Nomadic Warrior's Cookbook [21],region_misc,0,0,0,1
7000180,67130,map_lot,goods,9313,Missionary's Cookbook [6],region_misc,0,0,0,1
7000181,67200,map_lot,goods,9320,Armorer's Cookbook [1],region_misc,0,0,0,1
7000182,67210,shop,shop,9321,Armorer's Cookbook [2],region_misc,0,0,0,0
