flag,map,region,method
114,m14_00_00_00,Raya Lucaria Academy,treasure
171,m10_01_00_00,Stormveil Castle,emevd
173,m13_00_00_00,Crumbling Farum Azula,emevd
191,m34_10_00_00,DLC Dungeon,emevd
192,m34_13_00_00,DLC Dungeon,emevd
193,m34_14_00_00,DLC Dungeon,emevd
194,m34_12_00_00,DLC Dungeon,emevd
195,m34_14_00_00,DLC Dungeon,emevd
196,m34_15_00_00,DLC Dungeon,emevd
197,m10_00_00_00,Stormveil Castle,emevd
9500,m11_05_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
9502,m12_03_00_00,Eternal Cities & Underground Rivers,treasure
9504,m35_00_00_00,Divine Tower,treasure
9800,m11_00_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
9810,m15_00_00_00,Miquella's Haligtree & Elphael,emevd
60000,m10_00_00_00,Stormveil Castle,emevd
60020,m60_46_38_00,Overworld m60_46_38_00,treasure
60100,m42_01_00_00,DLC Legacy Dungeon,emevd
60110,m60_42_36_00,Overworld m60_42_36_00,emevd
60120,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
60130,m60_42_37_00,Overworld m60_42_37_00,treasure
60210,m10_01_00_00,Stormveil Castle,emevd
60240,m60_42_40_00,Overworld m60_42_40_00,treasure
60260,m16_00_00_00,Volcano Manor / Mt. Gelmir,treasure
60300,m11_10_00_00,Leyndell / Roundtable / Shunning-Grounds,emevd
60400,m60_45_33_00,Overworld m60_45_33_00,treasure
60410,m60_34_43_00,Overworld m60_34_43_00,treasure
60420,m60_35_47_00,Overworld m60_35_47_00,treasure
60430,m60_34_50_00,Overworld m60_34_50_00,treasure
60450,m60_37_53_00,Overworld m60_37_53_00,emevd
60460,m60_52_41_00,Overworld m60_52_41_00,treasure
60470,m60_35_45_00,Overworld m60_35_45_00,emevd
60500,m30_00_00_00,Hero's Graves (Catacombs),emevd
60510,m10_00_00_00,Stormveil Castle,emevd
60520,m34_13_00_00,DLC Dungeon,emevd
62010,m60_42_37_00,Overworld m60_42_37_00,treasure
62011,m60_44_32_00,Overworld m60_44_32_00,treasure
62020,m60_38_41_00,Overworld m60_38_41_00,treasure
62021,m60_37_44_00,Overworld m60_37_44_00,treasure
62022,m60_34_48_00,Overworld m60_34_48_00,treasure
62030,m60_40_52_00,Overworld m60_40_52_00,emevd
62031,m60_42_51_00,Overworld m60_42_51_00,treasure
62032,m60_36_54_00,Overworld m60_36_54_00,treasure
62040,m60_49_37_00,Overworld m60_49_37_00,treasure
62041,m60_49_40_00,Overworld m60_49_40_00,treasure
62050,m60_49_53_00,Overworld m60_49_53_00,treasure
