flag,item_name,assigned_region,method,flag_source
2045417950,Bloodfiend's Arm,Land of Shadow (DLC),flag_prefix,enemy_lot
2045427000,Smithing Stone [3],Land of Shadow (DLC),flag_prefix,map_lot
2045437000,Shadow Realm Rune [1],Land of Shadow (DLC),flag_prefix,map_lot
2045437700,Ash of War: Savage Lion's Claw,Land of Shadow (DLC),flag_prefix,map_lot
2045447000,Whiteflesh Mushroom,Land of Shadow (DLC),flag_prefix,map_lot
2045447010,,Land of Shadow (DLC),flag_prefix,map_lot
2045447020,Gravebird Armor,Land of Shadow (DLC),flag_prefix,map_lot
2045457000,Kukri,Land of Shadow (DLC),flag_prefix,map_lot
2045457010,Grave Glovewort [5],Land of Shadow (DLC),flag_prefix,map_lot
2045457020,Spirit Calculus,Land of Shadow (DLC),flag_prefix,map_lot
2045467500,Furnace Visage,Land of Shadow (DLC),flag_prefix,map_lot
2045467995,Sacred Bloody Flesh,Land of Shadow (DLC),flag_prefix,enemy_lot
2045477400,Devonia's Hammer,Land of Shadow (DLC),flag_prefix,map_lot
2045477500,Sword of Light,Land of Shadow (DLC),flag_prefix,map_lot
2045477510,,Land of Shadow (DLC),flag_prefix,map_lot
2045477520,,Land of Shadow (DLC),flag_prefix,map_lot
2045477530,,Land of Shadow (DLC),flag_prefix,map_lot
2045477540,,Land of Shadow (DLC),flag_prefix,map_lot
2045477550,,Land of Shadow (DLC),flag_prefix,map_lot
2045477560,,Land of Shadow (DLC),flag_prefix,map_lot
2045477570,,Land of Shadow (DLC),flag_prefix,map_lot
2045477580,,Land of Shadow (DLC),flag_prefix,map_lot
2045477590,,Land of Shadow (DLC),flag_prefix,map_lot
2045477600,,Land of Shadow (DLC),flag_prefix,map_lot
67270,Nomadic Warrior's Cookbook [18],Siofra River / Nokron,shop_merchant,shop
67290,Nomadic Warrior's Cookbook [16],Siofra River / Nokron,shop_merchant,shop
67920,Perfumer's Cookbook [4],Siofra River / Nokron,shop_merchant,shop
68230,Missionary's Cookbook [7],Siofra River / Nokron,shop_merchant,shop
190150,Vagabond Knight Helm,Siofra River / Nokron,shop_merchant,shop
190160,Vagabond Knight Armor,Siofra River / Nokron,shop_merchant,shop
190170,Vagabond Knight Gauntlets,Siofra River / Nokron,shop_merchant,shop
190180,Vagabond Knight Greaves,Siofra River / Nokron,shop_merchant,shop
190350,Dwelling Arrow,Siofra River / Nokron,shop_merchant,shop
190370,Shotel,Siofra River / Nokron,shop_merchant,shop
190400,Soap,Siofra River / Nokron,shop_merchant,shop
190410,Nascent Butterfly,Siofra River / Nokron,shop_merchant,shop
190650,Prisoner Iron Mask,Siofra River / Nokron,shop_merchant,shop
190660,Prisoner Clothing,Siofra River / Nokron,shop_merchant,shop
190670,Prisoner Trousers,Siofra River / Nokron,shop_merchant,shop
