column	n_params	params
	239	ActionButtonParam,AiSoundParam,AssetEnvironmentGeometryParam,AssetMaterialSfxParam,AssetModelSfxParam,AtkParam_Npc,AtkParam_Pc,AttackElementCorrectParam,AutoCreateEnvSoundParam,BaseChrSelectMenuParam,BehaviorParam,BehaviorParam_PC,BonfireWarpParam,BonfireWarpSubCategoryParam,BonfireWarpTabParam,BuddyParam,BuddyStoneParam,BudgetParam,Bullet,BulletCreateLimitParam,CalcCorrectGraph,CameraFadeParam,Ceremony,CharMakeMenuListItemParam,CharMakeMenuTopParam,CharaInitParam,ChrActivateConditionParam,ChrEquipModelParam,ChrModelParam,ClearCountCorrectParam,CommonSystemParam,CoolTimeParam,CutSceneTextureLoadParam,CutsceneGparamTimeParam,CutsceneGparamWeatherParam,CutsceneMapIdParam,CutsceneTimezoneConvertParam,CutsceneWeatherOverrideGparamConvertParam,DecalParam,DefaultKeyAssign,DirectionCameraParam,EnemyCommonParam,EnvObjLotParam,EquipMtrlSetParam,EquipParamAccessory,EquipParamCustomWeapon,EquipParamGem,EquipParamGoods,EquipParamProtector,EquipParamWeapon,FaceParam,FaceRangeParam,FeTextEffectParam,FinalDamageRateParam,FootSfxParam,GameAreaParam,GameSystemCommonParam,Gconfig_AAQuality,Gconfig_AAQuality_ps4,Gconfig_AAQuality_xboxone,Gconfig_DOFQuality,Gconfig_DOFQuality_ps4,Gconfig_DOFQuality_xboxone,Gconfig_DecalQuality,Gconfig_EffectQuality,Gconfig_EffectQuality_ps4,Gconfig_EffectQuality_xboxone,Gconfig_LightingQuality,Gconfig_LightingQuality_ps4,Gconfig_LightingQuality_ps5,Gconfig_LightingQuality_scarlett,Gconfig_LightingQuality_xboxone,Gconfig_MotionBlurQuality,Gconfig_MotionBlurQuality_ps4,Gconfig_MotionBlurQuality_xboxone,Gconfig_RaytracingQuality,Gconfig_RaytracingQuality_ps5,Gconfig_RaytracingQuality_scarlett,Gconfig_ReflectionQuality,Gconfig_ReflectionQuality_ps4,Gconfig_ReflectionQuality_xboxone,Gconfig_SSAOQuality,Gconfig_SSAOQuality_ps4,Gconfig_SSAOQuality_xboxone,Gconfig_ShaderQuality,Gconfig_ShaderQuality_ps4,Gconfig_ShaderQuality_xboxone,Gconfig_ShadowQuality,Gconfig_ShadowQuality_ps4,Gconfig_ShadowQuality_xboxone,Gconfig_TextureFilterQuality,Gconfig_TextureFilterQuality_ps4,Gconfig_TextureFilterQuality_xboxone,Gconfig_VolumetricEffectQuality,Gconfig_VolumetricEffectQuality_ps4,Gconfig_VolumetricEffectQuality_xboxone,Gconfig_WaterQuality,GestureParam,GparamRefSettings,GraphicsCommonParam,GraphicsConfig,GrassLodRangeParam,GrassTypeParam,GrassTypeParam_Lv1,GrassTypeParam_Lv2,HPEstusFlaskRecoveryParam,HitEffectSeParam,HitEffectSfxConceptParam,HitEffectSfxParam,HitMtrlParam,ItemLotParam_enemy,ItemLotParam_map,KeyAssignMenuItemParam,KeyAssignParam_TypeA,KeyAssignParam_TypeB,KeyAssignParam_TypeC,KnockBackParam,KnowledgeLoadScreenItemParam,LegacyDistantViewPartsReplaceParam,LoadBalancerDrawDistScaleParam,LoadBalancerDrawDistScaleParam_ps4,LoadBalancerDrawDistScaleParam_ps5,LoadBalancerDrawDistScaleParam_xb1,LoadBalancerDrawDistScaleParam_xb1x,LoadBalancerDrawDistScaleParam_xss,LoadBalancerDrawDistScaleParam_xsx,LoadBalancerNewDrawDistScaleParam_ps4,LoadBalancerNewDrawDistScaleParam_ps5,LoadBalancerNewDrawDistScaleParam_win64,LoadBalancerNewDrawDistScaleParam_xb1,LoadBalancerNewDrawDistScaleParam_xb1x,LoadBalancerNewDrawDistScaleParam_xss,LoadBalancerNewDrawDistScaleParam_xsx,LoadBalancerParam,LockCamParam,MPEstusFlaskRecoveryParam,Magic,MapDefaultInfoParam,MapGdRegionDrawParam,MapGdRegionInfoParam,MapGridCreateHeightDetailLimitInfo,MapGridCreateHeightLimitInfoParam,MapMimicryEstablishmentParam,MapNameTexParam,MapNameTexParam_m61,MapPieceTexParam,MapPieceTexParam_m61,MaterialExParam,MenuColorTableParam,MenuCommonParam,MenuOffscrRendParam,MenuPropertyLayoutParam,MenuPropertySpecParam,MenuValueTableParam,MimicryEstablishmentTexParam,MimicryEstablishmentTexParam_m61,MoveParam,MultiHPEstusFlaskBonusParam,MultiMPEstusFlaskBonusParam,MultiPlayCorrectionParam,MultiSoulBonusRateParam,NetworkAreaParam,NetworkMsgParam,NetworkParam,NpcAiActionParam,NpcAiBehaviorProbability,NpcParam,NpcThinkParam,ObjActParam,PartsDrawParam,PhantomParam,PlayRegionParam,PlayerCommonParam,PostureControlParam_Gender,PostureControlParam_Pro,PostureControlParam_WepLeft,PostureControlParam_WepRight,RandomAppearParam,ReinforceParamProtector,ReinforceParamWeapon,ResistCorrectParam,ReverbAuxSendBusParam,RideParam,RoleParam,RollingObjLotParam,RuntimeBoneControlParam,SeActivationRangeParam,SeMaterialConvertParam,SfxBlockResShareParam,ShopLineupParam,ShopLineupParam_Recipe,SignPuddleParam,SignPuddleSubCategoryParam,SignPuddleTabParam,SoundAssetSoundObjEnableDistParam,SoundAutoEnvSoundGroupParam,SoundAutoReverbEvaluationDistParam,SoundAutoReverbSelectParam,SoundChrPhysicsSeParam,SoundCommonIngameParam,SoundCommonSystemParam,SoundCutsceneParam,SpEffectParam,SpEffectSetParam,SpEffectVfxParam,SpeedtreeParam,SwordArtsParam,TalkParam,ThrowDirectionSfxParam,ThrowParam,ToughnessParam,TutorialParam,WaypointParam,WeatherAssetCreateParam,WeatherAssetReplaceParam,WeatherLotParam,WeatherLotTexParam,WeatherLotTexParam_m61,WeatherParam,WepAbsorpPosParam,WetAspectParam,WhiteSignCoolTimeParam,WorldMapLegacyConvParam,WorldMapPieceParam,WorldMapPlaceNameParam,WorldMapPointParam,WwiseValueToStrParam_BgmBossChrIdConv,WwiseValueToStrParam_EnvPlaceType,WwiseValueToStrParam_Switch_AttackStrength,WwiseValueToStrParam_Switch_AttackType,WwiseValueToStrParam_Switch_DamageAmount,WwiseValueToStrParam_Switch_DeffensiveMaterial,WwiseValueToStrParam_Switch_GrassHitType,WwiseValueToStrParam_Switch_HitStop,WwiseValueToStrParam_Switch_OffensiveMaterial,WwiseValueToStrParam_Switch_PlayerEquipmentBottoms,WwiseValueToStrParam_Switch_PlayerEquipmentTops,WwiseValueToStrParam_Switch_PlayerShoes,WwiseValueToStrParam_Switch_PlayerVoiceType
AppearAiSoundId	3	AtkParam_Npc,AtkParam_Pc,SpEffectParam
AreaNo	1	SoundAutoReverbSelectParam
AssetId	1	WeatherAssetCreateParam
AssetId0	1	WeatherAssetReplaceParam
AssetId1	1	WeatherAssetReplaceParam
AssetId2	1	WeatherAssetReplaceParam
AssetId3	1	WeatherAssetReplaceParam
AssetId4	1	WeatherAssetReplaceParam
AssetId5	1	WeatherAssetReplaceParam
