param	ordinal	column	type
ActionButtonParam	0	ID	UNKNOWN
ActionButtonParam	1	Name	UNKNOWN
ActionButtonParam	2	regionType	UNKNOWN
ActionButtonParam	3	category	UNKNOWN
ActionButtonParam	4	padding1	UNKNOWN
ActionButtonParam	5	dummyPoly1	UNKNOWN
ActionButtonParam	6	dummyPoly2	UNKNOWN
ActionButtonParam	7	radius	UNKNOWN
ActionButtonParam	8	angle	UNKNOWN
ActionButtonParam	9	depth	UNKNOWN
ActionButtonParam	10	width	UNKNOWN
ActionButtonParam	11	height	UNKNOWN
ActionButtonParam	12	baseHeightOffset	UNKNOWN
ActionButtonParam	13	angleCheckType	UNKNOWN
ActionButtonParam	14	padding2	UNKNOWN
ActionButtonParam	15	allowAngle	UNKNOWN
ActionButtonParam	16	spotDummyPoly	UNKNOWN
ActionButtonParam	17	textBoxType	UNKNOWN
ActionButtonParam	18	padding3	UNKNOWN
ActionButtonParam	19	padding5	UNKNOWN
ActionButtonParam	20	isInvalidForRide	UNKNOWN
ActionButtonParam	21	isGrayoutForRide	UNKNOWN
ActionButtonParam	22	isInvalidForCrouching	UNKNOWN
ActionButtonParam	23	isGrayoutForCrouching	UNKNOWN
ActionButtonParam	24	padding4	UNKNOWN
ActionButtonParam	25	textId	UNKNOWN
ActionButtonParam	26	invalidFlag	UNKNOWN
ActionButtonParam	27	grayoutFlag	UNKNOWN
ActionButtonParam	28	overrideActionButtonIdForRide	UNKNOWN
ActionButtonParam	29	execInvalidTime	UNKNOWN
ActionButtonParam	30	padding6	UNKNOWN
ActionButtonParam	31		UNKNOWN
AiSoundParam	0	ID	UNKNOWN
AiSoundParam	1	Name	UNKNOWN
AiSoundParam	2	radius	UNKNOWN
AiSoundParam	3	lifeFrame	UNKNOWN
AiSoundParam	4	bSpEffectEnable	UNKNOWN
AiSoundParam	5	type	UNKNOWN
AiSoundParam	6	opposeTarget	UNKNOWN
AiSoundParam	7	friendlyTarget	UNKNOWN
AiSoundParam	8	selfTarget	UNKNOWN
AiSoundParam	9	disableOnTargetPCompany	UNKNOWN
AiSoundParam	10	rank	UNKNOWN
AiSoundParam	11	forgetTime	UNKNOWN
AiSoundParam	12	priority	UNKNOWN
AiSoundParam	13	soundBehaviorId	UNKNOWN
AiSoundParam	14	aiSoundLevel	UNKNOWN
AiSoundParam	15	replaningState	UNKNOWN
AiSoundParam	16	pad1	UNKNOWN
AiSoundParam	17		UNKNOWN
AssetEnvironmentGeometryParam	0	ID	UNKNOWN
AssetEnvironmentGeometryParam	1	Name	UNKNOWN
AssetEnvironmentGeometryParam	2	soundBankId	UNKNOWN
AssetEnvironmentGeometryParam	3	soundBreakSEId	UNKNOWN
AssetEnvironmentGeometryParam	4	refDrawParamId	UNKNOWN
AssetEnvironmentGeometryParam	5	hitCreateType	UNKNOWN
AssetEnvironmentGeometryParam	6	behaviorType	UNKNOWN
AssetEnvironmentGeometryParam	7	collisionType	UNKNOWN
AssetEnvironmentGeometryParam	8	rainBlockingType	UNKNOWN
AssetEnvironmentGeometryParam	9	hp	UNKNOWN
AssetEnvironmentGeometryParam	10	defense	UNKNOWN
AssetEnvironmentGeometryParam	11	breakStopTime	UNKNOWN
AssetEnvironmentGeometryParam	12	breakSfxId	UNKNOWN
AssetEnvironmentGeometryParam	13	breakSfxCpId	UNKNOWN
AssetEnvironmentGeometryParam	14	breakLandingSfxId	UNKNOWN
AssetEnvironmentGeometryParam	15	breakBulletBehaviorId	UNKNOWN
AssetEnvironmentGeometryParam	16	breakBulletCpId	UNKNOWN
AssetEnvironmentGeometryParam	17	FragmentInvisibleWaitTime	UNKNOWN
AssetEnvironmentGeometryParam	18	FragmentInvisibleTime	UNKNOWN
AssetEnvironmentGeometryParam	19	BreakAiSoundID	UNKNOWN
AssetEnvironmentGeometryParam	20	breakItemLotType	UNKNOWN
AssetEnvironmentGeometryParam	21	animBreakIdMax	UNKNOWN
AssetEnvironmentGeometryParam	22	breakBulletAttributeDamageType	UNKNOWN
AssetEnvironmentGeometryParam	23	isBreakByPlayerCollide	UNKNOWN
AssetEnvironmentGeometryParam	24	isBreakByEnemyCollide	UNKNOWN
AssetEnvironmentGeometryParam	25	isBreak_ByChrRide	UNKNOWN
AssetEnvironmentGeometryParam	26	isDisableBreakForFirstAppear	UNKNOWN
AssetEnvironmentGeometryParam	27	isAnimBreak	UNKNOWN
AssetEnvironmentGeometryParam	28	isDamageCover	UNKNOWN
AssetEnvironmentGeometryParam	29	isAttackBacklash	UNKNOWN
AssetEnvironmentGeometryParam	30	unknown_0x3b_7	UNKNOWN
